analysis,analysis_role,dataset,subject_cluster,fold,RMSE_M0,RMSE_MI,RMSE_MD,RMSE_MID,Delta_MI_minus_MD,backbone_count,repeated_backbone_rows
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S022,4,0.036704274684600816,0.03757874588276847,0.04173607066111305,0.04187753555394769,-0.004157324778344582,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S023,2,0.03254583038215293,0.031958941860234916,0.026695064564091812,0.026769221336798193,0.005263877296143103,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S024,0,0.054611586555415315,0.056095595797711305,0.061051514088580755,0.06110968470932729,-0.00495591829086945,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S025,0,0.05555172409043912,0.05520383343832345,0.047847034529346674,0.0483139307678318,0.007356798908976775,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S026,1,0.04909248736462892,0.04817710651634314,0.04714726655560171,0.04710156811016663,0.0010298399607414285,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S027,3,0.06007011255663986,0.059810143967559626,0.0552166734978594,0.054954500794306416,0.004593470469700225,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S028,4,0.05960703911783749,0.060269682901421796,0.06431038726957805,0.06449127937002999,-0.004040704368156249,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S029,1,0.062278068647035105,0.06464365285298605,0.06776026854942557,0.06772539435963207,-0.0031166156964395272,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S030,0,0.058344498622432774,0.05968650449338819,0.05682392934825005,0.05704812788458853,0.002862575145138142,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S031,1,0.06346822577537063,0.06627768144370036,0.06933851261980717,0.06931481074877167,-0.003060831176106806,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S032,1,0.05244073196709996,0.05431283553254153,0.05626061755940749,0.056288060783208985,-0.001947782026865963,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S033,2,0.03049109202091907,0.030535388859272084,0.025227707498548545,0.025397303943522506,0.005307681360723538,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S034,0,0.047769359773398946,0.04836520857278315,0.05326975400981557,0.053171181174300225,-0.00490454543703242,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S035,0,0.06137902772753097,0.06071945766003405,0.0538150859358726,0.054279679437882034,0.006904371724161449,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S036,1,0.038773630530540906,0.03730150262143472,0.03343124914242866,0.033531114879698044,0.003870253479006068,2,2
