benchmark,family_id,subjects,baseline_method,baseline_BA,strongest_single_candidate,strongest_single_candidate_BA,mean_expert_BA,subject_oracle_BA,oracle_headroom_pp,subjects_rescued_ge_2pp_fraction,subjects_rescued_ge_5pp_fraction,positive_fold_fraction,mean_pairwise_correctness_correlation,mean_pairwise_correctness_disagreement,oracle_usage,oracle_assignment_entropy,headroom_state,outcome_labels_used_for_headroom_only,used_to_train_selector,internal_holdout_used,OUTER_TEST_USED,feature_family,experts,rank,epochs,tau,lambda_mean,folds,baseline_source_method,training_objective,metric_dimension,deployment_transform,diagnostic_status,spatial_filters,reduced_dimension,covariance_cache,candidate_actions,pretrain_epochs,training_mode,adapter_rank,meta_epochs,population_initialization,candidate_count_before_competence_filter,eligible_candidate_count,competence_tolerance_pp,minimum_positive_subject_fraction,bank_type,prospective_status,selector_trained
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,12,B_STRONG_MATCHED_V7,0.8137499999999999,LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_BLEND50,0.8049999999999998,0.8014583333333333,0.8195833333333334,0.5833333333333347,0.0833333333333333,0.0,1.0,0.8355423563023973,0.0523611111111111,"{'B_STRONG_MATCHED_V7': 5, 'LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_BLEND50': 3, 'LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_BLEND50': 2, 'LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_BLEND50': 0, 'LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_BLEND50': 2}",1.308605387253449,V8_HEADROOM_WEAK,True,False,False,False,CONFORMER_NORM,4.0,4.0,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,normalized soft-min coverage + mean competence + usage balance + basis diversity,,,,,,,,,,,,,,,,,,,
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,18,B_STRONG_MATCHED_V7,0.8516666666666668,LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_BLEND50,0.8222222222222223,0.8184722222222223,0.8583333333333334,0.6666666666666679,0.2222222222222222,0.0,1.0,0.8956895040692325,0.0310185185185185,"{'B_STRONG_MATCHED_V7': 11, 'LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_BLEND50': 1, 'LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_BLEND50': 2, 'LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_BLEND50': 2, 'LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_BLEND50': 2}",1.1939422532216233,V8_HEADROOM_WEAK,True,False,False,False,CONFORMER_NORM,4.0,4.0,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,normalized soft-min coverage + mean competence + usage balance + basis diversity,,,,,,,,,,,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__META_SGD_CONFORMER_NORM_K4,12,B_STRONG_MATCHED_V7,0.8137499999999999,META_SGD_CONFORMER_NORM_K4__E0_BLEND50,0.8079166666666667,0.8049999999999999,0.8249999999999998,1.1250000000000009,0.3333333333333333,0.0,1.0,0.8239900075069125,0.0552777777777777,"{'B_STRONG_MATCHED_V7': 5, 'META_SGD_CONFORMER_NORM_K4__E0_BLEND50': 1, 'META_SGD_CONFORMER_NORM_K4__E1_BLEND50': 2, 'META_SGD_CONFORMER_NORM_K4__E2_BLEND50': 2, 'META_SGD_CONFORMER_NORM_K4__E3_BLEND50': 2}",1.4677339293271523,V8_HEADROOM_WEAK,True,False,False,False,CONFORMER_NORM,4.0,,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,true differentiable history gradient step with learned signed per-feature step sizes and future-query coverage loss,,,,,,,,,,,,,,,,,,,
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,18,B_STRONG_MATCHED_V7,0.8516666666666668,META_SGD_CONFORMER_NORM_K4__E2_BLEND50,0.838888888888889,0.8380555555555556,0.8594444444444446,0.7777777777777797,0.2222222222222222,0.0,1.0,0.888833834688005,0.0301851851851851,"{'B_STRONG_MATCHED_V7': 8, 'META_SGD_CONFORMER_NORM_K4__E0_BLEND50': 3, 'META_SGD_CONFORMER_NORM_K4__E1_BLEND50': 2, 'META_SGD_CONFORMER_NORM_K4__E2_BLEND50': 3, 'META_SGD_CONFORMER_NORM_K4__E3_BLEND50': 2}",1.445938714135769,V8_HEADROOM_WEAK,True,False,False,False,CONFORMER_NORM,4.0,,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,true differentiable history gradient step with learned signed per-feature step sizes and future-query coverage loss,,,,,,,,,,,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__METRIC_TRANSPORT_CONFORMER_NORM_K4_D16,12,B_STRONG_MATCHED_V7,0.8137499999999999,METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E1_RESIDUAL50,0.8120833333333333,0.8107291666666667,0.81875,0.5000000000000004,0.0833333333333333,0.0,1.0,0.9681178046683804,0.0097916666666666,"{'B_STRONG_MATCHED_V7': 5, 'METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E0_RESIDUAL50': 2, 'METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E1_RESIDUAL50': 1, 'METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E2_RESIDUAL50': 1, 'METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E3_RESIDUAL50': 3}",1.4241299173467734,V8_HEADROOM_WEAK,True,False,False,False,CONFORMER_NORM,4.0,,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,"history-class prototype transport through query-trained metrics, learned recency, coverage, competence, and diversity",16.0,locked strong anchor plus half learned metric residual,,,,,,,,,,,,,,,,,
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__METRIC_TRANSPORT_CONFORMER_NORM_K4_D16,18,B_STRONG_MATCHED_V7,0.8516666666666668,METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E1_RESIDUAL50,0.8488888888888888,0.8480555555555556,0.8605555555555555,0.8888888888888891,0.3333333333333333,0.0555555555555555,1.0,0.9554841746778177,0.0114814814814814,"{'B_STRONG_MATCHED_V7': 9, 'METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E0_RESIDUAL50': 2, 'METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E1_RESIDUAL50': 3, 'METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E2_RESIDUAL50': 0, 'METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E3_RESIDUAL50': 4}",1.223575654138956,V8_HEADROOM_WEAK,True,False,False,False,CONFORMER_NORM,4.0,,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,"history-class prototype transport through query-trained metrics, learned recency, coverage, competence, and diversity",16.0,locked strong anchor plus half learned metric residual,,,,,,,,,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,12,B_STRONG_MATCHED_V7,0.8137499999999999,RAW_ENCODER_FINETUNE_BANK__ADABN_RESIDUAL50,0.8133333333333334,0.8113541666666666,0.81875,0.5000000000000004,0.0,0.0,1.0,0.9080371560020244,0.028125,"{'B_STRONG_MATCHED_V7': 2, 'RAW_ENCODER_FINETUNE_BANK__ADABN_RESIDUAL50': 2, 'RAW_ENCODER_FINETUNE_BANK__HEAD_RESIDUAL50': 3, 'RAW_ENCODER_FINETUNE_BANK__TAIL_RESIDUAL50': 0, 'RAW_ENCODER_FINETUNE_BANK__FULL_RESIDUAL50': 5}",1.308605387253449,V8_HEADROOM_WEAK,True,False,False,False,,4.0,,,,,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,V6 discovery-query-screened raw encoder rules; V8 uses fixed residual actions,,locked strong anchor plus half raw adaptation residual,"structural raw-adaptation headroom audit, not a newly meta-learned direction bank",,,,,,,,,,,,,,,,
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__RAW_ENCODER_FINETUNE_BANK,18,B_STRONG_MATCHED_V7,0.8516666666666668,RAW_ENCODER_FINETUNE_BANK__TAIL_FAST_RESIDUAL50,0.8588888888888889,0.8547619047619047,0.8666666666666667,1.5000000000000002,0.3888888888888889,0.0555555555555555,1.0,0.9317262772240588,0.0169841269841269,"{'B_STRONG_MATCHED_V7': 4, 'RAW_ENCODER_FINETUNE_BANK__ADABN_RESIDUAL50': 1, 'RAW_ENCODER_FINETUNE_BANK__HEAD_SHORT_RESIDUAL50': 1, 'RAW_ENCODER_FINETUNE_BANK__HEAD_LONG_RESIDUAL50': 0, 'RAW_ENCODER_FINETUNE_BANK__TAIL_SLOW_RESIDUAL50': 1, 'RAW_ENCODER_FINETUNE_BANK__TAIL_FAST_RESIDUAL50': 6, 'RAW_ENCODER_FINETUNE_BANK__FULL_SLOW_RESIDUAL50': 0, 'RAW_ENCODER_FINETUNE_BANK__FULL_LONG_RESIDUAL50': 5}",1.537987101117365,V8_HEADROOM_WEAK,True,False,False,False,,7.0,,,,,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,V6 discovery-query-screened raw encoder rules; V8 uses fixed residual actions,,locked strong anchor plus half raw adaptation residual,"structural raw-adaptation headroom audit, not a newly meta-learned direction bank",,,,,,,,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__METRIC_TRANSPORT_MI_SPECIFIC_K4_D16,12,B_STRONG_MATCHED_V7,0.8137499999999999,METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E0_RESIDUAL50,0.8141666666666666,0.8092708333333333,0.82,0.6250000000000006,0.0833333333333333,0.0,1.0,0.953197278537187,0.0145138888888888,"{'B_STRONG_MATCHED_V7': 6, 'METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E0_RESIDUAL50': 3, 'METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E1_RESIDUAL50': 2, 'METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E2_RESIDUAL50': 0, 'METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E3_RESIDUAL50': 1}",1.1988493129136213,V8_HEADROOM_WEAK,True,False,False,False,MI_SPECIFIC,4.0,,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,"history-class prototype transport through query-trained metrics, learned recency, coverage, competence, and diversity",16.0,locked strong anchor plus half learned metric residual,,,,,,,,,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__META_SGD_MI_SPECIFIC_K4,12,B_STRONG_MATCHED_V7,0.8137499999999999,META_SGD_MI_SPECIFIC_K4__E2_BLEND50,0.8062499999999999,0.8045833333333333,0.82125,0.7499999999999989,0.25,0.0,1.0,0.8706621576528892,0.0406944444444444,"{'B_STRONG_MATCHED_V7': 7, 'META_SGD_MI_SPECIFIC_K4__E0_BLEND50': 1, 'META_SGD_MI_SPECIFIC_K4__E1_BLEND50': 1, 'META_SGD_MI_SPECIFIC_K4__E2_BLEND50': 2, 'META_SGD_MI_SPECIFIC_K4__E3_BLEND50': 1}",1.2342678660790765,V8_HEADROOM_WEAK,True,False,False,False,MI_SPECIFIC,4.0,,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,true differentiable history gradient step with learned signed per-feature step sizes and future-query coverage loss,,,,,,,,,,,,,,,,,,,
