draw,alpha,fused_BA,base_BA,delta_BA,dims
0,0.0,0.7677777777777778,0.7677777777777778,0.0,"[0, 1, 3, 8, 10, 12, 14, 16]"
1,0.0,0.7677777777777778,0.7677777777777778,0.0,"[0, 2, 6, 9, 10, 16, 18, 19]"
2,0.0,0.7677777777777778,0.7677777777777778,0.0,"[0, 2, 3, 9, 13, 16, 18, 19]"
3,0.0,0.7677777777777778,0.7677777777777778,0.0,"[0, 3, 5, 9, 10, 13, 16, 17]"
4,0.0,0.7677777777777778,0.7677777777777778,0.0,"[7, 9, 11, 13, 15, 16, 17, 19]"
5,0.0,0.7677777777777778,0.7677777777777778,0.0,"[2, 3, 4, 5, 9, 12, 13, 17]"
6,0.1,0.755,0.7677777777777778,-0.012777777777777777,"[2, 3, 5, 6, 7, 11, 12, 18]"
7,0.1,0.7472222222222222,0.7677777777777778,-0.02055555555555555,"[4, 5, 6, 7, 9, 13, 14, 17]"
8,0.1,0.7527777777777778,0.7677777777777778,-0.015000000000000013,"[2, 3, 4, 6, 7, 13, 14, 15]"
9,0.0,0.7677777777777778,0.7677777777777778,0.0,"[1, 4, 5, 6, 10, 16, 18, 19]"
10,0.1,0.758888888888889,0.7677777777777778,-0.008888888888888835,"[1, 3, 4, 7, 10, 13, 14, 17]"
11,0.0,0.7677777777777778,0.7677777777777778,0.0,"[0, 1, 3, 4, 8, 12, 17, 19]"
12,0.0,0.7677777777777778,0.7677777777777778,0.0,"[0, 6, 8, 10, 13, 14, 15, 18]"
13,0.0,0.7677777777777778,0.7677777777777778,0.0,"[0, 2, 5, 14, 15, 17, 18, 19]"
14,0.1,0.7633333333333334,0.7677777777777778,-0.004444444444444362,"[1, 2, 3, 4, 10, 12, 14, 17]"
15,0.0,0.7677777777777778,0.7677777777777778,0.0,"[2, 7, 8, 9, 13, 14, 16, 18]"
16,0.0,0.7677777777777778,0.7677777777777778,0.0,"[6, 7, 10, 12, 13, 15, 18, 19]"
17,0.0,0.7677777777777778,0.7677777777777778,0.0,"[1, 4, 6, 8, 12, 14, 18, 19]"
18,0.0,0.7677777777777778,0.7677777777777778,0.0,"[1, 3, 5, 10, 11, 13, 14, 16]"
19,0.0,0.7677777777777778,0.7677777777777778,0.0,"[5, 6, 7, 9, 10, 13, 18, 19]"
20,0.0,0.7677777777777778,0.7677777777777778,0.0,"[3, 9, 11, 13, 14, 15, 16, 18]"
21,0.0,0.7677777777777778,0.7677777777777778,0.0,"[0, 5, 6, 9, 10, 15, 18, 19]"
22,0.0,0.7677777777777778,0.7677777777777778,0.0,"[1, 6, 8, 12, 14, 16, 17, 19]"
23,0.0,0.7677777777777778,0.7677777777777778,0.0,"[0, 5, 6, 10, 12, 14, 16, 17]"
24,0.0,0.7677777777777778,0.7677777777777778,0.0,"[3, 5, 9, 12, 13, 14, 15, 16]"
25,0.0,0.7677777777777778,0.7677777777777778,0.0,"[1, 8, 10, 14, 16, 17, 18, 19]"
26,0.0,0.7677777777777778,0.7677777777777778,0.0,"[1, 4, 5, 6, 8, 9, 15, 19]"
