subject,method_BA,control_BA,delta_BA
11,0.61,0.61,0.0
17,0.75,0.755,-0.0050000000000000044
19,0.75,0.75,0.0
22,0.735,0.735,0.0
3,0.895,0.895,0.0
38,0.7050000000000001,0.7050000000000001,0.0
40,0.73,0.73,0.0
50,0.525,0.525,0.0
7,0.68,0.6799999999999999,1.1102230246251565e-16
