policy,coverage,accepted_subject_backbone_rows,future_harm_given_adaptation,mean_S3_BA,n_subjects,n_subject_backbone_rows
Anchor,0.0,0,,0.7869581742218937,41,82
Always Adapt,1.0,82,0.4024390243902439,0.7898874928143222,41,82
Simple S2 Gate,0.47560975609756095,39,0.3076923076923077,0.7902093341956148,41,82
Reliability-Gated S2,0.2926829268292683,24,0.3333333333333333,0.7892540496427691,41,82
