model,mechanism,outcome,n_subjects,n_rows,backbone_only_coefficient,backbone_adjusted_coefficient,mechanism_main_coefficient,interaction_coefficient,absolute_backbone_coefficient_reduction,backbone_only_deviance,backbone_plus_mechanism_deviance,deviance_improvement,interaction_deviance_improvement
M3,certificate_snr,R_sign,41,82,0.8033828292646265,0.7746686851918987,0.24412545618290268,0.5110312216164572,0.03574154565764265,109.26247378995502,108.17281024468662,1.089663545268408,1.0925815286431657
M3,certificate_snr,H,41,82,-1.1219074741558002,-1.2914248861940942,0.5886100957396367,-0.014158568792554232,-0.15109749773781522,61.93703334462796,58.42123200457584,3.5158013400521213,0.0004570943610815448
M3,certificate_snr,safe_given_positive_certificate,28,39,1.3217551016449487,1.140070366527938,0.4021703535763972,0.04629410351697241,0.13745718468640733,44.90234391660772,43.972901116596795,0.9294428000109249,0.0021577105027859034
M5,representation_stability,R_sign,41,82,0.8033828292646265,0.8780199015087707,0.3108850721163332,-0.5760209287104651,-0.09290349448028778,109.26247378995502,107.44963410406565,1.8128396858893723,1.129861102342275
M5,representation_stability,H,41,82,-1.1219074741558002,-1.1461176843307543,-0.11468588947640004,0.6221375384450754,-0.021579506984897856,61.93703334462796,61.81234764085308,0.12468570377487964,0.6771654305400006
M5,representation_stability,safe_given_positive_certificate,28,39,1.3217551016449487,1.4248005555803034,0.2133837157746486,-1.3062818976586799,-0.07796107902826521,44.90234391660772,44.573610679652916,0.32873323695480394,2.0652856078792894
M6,decision_stability,R_sign,41,82,0.8033828292646265,0.8219874006396906,0.402533803723713,-0.6144041404805008,-0.023157790653919985,109.26247378995502,106.3096144600386,2.9528593299164214,1.336813791772613
M6,decision_stability,H,41,82,-1.1219074741558002,-1.1270632634037319,-0.27080248807607127,0.8463212952139058,-0.004595556555865965,61.93703334462796,61.095825081241664,0.8412082633862994,1.2176902245979946
M6,decision_stability,safe_given_positive_certificate,28,39,1.3217551016449487,1.3727003449639534,0.25874737386271307,-1.336297638141338,-0.038543632822451324,44.90234391660772,44.35821813238385,0.5441257842238727,1.9180392470344003
M7,adaptation_effect_stability,R_sign,41,82,0.8033828292646265,0.8115677942010814,0.18470610723300254,-0.39648040561272874,-0.010188125310005791,109.26247378995502,108.60753134132595,0.6549424486290718,0.6477046597702127
M7,adaptation_effect_stability,H,41,82,-1.1219074741558002,-1.1231795343155315,-0.08725358564690162,0.7648076373314445,-0.0011338369598514753,61.93703334462796,61.856406293240575,0.08062705138738835,0.6590612707850809
M7,adaptation_effect_stability,safe_given_positive_certificate,28,39,1.3217551016449487,1.3436473605738433,0.102895580900746,-1.2029837742688692,-0.016563022076971246,44.90234391660772,44.82034582651145,0.08199809009627046,1.3024748303071547
