backbone,fold,subject_id,Delta2,Delta3,R_sign,R_safe,H,safe_given_positive_certificate,signed_persistence,anchor_S3_BA,adapted_S3_BA
EEGConformer,0,1,-1.0003572044799587e-16,3.3248866622888805e-17,0,0,0,1,-3.326074326700005e-33,0.8966666666666666,0.8966666666666666
EEGConformer,1,2,-0.0166666666666667,-0.0066666666666666,1,0,0,0,0.00011111111111111024,0.7516666666666666,0.745
EEGConformer,0,3,0.0066666666666667,0.0166666666666666,1,1,0,1,0.00011111111111111122,0.7916666666666666,0.8083333333333332
EEGConformer,0,5,-0.005,-0.005,1,0,0,0,2.5e-05,0.7566666666666667,0.7516666666666666
EEGConformer,3,6,0.0033333333333333,0.0349999999999999,1,1,0,1,0.00011666666666666517,0.8483333333333333,0.8833333333333333
EEGConformer,4,7,-0.0083333333333333,0.0049999999999999,0,0,0,1,-4.166666666666567e-05,0.8150000000000001,0.82
EEGConformer,2,9,-0.0049999999999999,0.0116666666666666,0,0,0,1,-5.8333333333331835e-05,0.6133333333333334,0.625
EEGConformer,1,11,0.0049999999999999,0.0233333333333333,1,1,0,1,0.00011666666666666417,0.6866666666666666,0.71
EEGConformer,4,12,-0.0016666666666667,-0.0033333333333332,1,0,0,0,5.555555555555444e-06,0.7366666666666667,0.7333333333333334
EEGConformer,1,13,-0.0033333333333333,0.0166666666666666,0,0,0,1,-5.555555555555478e-05,0.8533333333333334,0.87
EEGConformer,4,14,0.0133333333333333,-0.0066666666666666,0,0,1,0,-8.888888888888778e-05,0.5833333333333334,0.5766666666666667
EEGConformer,0,16,0.0183333333333333,0.0016666666666666,1,1,0,1,3.055555555555427e-05,0.5383333333333333,0.54
EEGConformer,4,17,-0.0016666666666666,-0.0016666666666666,1,0,0,0,2.7777777777775556e-06,0.8000000000000002,0.7983333333333333
EEGConformer,1,18,-0.015,0.0083333333333333,0,0,0,1,-0.0001249999999999995,0.605,0.6133333333333333
EEGConformer,0,19,0.005,3.3248866622888805e-17,1,1,0,1,1.6624433311444402e-19,0.9383333333333334,0.9383333333333334
EEGConformer,0,21,0.0066666666666665,0.0083333333333333,1,1,0,1,5.5555555555553945e-05,0.855,0.8633333333333333
EEGConformer,2,22,-0.0016666666666665,0.0016666666666666,0,0,0,1,-2.7777777777773887e-06,0.7533333333333333,0.755
EEGConformer,3,23,-0.0066666666666666,0.0116666666666665,0,0,0,1,-7.77777777777759e-05,0.9566666666666668,0.9683333333333332
EEGConformer,3,24,0.0118518518518518,0.0032617845117845,1,1,0,1,3.8658186806334644e-05,0.92003367003367,0.9232954545454546
EEGConformer,2,25,0.0116666666666666,0.0,0,1,0,1,0.0,0.97,0.97
EEGConformer,2,26,0.015,-0.03,0,0,1,0,-0.00045,0.75,0.7200000000000001
EEGConformer,1,27,-0.015,0.0116666666666667,0,0,0,1,-0.00017500000000000049,0.6033333333333334,0.6150000000000001
EEGConformer,0,28,0.0716666666666666,0.0449999999999999,1,1,0,1,0.00322499999999999,0.66,0.7050000000000001
EEGConformer,2,29,-0.0166666666666666,-0.0066666666666666,1,0,0,0,0.00011111111111110956,0.8183333333333334,0.8116666666666666
EEGConformer,3,30,0.0099999999999999,0.0199999999999999,1,1,0,1,0.000199999999999997,0.85,0.87
EEGConformer,3,31,-0.0099999999999999,-0.0149999999999999,1,0,0,0,0.0001499999999999975,0.5650000000000001,0.55
EEGConformer,4,32,-0.0015656565656565,-0.0266666666666666,1,0,0,0,4.1750841750839893e-05,0.63,0.6033333333333334
EEGConformer,0,33,0.0016666666666666,-0.005,0,0,1,0,-8.333333333333e-06,0.9516666666666668,0.9466666666666668
EEGConformer,2,34,0.0216666666666666,0.0333333333333333,1,1,0,1,0.0007222222222222193,0.51,0.5433333333333333
EEGConformer,2,35,-0.005,3.353798720221827e-17,0,0,0,1,-1.6768993601109135e-19,0.9216666666666667,0.9216666666666667
EEGConformer,1,36,0.0016666666666667,0.0016666666666666,1,1,0,1,2.777777777777722e-06,0.975,0.9766666666666666
EEGConformer,0,37,0.0133333333333333,0.0033333333333333,1,1,0,1,4.444444444444389e-05,0.8133333333333334,0.8166666666666668
EEGConformer,3,38,-0.0049999999999999,-0.0316666666666666,1,0,0,0,0.00015833333333332985,0.5299999999999999,0.4983333333333333
EEGConformer,3,41,0.0016666666666666,0.005,1,1,0,1,8.333333333333e-06,0.8233333333333333,0.8283333333333335
EEGConformer,3,42,-0.0183333333333333,-0.005,1,0,0,0,9.166666666666649e-05,0.7166666666666667,0.7116666666666666
EEGConformer,1,44,-0.0216666666666666,0.0033333333333334,0,0,0,1,-7.222222222222345e-05,0.8316666666666667,0.835
EEGConformer,1,45,-0.0033333333333332,-0.0033333333333333,1,0,0,0,1.1111111111110556e-05,0.935,0.9316666666666666
EEGConformer,4,47,-0.0016666666666667,-0.0066666666666666,1,0,0,0,1.1111111111111222e-05,0.9283333333333332,0.9216666666666664
EEGConformer,4,48,-0.0033333333333332,-0.0133333333333333,1,0,0,0,4.4444444444442556e-05,0.82,0.8066666666666666
EEGConformer,2,49,0.0249999999999999,0.015,1,1,0,1,0.0003749999999999985,0.9116666666666666,0.9266666666666667
EEGConformer,4,50,-0.0033333333333333,-0.0033333333333333,1,0,0,0,1.111111111111089e-05,0.9616666666666666,0.9583333333333334
EEGNet,0,1,0.0016666666666667,-0.0066666666666666,0,0,1,0,-1.1111111111111222e-05,0.9333333333333332,0.9266666666666667
EEGNet,1,2,-0.0049999999999999,-0.0083333333333333,1,0,0,0,4.166666666666567e-05,0.7600000000000001,0.7516666666666666
EEGNet,0,3,-0.0016666666666667,0.0016666666666666,0,0,0,1,-2.777777777777722e-06,0.87,0.8716666666666667
EEGNet,0,5,0.0016666666666667,0.0066666666666666,1,1,0,1,1.1111111111111222e-05,0.7583333333333333,0.765
EEGNet,3,6,-0.0033333333333333,0.0016666666666666,0,0,0,1,-5.555555555555278e-06,0.9250000000000002,0.9266666666666667
EEGNet,4,7,-0.0016666666666666,-0.0049999999999999,1,0,0,0,8.333333333332834e-06,0.8099999999999999,0.805
EEGNet,2,9,-0.02,-0.0033333333333333,1,0,0,0,6.6666666666666e-05,0.6183333333333333,0.615
EEGNet,1,11,0.0183333333333333,0.0133333333333333,1,1,0,1,0.00024444444444444334,0.7183333333333334,0.7316666666666668
EEGNet,4,12,0.0,-0.0033333333333333,0,0,0,0,-0.0,0.73,0.7266666666666666
EEGNet,1,13,-0.0033333333333334,0.005,0,0,0,1,-1.6666666666667e-05,0.85,0.855
EEGNet,4,14,0.0016666666666666,0.0099999999999999,1,1,0,1,1.6666666666665834e-05,0.5716666666666667,0.5816666666666667
EEGNet,0,16,-0.0166666666666666,-0.0016666666666667,1,0,0,0,2.7777777777778223e-05,0.5283333333333333,0.5266666666666667
EEGNet,4,17,-0.0066666666666666,6.649773324577761e-17,0,0,0,1,-4.43318221638513e-19,0.8183333333333334,0.8183333333333334
EEGNet,1,18,0.0033333333333333,0.0099999999999999,1,1,0,1,3.3333333333332664e-05,0.635,0.645
EEGNet,0,19,0.0016666666666666,-0.0033333333333333,0,0,1,0,-5.555555555555278e-06,0.9483333333333333,0.945
EEGNet,0,21,0.0033333333333333,0.0,0,1,0,1,0.0,0.8300000000000001,0.8300000000000001
EEGNet,2,22,0.0033333333333332,0.0049999999999999,1,1,0,1,1.6666666666665668e-05,0.75,0.7549999999999999
EEGNet,3,23,-0.0066666666666665,-0.0016666666666667,1,0,0,0,1.1111111111111054e-05,0.9583333333333334,0.9566666666666668
EEGNet,3,24,-0.0067003367003366,0.0119423400673399,0,0,0,1,-8.001769944109779e-05,0.8922032828282829,0.9041456228956228
EEGNet,2,25,-0.0233333333333333,-0.0083333333333333,1,0,0,0,0.0001944444444444434,0.9833333333333334,0.975
EEGNet,2,26,-0.005,0.0066666666666666,0,0,0,1,-3.3333333333333e-05,0.745,0.7516666666666666
EEGNet,1,27,0.0166666666666666,-0.0033333333333332,0,0,1,0,-5.555555555555311e-05,0.61,0.6066666666666667
EEGNet,0,28,0.0683333333333333,0.0566666666666666,1,1,0,1,0.003872222222222216,0.6466666666666666,0.7033333333333335
EEGNet,2,29,0.0016666666666666,0.0016666666666667,1,1,0,1,2.777777777777722e-06,0.8099999999999999,0.8116666666666666
EEGNet,3,30,3.353798720221827e-17,-0.0049999999999999,0,0,1,0,-1.67689936011088e-19,0.8866666666666667,0.8816666666666667
EEGNet,3,31,-0.005,-0.0083333333333333,1,0,0,0,4.16666666666665e-05,0.5816666666666667,0.5733333333333333
EEGNet,4,32,0.0012962962962963,-3.23815048849004e-17,0,0,1,0,-4.1976024850796935e-20,0.5766666666666667,0.5766666666666667
EEGNet,0,33,0.0099999999999999,0.0066666666666665,1,1,0,1,6.666666666666433e-05,0.9483333333333333,0.955
EEGNet,2,34,0.0083333333333333,-0.0016666666666666,0,0,1,0,-1.3888888888888278e-05,0.5633333333333334,0.5616666666666666
