score,outcome,n_subjects,n_subject_backbone_rows,spearman_with_signed_persistence,AUROC_higher_score_predicts_outcome_1,AUROC_CI95_low,AUROC_CI95_high
adaptation_effect_stability,R_sign,41,82,0.14699223061576722,0.5483091787439613,0.4436221079340827,0.6468468468468469
adaptation_effect_stability,H,41,82,0.14699223061576722,0.5160051216389245,0.3375,0.697108936725375
decision_stability,R_sign,41,82,0.21996038005052154,0.6153381642512077,0.5060379025382945,0.7200963044384098
decision_stability,H,41,82,0.21996038005052154,0.44174135723431496,0.2653275966183575,0.6208955223880597
certificate_snr,R_sign,41,82,0.19385706047831056,0.5609903381642513,0.443161094224924,0.6769806228931192
certificate_snr,H,41,82,0.19385706047831056,0.765685019206146,0.6533928571428571,0.8685714285714285
certificate_lcb90,R_sign,41,82,0.07164007033121261,0.4776570048309179,0.35003014842300556,0.6083352102102101
certificate_lcb90,H,41,82,0.07164007033121261,0.7221510883482715,0.5847609126984127,0.8477619891410527
representation_stability,R_sign,41,82,0.16302715290688954,0.6014492753623188,0.4978963378963379,0.7058832409775505
representation_stability,H,41,82,0.16302715290688954,0.42637644046094764,0.2740076824583867,0.5941101152368757
raw_delta2,R_sign,41,82,0.19170224181708106,0.5730676328502415,0.4554379005201374,0.6921945046122677
raw_delta2,H,41,82,0.19170224181708106,0.7740076824583867,0.6513870614035087,0.8798716255868543
s1_parameter_relative_change,R_sign,41,82,0.09599181586090759,0.5193236714975846,0.4021375171668365,0.6390406271656272
s1_parameter_relative_change,H,41,82,0.09599181586090759,0.4033290653008963,0.2590407268170426,0.555745766058266
s1_anchor_confidence,R_sign,41,82,0.1019464000382626,0.517512077294686,0.4047619047619048,0.6310422141264532
s1_anchor_confidence,H,41,82,0.1019464000382626,0.3623559539052497,0.171047149122807,0.5616438356164383
