outcome,model,status,n_subjects,n_rows,prevalence,AUROC,balanced_accuracy,Brier,AUROC_CI95_low,AUROC_CI95_high,balanced_accuracy_CI95_low,balanced_accuracy_CI95_high,Brier_CI95_low,Brier_CI95_high
R_sign,M0,AVAILABLE_FROZEN,41,82.0,0.5609756097560976,0.44142512077294693,0.5,0.2478597874619952,0.33394607843137253,0.5522512051122253,0.5,0.5,0.2353219334714856,0.2611947438610572
R_sign,M1,AVAILABLE_FROZEN,41,82.0,0.5609756097560976,0.5226449275362319,0.5990338164251208,0.24661322346530412,0.39937124515503875,0.650770135095905,0.4754784688995215,0.7196428571428571,0.22469280703006628,0.2700012521762663
R_sign,M2,AVAILABLE_FROZEN,41,82.0,0.5609756097560976,0.5341183574879227,0.47644927536231885,0.24952115790698223,0.41428485162180817,0.6559406076266541,0.41908212560386476,0.5342342342342342,0.23463372553952713,0.2645372427310179
R_sign,M3,AVAILABLE_FROZEN,41,82.0,0.5609756097560976,0.5283816425120773,0.5042270531400966,0.2510562328783936,0.4139817629179332,0.6454540501238895,0.42948193634363846,0.5803984221758308,0.23438542576390428,0.27075591515752495
R_sign,M4,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_IDENTITY,41,,,,,,,,,,,
R_sign,M5,AVAILABLE_FROZEN,41,82.0,0.5609756097560976,0.5531400966183575,0.5042270531400966,0.25186610215451466,0.4493750000000001,0.6594633575883575,0.4719712936046512,0.5423076923076923,0.23404788576407876,0.26916978133682673
R_sign,M6,AVAILABLE_FROZEN,41,82.0,0.5609756097560976,0.5809178743961353,0.5380434782608696,0.24499175622452712,0.4784643453856641,0.6813747094582514,0.465311004784689,0.612271754676878,0.22601506872508584,0.2635779792247253
R_sign,M7,AVAILABLE_FROZEN,41,82.0,0.5609756097560976,0.5084541062801933,0.5042270531400966,0.24809561929376148,0.40420420420420416,0.6080952172616733,0.46262254901960786,0.551923076923077,0.23415456909783974,0.26204469941966035
R_sign,M8,AVAILABLE_FROZEN,41,82.0,0.5609756097560976,0.5531400966183575,0.5114734299516908,0.25400001962422325,0.4365358159392789,0.6685688448766602,0.4221008610954263,0.6032138480392156,0.2282162777529423,0.28115758428893567
H,M0,AVAILABLE_FROZEN,41,82.0,0.13414634146341464,0.3860435339308579,0.5,0.11781475040909371,0.2392797619047619,0.5362032085561497,0.5,0.5,0.07181757823326636,0.1710343474511345
H,M1,AVAILABLE_FROZEN,41,82.0,0.13414634146341464,0.5537772087067862,0.5,0.11524822427256137,0.3530644912867453,0.7298635284810125,0.5,0.5,0.07288019429786992,0.16112059812495988
H,M2,AVAILABLE_FROZEN,41,82.0,0.13414634146341464,0.647887323943662,0.4859154929577465,0.1377974693982647,0.4833279220779221,0.8111149162861492,0.45652173913043476,0.5,0.08139841000786682,0.20254666952451333
H,M3,AVAILABLE_FROZEN,41,82.0,0.13414634146341464,0.7119078104993597,0.4859154929577465,0.12628488110165537,0.5909405497358761,0.8280060882800608,0.45588235294117646,0.5,0.07851080877179312,0.1786125815167257
H,M4,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_IDENTITY,41,,,,,,,,,,,
H,M5,AVAILABLE_FROZEN,41,82.0,0.13414634146341464,0.35595390524967985,0.5,0.12198376204018924,0.18095238095238092,0.5369047619047619,0.5,0.5,0.07735205240967986,0.17059940759991782
H,M6,AVAILABLE_FROZEN,41,82.0,0.13414634146341464,0.33546734955185664,0.5,0.12188139471483343,0.1583326365663322,0.5198463508322663,0.5,0.5,0.07584904659366692,0.17008059902708636
H,M7,AVAILABLE_FROZEN,41,82.0,0.13414634146341464,0.3213828425096031,0.5,0.12185850496076653,0.1491618601297765,0.5114155251141552,0.5,0.5,0.0777433212607615,0.17096407381173837
H,M8,AVAILABLE_FROZEN,41,82.0,0.13414634146341464,0.5736235595390524,0.4788732394366197,0.1332326502726916,0.42486929898999987,0.7257587425922665,0.4444444444444444,0.5,0.08422820849573148,0.18581481538464975
safe_given_positive_certificate,M0,AVAILABLE_FROZEN,28,39.0,0.6923076923076923,0.3858024691358024,0.5,0.21763450397216674,0.21514309764309764,0.5651606583072099,0.5,0.5,0.17041986730410155,0.2654951552862208
safe_given_positive_certificate,M1,AVAILABLE_FROZEN,28,39.0,0.6923076923076923,0.5709876543209876,0.5,0.20487950856223944,0.35798274306338823,0.7701161012235818,0.5,0.5,0.16072153863573335,0.2520026972480184
safe_given_positive_certificate,M2,AVAILABLE_FROZEN,28,39.0,0.6923076923076923,0.35802469135802467,0.5,0.22564824871288885,0.1875,0.5375033602150537,0.5,0.5,0.18700388709832513,0.26786020629079804
safe_given_positive_certificate,M3,AVAILABLE_FROZEN,28,39.0,0.6923076923076923,0.5524691358024691,0.5,0.21465598987927584,0.34935515873015877,0.7461609686609686,0.5,0.5,0.174513607823932,0.25678803927909755
safe_given_positive_certificate,M4,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_IDENTITY,41,,,,,,,,,,,
safe_given_positive_certificate,M5,AVAILABLE_FROZEN,28,39.0,0.6923076923076923,0.3765432098765432,0.5,0.22516624088381804,0.22121177209886886,0.5466675824175825,0.5,0.5,0.18111685231401725,0.270697046786597
safe_given_positive_certificate,M6,AVAILABLE_FROZEN,28,39.0,0.6923076923076923,0.35802469135802467,0.5,0.22380082800347786,0.18888888888888894,0.5432098765432098,0.5,0.5,0.1769671939241837,0.27285397756427215
safe_given_positive_certificate,M7,AVAILABLE_FROZEN,28,39.0,0.6923076923076923,0.3672839506172839,0.5,0.22861500002752833,0.19815406367825725,0.5491136363636361,0.5,0.5,0.18315211647007176,0.2756331817886206
