task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials
OpenBMI_MI,OpenBMI,4,0,36,0.75,0.7487689679429204,0.75,100
OpenBMI_MI,OpenBMI,4,0,37,0.52,0.5039272426622571,0.52,100
OpenBMI_MI,OpenBMI,4,0,39,0.55,0.54995499549955,0.55,100
OpenBMI_MI,OpenBMI,4,0,42,0.55,0.5444883085332524,0.55,100
OpenBMI_MI,OpenBMI,4,0,51,0.49,0.48872180451127817,0.49,100
OpenBMI_MI,OpenBMI,4,0,54,0.52,0.5182657567242072,0.52,100
OpenBMI_ERP,OpenBMI,0,0,4,0.8790909090909091,0.8355518733314922,0.8974747474747474,1980
OpenBMI_ERP,OpenBMI,0,0,12,0.9418181818181819,0.8980186915887851,0.9373737373737374,1980
OpenBMI_ERP,OpenBMI,0,0,13,0.8951515151515151,0.8229058846373186,0.8818181818181818,1980
OpenBMI_ERP,OpenBMI,0,0,17,0.7366666666666666,0.7066429718727154,0.8156565656565656,1980
OpenBMI_ERP,OpenBMI,0,0,18,0.8496969696969696,0.817569299375648,0.8888888888888888,1980
OpenBMI_ERP,OpenBMI,0,0,24,0.7878787878787878,0.745281400682299,0.8363636363636363,1980
OpenBMI_ERP,OpenBMI,0,0,25,0.7293939393939395,0.7247266816071873,0.843939393939394,1980
OpenBMI_ERP,OpenBMI,0,0,29,0.793030303030303,0.7850317510882673,0.8772727272727273,1980
OpenBMI_ERP,OpenBMI,0,0,36,0.916060606060606,0.8768273716951789,0.9247474747474748,1980
OpenBMI_ERP,OpenBMI,0,0,37,0.9063636363636364,0.8773260933936833,0.9267676767676768,1980
OpenBMI_ERP,OpenBMI,0,0,39,0.6812121212121212,0.6807732966422935,0.8222222222222222,1980
OpenBMI_ERP,OpenBMI,0,0,42,0.813030303030303,0.777961164769378,0.8621212121212121,1980
OpenBMI_ERP,OpenBMI,0,0,51,0.673030303030303,0.6585916194677256,0.7944444444444444,1980
OpenBMI_ERP,OpenBMI,0,0,54,0.6648484848484848,0.6668556820822682,0.8171717171717172,1980
OpenBMI_ERP,OpenBMI,1,0,4,0.8536363636363636,0.7848509733500073,0.8550505050505051,1980
OpenBMI_ERP,OpenBMI,1,0,12,0.9184848484848485,0.8555070055237112,0.9065656565656566,1980
OpenBMI_ERP,OpenBMI,1,0,13,0.8839393939393939,0.8132303030835369,0.8752525252525253,1980
OpenBMI_ERP,OpenBMI,1,0,17,0.7087878787878787,0.7194788013417283,0.852020202020202,1980
OpenBMI_ERP,OpenBMI,1,0,18,0.8687878787878789,0.8271069166662226,0.8924242424242425,1980
OpenBMI_ERP,OpenBMI,1,0,24,0.7845454545454545,0.7231162676744116,0.8106060606060606,1980
OpenBMI_ERP,OpenBMI,1,0,25,0.739090909090909,0.7123181614441139,0.8217171717171717,1980
OpenBMI_ERP,OpenBMI,1,0,29,0.7578787878787878,0.7329881950170656,0.8368686868686869,1980
OpenBMI_ERP,OpenBMI,1,0,36,0.9296969696969697,0.8727702667968951,0.9191919191919192,1980
OpenBMI_ERP,OpenBMI,1,0,37,0.9024242424242425,0.8607551159877617,0.9141414141414141,1980
OpenBMI_ERP,OpenBMI,1,0,39,0.6812121212121212,0.6680006638617936,0.802020202020202,1980
OpenBMI_ERP,OpenBMI,1,0,42,0.7660606060606061,0.7447219983883965,0.8464646464646465,1980
OpenBMI_ERP,OpenBMI,1,0,51,0.656969696969697,0.6129766482880045,0.7272727272727273,1980
OpenBMI_ERP,OpenBMI,1,0,54,0.6430303030303031,0.6263713806839063,0.7686868686868686,1980
OpenBMI_ERP,OpenBMI,2,0,4,0.8978787878787879,0.8058381255297238,0.8641414141414141,1980
OpenBMI_ERP,OpenBMI,2,0,12,0.9245454545454546,0.8346908719305101,0.8863636363636364,1980
OpenBMI_ERP,OpenBMI,2,0,13,0.8878787878787879,0.795020965574758,0.8555555555555555,1980
OpenBMI_ERP,OpenBMI,2,0,17,0.7224242424242424,0.6089855555991679,0.6747474747474748,1980
OpenBMI_ERP,OpenBMI,2,0,18,0.8751515151515152,0.8062560105433914,0.8707070707070707,1980
OpenBMI_ERP,OpenBMI,2,0,24,0.8590909090909091,0.8134636588924996,0.8823232323232323,1980
OpenBMI_ERP,OpenBMI,2,0,25,0.8015151515151515,0.7407585865747315,0.8247474747474748,1980
OpenBMI_ERP,OpenBMI,2,0,29,0.8233333333333333,0.765811282867654,0.8449494949494949,1980
OpenBMI_ERP,OpenBMI,2,0,36,0.9181818181818182,0.8243507179054055,0.8777777777777778,1980
OpenBMI_ERP,OpenBMI,2,0,37,0.9387878787878787,0.878241424749431,0.9222222222222223,1980
OpenBMI_ERP,OpenBMI,2,0,39,0.6378787878787879,0.6092167664670659,0.73989898989899,1980
OpenBMI_ERP,OpenBMI,2,0,42,0.7354545454545455,0.709058310582291,0.8196969696969697,1980
OpenBMI_ERP,OpenBMI,2,0,51,0.6566666666666666,0.6456819119084024,0.7893939393939394,1980
OpenBMI_ERP,OpenBMI,2,0,54,0.6496969696969697,0.6237183997587576,0.7555555555555555,1980
OpenBMI_ERP,OpenBMI,3,0,4,0.873030303030303,0.8527830473970062,0.9136363636363637,1980
OpenBMI_ERP,OpenBMI,3,0,12,0.9448484848484848,0.9222589066339066,0.9545454545454546,1980
OpenBMI_ERP,OpenBMI,3,0,13,0.8903030303030304,0.8323892405063291,0.8919191919191919,1980
OpenBMI_ERP,OpenBMI,3,0,17,0.7518181818181818,0.7097921408194063,0.8106060606060606,1980
OpenBMI_ERP,OpenBMI,3,0,18,0.8400000000000001,0.8450080515297906,0.9151515151515152,1980
OpenBMI_ERP,OpenBMI,3,0,24,0.8263636363636364,0.8115062521962642,0.8904040404040404,1980
OpenBMI_ERP,OpenBMI,3,0,25,0.6606060606060606,0.6806578707592282,0.8444444444444444,1980
OpenBMI_ERP,OpenBMI,3,0,29,0.7621212121212122,0.7513193120847885,0.8560606060606061,1980
OpenBMI_ERP,OpenBMI,3,0,36,0.9375757575757576,0.8959478554781277,0.9363636363636364,1980
OpenBMI_ERP,OpenBMI,3,0,37,0.8727272727272728,0.8782206119162641,0.9333333333333333,1980
OpenBMI_ERP,OpenBMI,3,0,39,0.6681818181818182,0.6568340951931227,0.7964646464646464,1980
OpenBMI_ERP,OpenBMI,3,0,42,0.7754545454545454,0.7764589269199026,0.8762626262626263,1980
OpenBMI_ERP,OpenBMI,3,0,51,0.6596969696969697,0.6426080277714268,0.7803030303030303,1980
OpenBMI_ERP,OpenBMI,3,0,54,0.6496969696969697,0.651152439521962,0.8080808080808081,1980
