task,seed,subject_equal_BA,subject_equal_macro_F1,trial_accuracy,checkpoint_folds,heldout_subjects
OpenBMI_MI,0,0.6134285714285715,0.6099833921071227,0.6134285714285714,5,14
OpenBMI_MI,1,0.6178571428571429,0.6137539352443346,0.6178571428571428,5,14
OpenBMI_MI,2,0.6195714285714287,0.6156479448444319,0.6195714285714286,5,14
OpenBMI_ERP,0,0.796878787878788,0.7641678725065498,0.8543650793650794,5,14
OpenBMI_ERP,1,0.7992121212121213,0.7703874259849135,0.8600721500721502,5,14
OpenBMI_ERP,2,0.7983506493506495,0.7705497644670947,0.8607720057720056,5,14
OpenBMI_SSVEP,0,0.8451428571428572,0.8430082050797255,0.845142857142857,5,14
OpenBMI_SSVEP,1,0.8484285714285713,0.8469633194744347,0.8484285714285715,5,14
OpenBMI_SSVEP,2,0.8389999999999999,0.8373317334461844,0.8390000000000001,5,14
WBCIC_MI,0,0.7134999999999999,0.711826637585717,0.7135,5,10
WBCIC_MI,1,0.7184999999999999,0.7168366824490753,0.7185,5,10
WBCIC_MI,2,0.7212000000000001,0.7196222653388905,0.7212000000000001,5,10
