task,model,parameters,trainable_parameters
OpenBMI_MI,ModernTCN,17391170,17391170
OpenBMI_ERP,ModernTCN,17026114,17026114
OpenBMI_SSVEP,ModernTCN,17883204,17883204
WBCIC_MI,ModernTCN,15914050,15914050
