subject_id,same_similarity,mismatched_similarity,R_persist
1,0.819976806640625,0.3969150260090828,0.4230617806315422
10,0.9520784169435501,0.5161527097225189,0.4359257072210312
11,0.7764995694160461,-0.30886777490377426,1.0853673443198204
14,0.4512806385755539,-0.043135319370776415,0.4944159579463303
16,0.742909774184227,0.5002453029155731,0.24266447126865387
17,0.2336041545495391,0.15084717876743525,0.08275697578210384
19,0.8416843563318253,0.045401245821267366,0.7962831105105579
22,0.837711974978447,-0.14537255745381117,0.9830845324322581
25,0.40157559514045715,0.27241621538996696,0.1291593797504902
28,0.8682434409856796,-0.08365849312394857,0.9519019341096282
3,0.8507500141859055,0.29342190545867197,0.5573281087272335
30,0.9459151923656464,0.2877037227153778,0.6582114696502686
38,0.7022826224565506,0.6827219873666763,0.019560635089874268
40,0.7060945779085159,0.22378242015838623,0.4823121577501297
45,0.8522804528474808,-0.17448566481471062,1.0267661176621914
48,0.9176949560642242,0.4384503960609436,0.47924456000328064
49,0.8848013877868652,0.5350032672286034,0.34979812055826187
5,0.8624107986688614,0.2842777520418167,0.5781330466270447
50,0.24405744671821594,-0.22844890132546425,0.4725063480436802
54,0.8062174767255783,0.482193298637867,0.32402417808771133
6,0.9075029864907265,0.18973231129348278,0.7177706751972437
7,0.9158587157726288,-0.42790160328149796,1.3437603190541267
9,0.467120498418808,0.0768500599078834,0.3902704385109246
