task,fold,subject_id,XNG_BA,XC_BA,delta_BA_pp,XNG_macro_F1,XC_macro_F1,delta_macro_F1_pp,XNG_accuracy,XC_accuracy
WBCIC_MI,0,sub-18,0.685,0.665,-2.0000000000000018,0.6821312343903732,0.6639835502394744,-1.8147684150898735,0.685,0.665
WBCIC_MI,0,sub-22,0.72,0.76,4.0000000000000036,0.7186212440960708,0.7597838054248824,4.116256132881169,0.72,0.76
WBCIC_MI,0,sub-35,0.93,0.9450000000000001,1.5000000000000013,0.92974708952228,0.9448883990079912,1.514130948571113,0.93,0.945
WBCIC_MI,0,sub-44,0.79,0.835,4.499999999999993,0.7882851093860268,0.8349958748968724,4.671076551084563,0.79,0.835
WBCIC_MI,0,sub-49,0.86,0.855,-0.5000000000000004,0.859873886497848,0.8543847756772364,-0.5489110820611653,0.86,0.855
WBCIC_MI,0,sub-6,0.905,0.825,-8.000000000000007,0.9047117530529852,0.8240100565681961,-8.07016964847891,0.905,0.825
WBCIC_MI,0,sub-9,0.56,0.5800000000000001,2.0000000000000018,0.5397008055235903,0.5765702187720536,3.6869413248463268,0.56,0.58
WBCIC_MI,1,sub-12,0.73,0.75,2.0000000000000018,0.72997299729973,0.74997499749975,2.0002000200020076,0.73,0.75
WBCIC_MI,1,sub-28,0.6900000000000001,0.6900000000000001,0.0,0.6710526315789473,0.6710526315789473,0.0,0.69,0.69
WBCIC_MI,1,sub-30,0.855,0.875,2.0000000000000018,0.8533835536793144,0.8740903024350936,2.070674875577916,0.855,0.875
WBCIC_MI,1,sub-37,0.76,0.755,-0.5000000000000004,0.7536945812807883,0.7497382466355116,-0.3956334645276671,0.76,0.755
WBCIC_MI,1,sub-45,0.915,0.9199999999999999,0.49999999999998934,0.9147420948368816,0.9197994987468672,0.5057403909985547,0.915,0.92
WBCIC_MI,1,sub-7,0.8049999999999999,0.815,1.0000000000000009,0.80389692017599,0.813953488372093,1.005656819610301,0.805,0.815
WBCIC_MI,2,sub-1,0.925,0.9299999999999999,0.49999999999998934,0.9248478168290788,0.9299369432489241,0.5089126419845269,0.925,0.93
WBCIC_MI,2,sub-14,0.535,0.54,0.5000000000000004,0.528767956221023,0.5392628205128205,1.0494864291797468,0.535,0.54
WBCIC_MI,2,sub-23,0.94,0.9550000000000001,1.5000000000000124,0.939783219590526,0.9549086900974473,1.5125470506921257,0.94,0.955
WBCIC_MI,2,sub-32,0.675,0.675,0.0,0.67499187479687,0.674601386698706,-0.03904880981639991,0.675,0.675
WBCIC_MI,2,sub-34,0.525,0.495,-3.0000000000000027,0.513307205614898,0.4913248218377779,-2.198238377712003,0.525,0.495
WBCIC_MI,2,sub-50,0.94,0.925,-1.4999999999999902,0.93999399939994,0.9249530956848031,-1.5040903715136889,0.94,0.925
WBCIC_MI,3,sub-11,0.67,0.645,-2.500000000000002,0.6643271284711627,0.64349376114082,-2.083336733034269,0.67,0.645
WBCIC_MI,3,sub-13,0.885,0.87,-1.5000000000000013,0.8849741191768148,0.8699869986998701,-1.4987120476944726,0.885,0.87
WBCIC_MI,3,sub-24,0.9335542929292928,0.9485479797979798,1.4993686868686962,0.9333333333333332,0.9486842105263158,1.535087719298256,0.9333333333333332,0.9487179487179487
WBCIC_MI,3,sub-26,0.65,0.645,-0.5000000000000004,0.6457131288591963,0.6337846550612508,-1.1928473797945482,0.65,0.645
WBCIC_MI,3,sub-29,0.88,0.86,-2.0000000000000018,0.8798919027124412,0.8590982286634461,-2.0793674048995126,0.88,0.86
WBCIC_MI,3,sub-47,0.8300000000000001,0.8600000000000001,3.0000000000000027,0.8286117552172598,0.8596491228070176,3.1037367589757725,0.83,0.86
WBCIC_MI,4,sub-16,0.5700000000000001,0.6,2.9999999999999916,0.5538956323270048,0.5941558441558441,4.026021182883932,0.57,0.6
WBCIC_MI,4,sub-27,0.62,0.655,3.500000000000003,0.6153456827614131,0.6549913747843696,3.9645692022956536,0.62,0.655
WBCIC_MI,4,sub-36,0.97,0.975,0.5000000000000004,0.96999699969997,0.9749943737340903,0.4997374034120261,0.97,0.975
WBCIC_MI,4,sub-41,0.865,0.88,1.5000000000000013,0.8649155722326454,0.8799519807923168,1.5036408559671477,0.865,0.88
WBCIC_MI,4,sub-48,0.825,0.87,4.5000000000000036,0.8247853620685339,0.8699869986998701,4.520163663133614,0.825,0.87
WBCIC_MI,4,sub-5,0.785,0.785,0.0,0.7849516141131755,0.7849946248656217,0.004301075244617092,0.785,0.785
