diagnostic,task,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,0,sub-38,LiteBN_XC,0.42000000000000004,0.4152636354471217,0.42,200,e655665126fe9be577e4ee18e33aad0f86af2bf469ed25a2ebbf2ee6a73c9430,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,0,sub-38,LiteBN_XNG,0.435,0.4171502256608639,0.435,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,0,sub-42,LiteBN_XC,0.685,0.6848030018761726,0.685,200,e655665126fe9be577e4ee18e33aad0f86af2bf469ed25a2ebbf2ee6a73c9430,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,0,sub-42,LiteBN_XNG,0.655,0.6542999574137629,0.655,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-17,LiteBN_XC,0.815,0.8147730970438787,0.815,200,08651ac67226d09ccb046a26098baa5a9a20f0a077b2254deb79e23cdd85b25f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-17,LiteBN_XNG,0.81,0.8099239695878351,0.81,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-19,LiteBN_XC,0.94,0.9398496240601504,0.94,200,08651ac67226d09ccb046a26098baa5a9a20f0a077b2254deb79e23cdd85b25f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-19,LiteBN_XNG,0.935,0.9348027784046742,0.935,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-2,LiteBN_XC,0.7250000000000001,0.7241656009428521,0.725,200,08651ac67226d09ccb046a26098baa5a9a20f0a077b2254deb79e23cdd85b25f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-2,LiteBN_XNG,0.7150000000000001,0.7144217039504998,0.715,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-21,LiteBN_XC,0.87,0.8696741854636592,0.87,200,08651ac67226d09ccb046a26098baa5a9a20f0a077b2254deb79e23cdd85b25f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-21,LiteBN_XNG,0.8600000000000001,0.8596491228070176,0.86,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-25,LiteBN_XC,0.97,0.97,0.97,200,08651ac67226d09ccb046a26098baa5a9a20f0a077b2254deb79e23cdd85b25f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-25,LiteBN_XNG,0.97,0.97,0.97,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-3,LiteBN_XC,0.745,0.742677665935064,0.745,200,08651ac67226d09ccb046a26098baa5a9a20f0a077b2254deb79e23cdd85b25f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-3,LiteBN_XNG,0.75,0.7474747474747474,0.75,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-31,LiteBN_XC,0.61,0.6060606060606061,0.61,200,08651ac67226d09ccb046a26098baa5a9a20f0a077b2254deb79e23cdd85b25f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-31,LiteBN_XNG,0.64,0.633811412877632,0.64,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-33,LiteBN_XC,0.975,0.9749993749843746,0.975,200,08651ac67226d09ccb046a26098baa5a9a20f0a077b2254deb79e23cdd85b25f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-33,LiteBN_XNG,0.975,0.9749993749843746,0.975,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-38,LiteBN_XC,0.52,0.4931897370921761,0.52,200,08651ac67226d09ccb046a26098baa5a9a20f0a077b2254deb79e23cdd85b25f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
