task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials
OpenBMI_MI,OpenBMI,0,0,4,0.6900000000000001,0.6726850385386971,0.69,100
OpenBMI_MI,OpenBMI,0,0,12,0.6599999999999999,0.6578099838969405,0.66,100
OpenBMI_MI,OpenBMI,0,0,13,0.7,0.6980676328502415,0.7,100
OpenBMI_MI,OpenBMI,0,0,17,0.5700000000000001,0.5647332725984411,0.57,100
OpenBMI_MI,OpenBMI,0,0,18,0.55,0.54995499549955,0.55,100
OpenBMI_MI,OpenBMI,0,0,24,0.58,0.5543293718166383,0.58,100
OpenBMI_MI,OpenBMI,0,0,25,0.96,0.959983993597439,0.96,100
OpenBMI_MI,OpenBMI,0,0,29,0.6000000000000001,0.5993589743589745,0.6,100
OpenBMI_MI,OpenBMI,0,0,36,0.8300000000000001,0.8298468621759583,0.83,100
OpenBMI_MI,OpenBMI,0,0,37,0.64,0.6394230769230769,0.64,100
OpenBMI_MI,OpenBMI,0,0,39,0.63,0.6214833759590792,0.63,100
OpenBMI_MI,OpenBMI,0,0,42,0.63,0.6269785260610949,0.63,100
OpenBMI_MI,OpenBMI,0,0,51,0.6,0.5998399359743898,0.6,100
OpenBMI_MI,OpenBMI,0,0,54,0.71,0.7092731829573935,0.71,100
OpenBMI_MI,OpenBMI,1,0,4,0.75,0.7457023700539112,0.75,100
OpenBMI_MI,OpenBMI,1,0,12,0.6799999999999999,0.6788438378161381,0.68,100
OpenBMI_MI,OpenBMI,1,0,13,0.75,0.7493734335839599,0.75,100
OpenBMI_MI,OpenBMI,1,0,17,0.51,0.4987212276214834,0.51,100
OpenBMI_MI,OpenBMI,1,0,18,0.63,0.6290726817042607,0.63,100
OpenBMI_MI,OpenBMI,1,0,24,0.59,0.5805626598465473,0.59,100
OpenBMI_MI,OpenBMI,1,0,25,0.98,0.9799919967987194,0.98,100
OpenBMI_MI,OpenBMI,1,0,29,0.6000000000000001,0.5985547972701726,0.6,100
OpenBMI_MI,OpenBMI,1,0,36,0.8600000000000001,0.8594941790445605,0.86,100
OpenBMI_MI,OpenBMI,1,0,37,0.6799999999999999,0.677938808373591,0.68,100
OpenBMI_MI,OpenBMI,1,0,39,0.62,0.6041666666666667,0.62,100
OpenBMI_MI,OpenBMI,1,0,42,0.6799999999999999,0.677938808373591,0.68,100
OpenBMI_MI,OpenBMI,1,0,51,0.65,0.6471418489767113,0.65,100
OpenBMI_MI,OpenBMI,1,0,54,0.64,0.6347402597402598,0.64,100
OpenBMI_MI,OpenBMI,2,0,4,0.7,0.6875,0.7,100
OpenBMI_MI,OpenBMI,2,0,12,0.66,0.66,0.66,100
OpenBMI_MI,OpenBMI,2,0,13,0.7,0.6989160979526294,0.7,100
OpenBMI_MI,OpenBMI,2,0,17,0.64,0.6363636363636364,0.64,100
OpenBMI_MI,OpenBMI,2,0,18,0.55,0.5463252343986289,0.55,100
OpenBMI_MI,OpenBMI,2,0,24,0.6799999999999999,0.6736026111791106,0.68,100
OpenBMI_MI,OpenBMI,2,0,25,0.99,0.9899989998999901,0.99,100
OpenBMI_MI,OpenBMI,2,0,29,0.54,0.537037037037037,0.54,100
OpenBMI_MI,OpenBMI,2,0,36,0.79,0.7889659330720531,0.79,100
OpenBMI_MI,OpenBMI,2,0,37,0.64,0.6363636363636364,0.64,100
OpenBMI_MI,OpenBMI,2,0,39,0.61,0.6010230179028133,0.61,100
OpenBMI_MI,OpenBMI,2,0,42,0.6699999999999999,0.6673051718923279,0.67,100
OpenBMI_MI,OpenBMI,2,0,51,0.6000000000000001,0.5985547972701726,0.6,100
OpenBMI_MI,OpenBMI,2,0,54,0.73,0.72997299729973,0.73,100
OpenBMI_MI,OpenBMI,3,0,4,0.75,0.7406369955389562,0.75,100
OpenBMI_MI,OpenBMI,3,0,12,0.6699999999999999,0.6673051718923279,0.67,100
OpenBMI_MI,OpenBMI,3,0,13,0.71,0.7097387648883995,0.71,100
OpenBMI_MI,OpenBMI,3,0,17,0.58,0.5689655172413793,0.58,100
OpenBMI_MI,OpenBMI,3,0,18,0.53,0.52995299529953,0.53,100
OpenBMI_MI,OpenBMI,3,0,24,0.5700000000000001,0.557203171661003,0.57,100
OpenBMI_MI,OpenBMI,3,0,25,0.99,0.9899989998999901,0.99,100
OpenBMI_MI,OpenBMI,3,0,29,0.5900000000000001,0.5896306676008407,0.59,100
OpenBMI_MI,OpenBMI,3,0,36,0.77,0.769792813532179,0.77,100
OpenBMI_MI,OpenBMI,3,0,37,0.63,0.6290726817042607,0.63,100
OpenBMI_MI,OpenBMI,3,0,39,0.57,0.5601023017902813,0.57,100
OpenBMI_MI,OpenBMI,3,0,42,0.7,0.696969696969697,0.7,100
OpenBMI_MI,OpenBMI,3,0,51,0.6599999999999999,0.6594551282051282,0.66,100
OpenBMI_MI,OpenBMI,3,0,54,0.66,0.66,0.66,100
OpenBMI_MI,OpenBMI,4,0,4,0.73,0.7198879551820728,0.73,100
