task,model,fold,seed,status,elapsed_seconds,peak_cuda_bytes,checkpoint_sha256,normalizer_sha256,split_sha256
OpenBMI_MI,Medformer,0,0,complete,223.74731499999984,7825777664,be2b88f47edc4392bf4ee2cf2de555829357d6a0e45a4c094568f72d8ef65802,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,0,1,complete,169.7137733999998,7825137664,25b2d3ae767ae075026ac230870096c8a3bc1d35a8d914dae188bea8d7e93f31,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,0,2,complete,208.5881959999997,7825137664,8ece119b3c16b2b56f7069dfdeb6a77fd84bd30ebeba87ccc6064d06031c9750,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,1,0,complete,152.40053790000002,7825137664,e849f5b40529d9515609aebd6b4d052520e05fddfcdf6623de33e45e49c2ae41,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,1,1,complete,237.48166040000024,7825137664,310e54bf8a79871ff6041ada0ef33f33b32b2eb112c8eea33c882e906fe3d451,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,1,2,complete,136.76246019999962,7825137664,895698b6ec8cb537ee1aeb74626910f85175b26a22918da6d3a2f99b83432646,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,2,0,complete,121.16593030000013,7825137664,cce9d893fb6ae4de5994a1781f1e971775ba6cd0efdcbb7cfa1bf7052d0ed697,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,2,1,complete,142.6771335000003,7825137664,e18a12294019d153cd7683a66d6ef624351f47bbeb392f63afda193cd2e52b4c,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,2,2,complete,112.68513380000013,7825137664,9da96da1ec116dc9665c47518423b531421c6afc4e882bdcf5e669539eb318d4,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,3,0,complete,131.84990080000034,7825137664,d847a60e8a1ee21169ae77fe584b681b0c66936cecc0245220399b88f7028ff1,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,3,1,complete,84.22231409999995,7825137664,c718ff02f573feb39a36ca52aff695e63df90d1b64158c677332ae4a47f728a5,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,3,2,complete,79.98645850000003,7825137664,447eccc97c1be71fc9b52acfb9e9433df49cadc5abeadc9604bafe6c6ffece09,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,4,0,complete,154.87815799999998,7825137664,29d14b036444f0da26bce223d2b2e2e2895bf68c3f847202d69ae7013608f9c7,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,4,1,complete,132.81509480000022,7825137664,2d40da8f0602216646d293af6e0fb1f1177246aea8fea8c8780e3816e3a0b167,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
OpenBMI_MI,Medformer,4,2,complete,142.99605829999973,7825137664,f85727d933bf4b7ee2bb8ed497a646f5c2b4a194f8f6ea322db33098a28f92d8,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068
