task,model,parameters,trainable_parameters
OpenBMI_MI,Medformer,3890178,3890178
OpenBMI_ERP,Medformer,3781890,3781890
OpenBMI_SSVEP,Medformer,4035332,4035332
WBCIC_MI,Medformer,3853314,3853314
