task,dataset,fold,epoch,BA,macro_F1,accuracy,delta_BA,dW_norm,db_norm,loss,best_epoch,bad_epochs,best_ba
OpenBMI_MI,OpenBMI,0,0,0.7683333333333332,0.7627971665034042,0.7683333333333332,0.0,0.0,0.0,,0,0,
OpenBMI_MI,OpenBMI,0,1,0.7699999999999999,0.764632383348763,0.7699999999999999,0.0016666666666667052,0.006220452953130007,0.0006860630237497389,0.1764238402247429,1,0,0.7699999999999999
OpenBMI_MI,OpenBMI,0,2,0.7699999999999999,0.764632383348763,0.7699999999999999,0.0016666666666667052,0.01150568388402462,0.001385349314659834,0.15037464226285616,1,1,0.7699999999999999
OpenBMI_MI,OpenBMI,0,3,0.765,0.7588875925906491,0.765,-0.0033333333333331883,0.016638612374663353,0.002010413445532322,0.1816649784644445,1,2,0.7699999999999999
OpenBMI_MI,OpenBMI,0,4,0.765,0.7588875925906491,0.765,-0.0033333333333331883,0.020892376080155373,0.0025109732523560524,0.16192243496576944,1,3,0.7699999999999999
OpenBMI_MI,OpenBMI,0,5,0.765,0.7588875925906491,0.765,-0.0033333333333331883,0.02528657764196396,0.00294287595897913,0.1571166788538297,1,4,0.7699999999999999
OpenBMI_MI,OpenBMI,0,6,0.765,0.7586591483674816,0.765,-0.0033333333333331883,0.029483018442988396,0.0033427586313337088,0.16652641942103705,1,5,0.7699999999999999
OpenBMI_MI,OpenBMI,1,0,0.81,0.8062744155005457,0.81,0.0,0.0,0.0,,0,0,
OpenBMI_MI,OpenBMI,1,1,0.8116666666666666,0.8082035917599072,0.8116666666666666,0.0016666666666665941,0.006210933439433575,0.00024382203991990536,0.1969647357861201,1,0,0.8116666666666666
OpenBMI_MI,OpenBMI,1,2,0.8083333333333332,0.804844876478923,0.8083333333333332,-0.0016666666666668162,0.011286201886832714,0.0004966887063346803,0.21227507293224335,1,1,0.8116666666666666
OpenBMI_MI,OpenBMI,1,3,0.8066666666666666,0.8031930506320726,0.8066666666666666,-0.0033333333333334103,0.015858588740229607,0.0007409369572997093,0.2032851204276085,1,2,0.8116666666666666
OpenBMI_MI,OpenBMI,1,4,0.8066666666666666,0.8031930506320726,0.8066666666666666,-0.0033333333333334103,0.020372074097394943,0.0008973830845206976,0.2029492830236753,1,3,0.8116666666666666
