task,dataset,folds,task_mean_delta_pp,positive_folds,zero_folds,negative_folds,mean_selected_head_norm
OpenBMI_ERP,OpenBMI,5,0.0,0,5,0,0.0
OpenBMI_MI,OpenBMI,5,0.23333333333332984,4,1,0,0.008446020064137286
OpenBMI_SSVEP,OpenBMI,5,0.03333333333333188,1,4,0,0.0019558387051390423
WBCIC_MI,WBCIC,5,0.2608333333333346,3,2,0,0.017682239525319565
