task,dataset,fold,epoch0_XS_BA,selected_BA,delta_vs_XS,delta_vs_XS_pp,selected_epoch,residual_head_norm,dW_norm,db_norm,status,early_stop_epoch,selected_checkpoint
OpenBMI_ERP,OpenBMI,0,0.8703030303030305,0.8703030303030305,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_erp/fold0/best.pt
OpenBMI_ERP,OpenBMI,1,0.8295454545454546,0.8295454545454546,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_erp/fold1/best.pt
OpenBMI_ERP,OpenBMI,2,0.7959090909090909,0.7959090909090909,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_erp/fold2/best.pt
OpenBMI_ERP,OpenBMI,3,0.8448484848484851,0.8448484848484851,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_erp/fold3/best.pt
OpenBMI_ERP,OpenBMI,4,0.8194444444444445,0.8194444444444445,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_erp/fold4/best.pt
OpenBMI_MI,OpenBMI,0,0.7683333333333332,0.7699999999999999,0.0016666666666667052,0.16666666666667052,1,0.006258172050579982,0.006220452953130007,0.0006860630237497389,positive,6,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_mi/fold0/best.pt
OpenBMI_MI,OpenBMI,1,0.81,0.8116666666666666,0.0016666666666665941,0.1666666666666594,1,0.0062157174466206935,0.006210933439433575,0.00024382203991990536,positive,6,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_mi/fold1/best.pt
OpenBMI_MI,OpenBMI,2,0.805,0.8099999999999999,0.004999999999999893,0.49999999999998934,3,0.015884134597137164,0.015825388953089714,0.001364842988550663,positive,8,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_mi/fold2/best.pt
OpenBMI_MI,OpenBMI,3,0.8266666666666668,0.8300000000000001,0.0033333333333332993,0.33333333333332993,2,0.01387207622634859,0.013774685561656952,0.0016408950323238969,positive,7,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_mi/fold3/best.pt
OpenBMI_MI,OpenBMI,4,0.7516666666666666,0.7516666666666666,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_mi/fold4/best.pt
OpenBMI_SSVEP,OpenBMI,0,0.9566666666666667,0.9566666666666667,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_ssvep/fold0/best.pt
OpenBMI_SSVEP,OpenBMI,1,0.96,0.9616666666666666,0.0016666666666665941,0.1666666666666594,1,0.009779193525695212,0.009739300236105919,0.0008824153919704258,positive,6,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_ssvep/fold1/best.pt
OpenBMI_SSVEP,OpenBMI,2,0.9383333333333334,0.9383333333333334,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_ssvep/fold2/best.pt
OpenBMI_SSVEP,OpenBMI,3,0.8799999999999999,0.8799999999999999,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_ssvep/fold3/best.pt
OpenBMI_SSVEP,OpenBMI,4,0.9500000000000001,0.9500000000000001,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/openbmi_ssvep/fold4/best.pt
WBCIC_MI,WBCIC,0,0.7036477272727273,0.7046893939393939,0.0010416666666666075,0.10416666666666075,1,0.01662994301598172,0.016539253294467926,0.001734388992190361,positive,6,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/wbcic_mi/fold0/best.pt
WBCIC_MI,WBCIC,1,0.8917108585858585,0.8917108585858585,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/wbcic_mi/fold1/best.pt
WBCIC_MI,WBCIC,2,0.883,0.8850000000000001,0.002000000000000113,0.20000000000001128,4,0.026480207978719455,0.026473183184862137,0.0006099070888012648,positive,9,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/wbcic_mi/fold2/best.pt
WBCIC_MI,WBCIC,3,0.744,0.744,0.0,0.0,0,0.0,0.0,0.0,zero,5,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/wbcic_mi/fold3/best.pt
WBCIC_MI,WBCIC,4,0.77,0.78,0.010000000000000009,1.0000000000000009,3,0.045301046631896644,0.04503150284290314,0.004934427794069052,positive,8,/root/rivermind-data/xs_residual_head_seed0_runtime/canonical_inner/wbcic_mi/fold4/best.pt
