dataset,fold,subject_id,EEGNet_mean_BA,LiteBN_mean_BA,preference,LiteBN_wins_3of3,EEGNet_wins_3of3,LiteBN_wins,EEGNet_wins,ties,stable_2of3_or_more,oracle_gain_over_best_global_pp
WBCIC,0,sub-44,0.7866666666666667,0.7966666666666667,LITEBN,False,False,2,1,0,True,1.0981793743890633
WBCIC,0,sub-49,0.8866666666666667,0.86,EEGNET,False,False,0,2,1,True,10.09817937438906
WBCIC,0,sub-6,0.915,0.8983333333333334,EEGNET,False,False,1,2,0,True,12.931512707722392
WBCIC,0,sub-9,0.6116666666666667,0.5499999999999999,EEGNET,False,True,0,3,0,True,-17.40182062561094
WBCIC,1,sub-12,0.7283333333333334,0.7383333333333333,LITEBN,False,False,1,0,2,False,-4.735153958944283
WBCIC,1,sub-28,0.6783333333333333,0.555,EEGNET,False,True,0,3,0,True,-10.735153958944277
WBCIC,1,sub-30,0.855,0.81,EEGNET,False,False,0,2,1,True,6.931512707722387
WBCIC,1,sub-37,0.8633333333333333,0.8666666666666666,TIE,False,False,1,1,1,False,8.098179374389048
WBCIC,1,sub-45,0.9500000000000001,0.9233333333333333,EEGNET,False,True,0,3,0,True,16.431512707722394
WBCIC,1,sub-7,0.8366666666666668,0.81,EEGNET,False,True,0,3,0,True,5.098179374389067
WBCIC,2,sub-1,0.9500000000000001,0.9266666666666667,EEGNET,False,False,0,2,1,True,16.431512707722394
WBCIC,2,sub-14,0.5683333333333332,0.515,EEGNET,False,True,0,3,0,True,-21.735153958944288
WBCIC,2,sub-23,0.9633333333333333,0.965,TIE,False,False,1,1,1,False,17.931512707722387
WBCIC,2,sub-32,0.56,0.6066666666666666,LITEBN,True,False,3,0,0,True,-17.901820625610952
WBCIC,2,sub-34,0.5283333333333333,0.5466666666666667,LITEBN,False,False,1,1,1,False,-23.901820625610938
WBCIC,2,sub-50,0.9550000000000001,0.9433333333333334,EEGNET,False,True,0,3,0,True,16.931512707722398
WBCIC,3,sub-11,0.6533333333333333,0.7316666666666668,LITEBN,True,False,3,0,0,True,-5.401820625610931
WBCIC,3,sub-13,0.8716666666666666,0.8816666666666667,LITEBN,False,False,2,0,1,True,9.59817937438906
WBCIC,3,sub-24,0.9095643939393939,0.9217697811447811,LITEBN,False,False,2,0,1,True,13.608490822200503
WBCIC,3,sub-26,0.6283333333333333,0.6883333333333334,LITEBN,True,False,3,0,0,True,-9.735153958944275
WBCIC,3,sub-29,0.8366666666666666,0.88,LITEBN,True,False,3,0,0,True,9.431512707722389
WBCIC,3,sub-47,0.9533333333333335,0.92,EEGNET,False,True,0,3,0,True,16.764846041055737
WBCIC,4,sub-16,0.545,0.5683333333333332,LITEBN,False,False,2,1,0,True,-21.735153958944288
WBCIC,4,sub-27,0.6333333333333333,0.6483333333333333,LITEBN,False,False,2,1,0,True,-13.735153958944279
WBCIC,4,sub-36,0.9766666666666666,0.9683333333333333,EEGNET,False,False,0,2,1,True,19.098179374389048
WBCIC,4,sub-41,0.8533333333333334,0.8566666666666666,TIE,False,False,1,1,1,False,7.098179374389046
WBCIC,4,sub-48,0.8266666666666667,0.8250000000000001,TIE,False,False,2,1,0,True,4.098179374389055
WBCIC,4,sub-5,0.7633333333333333,0.7783333333333333,LITEBN,False,False,2,0,1,True,-0.735153958944279
