dataset,fold,subject_id,EEGNet_mean_BA,LiteBN_mean_BA,preference,LiteBN_wins_3of3,EEGNet_wins_3of3,LiteBN_wins,EEGNet_wins,ties,stable_2of3_or_more,oracle_gain_over_best_global_pp
OpenBMI,0,15,0.8333333333333334,0.8666666666666667,LITEBN,False,False,2,0,1,True,8.05
OpenBMI,0,3,0.8633333333333333,0.8966666666666666,LITEBN,False,False,2,1,0,True,11.049999999999994
OpenBMI,0,32,0.66,0.7433333333333333,LITEBN,True,False,3,0,0,True,-4.2833333333333385
OpenBMI,0,33,0.7733333333333334,0.8966666666666666,LITEBN,True,False,3,0,0,True,11.049999999999994
OpenBMI,0,38,0.7366666666666667,0.7533333333333333,LITEBN,False,False,2,1,0,True,-3.283333333333338
OpenBMI,0,47,0.8799999999999999,0.8799999999999999,TIE,False,False,1,2,0,True,9.383333333333322
OpenBMI,0,5,0.7133333333333334,0.7533333333333333,LITEBN,False,False,2,1,0,True,-3.283333333333338
OpenBMI,0,6,0.93,0.9333333333333332,TIE,False,False,1,2,0,True,14.716666666666656
OpenBMI,1,14,0.7133333333333333,0.7200000000000001,LITEBN,False,False,2,1,0,True,-6.61666666666666
OpenBMI,1,2,0.8033333333333333,0.7433333333333333,EEGNET,False,True,0,3,0,True,1.7166666666666663
OpenBMI,1,26,0.8533333333333334,0.8533333333333334,TIE,False,False,1,2,0,True,6.71666666666667
OpenBMI,1,28,0.7799999999999999,0.9266666666666666,LITEBN,True,False,3,0,0,True,14.049999999999995
OpenBMI,1,31,0.8033333333333333,0.8133333333333334,LITEBN,False,False,1,2,0,True,2.7166666666666672
OpenBMI,1,35,0.8433333333333334,0.8166666666666668,EEGNET,False,False,1,2,0,True,5.71666666666667
OpenBMI,1,40,0.82,0.82,TIE,False,False,1,2,0,True,3.383333333333327
OpenBMI,1,43,0.8633333333333333,0.8966666666666666,LITEBN,False,False,2,1,0,True,11.049999999999994
OpenBMI,2,1,0.6666666666666666,0.68,LITEBN,False,False,2,1,0,True,-10.616666666666664
OpenBMI,2,11,0.7066666666666667,0.6933333333333334,EEGNET,False,False,1,2,0,True,-7.950000000000001
OpenBMI,2,23,0.7166666666666667,0.75,LITEBN,False,False,2,1,0,True,-3.616666666666668
OpenBMI,2,30,0.7566666666666667,0.7066666666666667,EEGNET,False,False,1,2,0,True,-2.949999999999997
OpenBMI,2,48,0.6766666666666666,0.6266666666666666,EEGNET,False,True,0,3,0,True,-10.950000000000005
OpenBMI,2,50,0.6333333333333333,0.5966666666666667,EEGNET,False,False,0,2,1,True,-15.283333333333339
OpenBMI,2,52,0.7933333333333333,0.7966666666666667,TIE,False,False,2,1,0,True,1.0500000000000065
OpenBMI,2,8,0.7133333333333334,0.8366666666666668,LITEBN,True,False,3,0,0,True,5.05000000000001
OpenBMI,3,10,0.7200000000000001,0.7566666666666667,LITEBN,False,False,2,1,0,True,-2.949999999999997
OpenBMI,3,16,0.7966666666666667,0.8733333333333334,LITEBN,True,False,3,0,0,True,8.716666666666672
OpenBMI,3,19,0.71,0.7433333333333333,LITEBN,False,False,2,1,0,True,-4.2833333333333385
OpenBMI,3,22,0.6433333333333334,0.6833333333333332,LITEBN,True,False,3,0,0,True,-10.283333333333344
OpenBMI,3,27,0.8933333333333332,0.9266666666666666,LITEBN,True,False,3,0,0,True,14.049999999999995
OpenBMI,3,34,0.63,0.6466666666666666,LITEBN,False,False,2,1,0,True,-13.950000000000006
OpenBMI,3,45,0.7433333333333333,0.7633333333333333,LITEBN,False,False,2,1,0,True,-2.283333333333337
OpenBMI,3,49,0.8266666666666667,0.8300000000000001,TIE,False,False,1,1,1,False,4.383333333333339
OpenBMI,4,20,0.8666666666666667,0.8999999999999999,LITEBN,True,False,3,0,0,True,11.383333333333322
OpenBMI,4,21,0.8533333333333334,0.9133333333333332,LITEBN,True,False,3,0,0,True,12.716666666666654
OpenBMI,4,41,0.7266666666666666,0.7533333333333333,LITEBN,False,False,2,1,0,True,-3.283333333333338
OpenBMI,4,44,0.69,0.8366666666666666,LITEBN,True,False,3,0,0,True,5.049999999999988
OpenBMI,4,46,0.6699999999999999,0.6699999999999999,TIE,False,False,2,1,0,True,-11.616666666666674
OpenBMI,4,53,0.7433333333333333,0.7666666666666666,LITEBN,False,False,2,1,0,True,-1.9500000000000073
OpenBMI,4,7,0.7033333333333333,0.7366666666666667,LITEBN,True,False,3,0,0,True,-4.949999999999999
OpenBMI,4,9,0.6133333333333333,0.6466666666666666,LITEBN,False,False,2,1,0,True,-13.950000000000006
WBCIC,0,sub-18,0.6116666666666667,0.6383333333333333,LITEBN,False,False,2,0,1,True,-14.73515395894428
WBCIC,0,sub-22,0.73,0.7200000000000001,EEGNET,False,False,1,2,0,True,-5.568487292277613
WBCIC,0,sub-35,0.9266666666666667,0.9066666666666666,EEGNET,False,False,0,2,1,True,14.098179374389064
