dataset,fold,subject_id,BA_EEGNet,BA_LOGIT50,BA_LiteBN,BA_PROB50,macro_F1_EEGNet,macro_F1_LOGIT50,macro_F1_LiteBN,macro_F1_PROB50,accuracy_EEGNet,accuracy_LOGIT50,accuracy_LiteBN,accuracy_PROB50,delta_LiteBN_pp,delta_LOGIT50_pp,delta_PROB50_pp,LOGIT50_minus_LiteBN_pp,BA_SUBJECT_CARRIER_ORACLE,delta_ORACLE_pp
OpenBMI,0,15,0.8333333333333334,0.8866666666666666,0.8666666666666667,0.8866666666666666,0.8322059774067037,0.8863936613632578,0.8662184362440833,0.8863936613632578,0.8333333333333334,0.8866666666666667,0.8666666666666667,0.8866666666666667,3.3333333333333326,5.333333333333323,5.333333333333323,1.9999999999999907,0.8666666666666667,3.3333333333333326
OpenBMI,0,3,0.8633333333333333,0.8933333333333332,0.8966666666666666,0.8933333333333332,0.8626559608426039,0.8929786942440359,0.8966302816179054,0.8929786942440359,0.8633333333333333,0.8933333333333334,0.8966666666666666,0.8933333333333334,3.3333333333333326,2.9999999999999916,2.9999999999999916,-0.33333333333334103,0.8966666666666666,3.3333333333333326
OpenBMI,0,32,0.66,0.6966666666666667,0.7433333333333333,0.6966666666666667,0.6588892108241292,0.6948565602265068,0.7415958201777663,0.6948565602265068,0.66,0.6966666666666667,0.7433333333333333,0.6966666666666667,8.333333333333325,3.6666666666666625,3.6666666666666625,-4.666666666666663,0.7433333333333333,8.333333333333325
OpenBMI,0,33,0.7733333333333334,0.8633333333333333,0.8966666666666666,0.8633333333333333,0.7686581539143478,0.8624982682645045,0.896610297273415,0.8624982682645045,0.7733333333333334,0.8633333333333333,0.8966666666666666,0.8633333333333333,12.333333333333318,8.999999999999986,8.999999999999986,-3.3333333333333326,0.8966666666666666,12.333333333333318
OpenBMI,0,38,0.7366666666666667,0.7566666666666667,0.7533333333333333,0.7566666666666667,0.7236878809469295,0.7465582209147575,0.7441975109373282,0.7465582209147575,0.7366666666666667,0.7566666666666667,0.7533333333333333,0.7566666666666667,1.6666666666666607,2.0000000000000018,2.0000000000000018,0.33333333333334103,0.7533333333333333,1.6666666666666607
OpenBMI,0,47,0.8799999999999999,0.9233333333333333,0.8799999999999999,0.9233333333333333,0.878263654818272,0.92262814415613,0.8791603228763982,0.92262814415613,0.88,0.9233333333333333,0.88,0.9233333333333333,0.0,4.333333333333345,4.333333333333345,4.333333333333345,0.8799999999999999,0.0
OpenBMI,0,5,0.7133333333333334,0.7666666666666666,0.7533333333333333,0.7666666666666666,0.7074559121887574,0.7641503786588766,0.7502713060591294,0.7641503786588766,0.7133333333333334,0.7666666666666666,0.7533333333333333,0.7666666666666666,3.9999999999999925,5.333333333333323,5.333333333333323,1.3333333333333308,0.7533333333333333,3.9999999999999925
OpenBMI,0,6,0.93,0.9566666666666667,0.9333333333333332,0.9566666666666667,0.9298513189857505,0.9566596643657963,0.933294637976393,0.9566596643657963,0.93,0.9566666666666667,0.9333333333333332,0.9566666666666667,0.3333333333333188,2.6666666666666616,2.6666666666666616,2.333333333333343,0.9333333333333332,0.3333333333333188
OpenBMI,1,14,0.7133333333333333,0.7333333333333334,0.7200000000000001,0.7333333333333334,0.7073112073112074,0.7319336679516947,0.7173150833270006,0.7319336679516947,0.7133333333333333,0.7333333333333334,0.7200000000000001,0.7333333333333334,0.6666666666666821,2.000000000000013,2.000000000000013,1.3333333333333308,0.7200000000000001,0.6666666666666821
OpenBMI,1,2,0.8033333333333333,0.8033333333333333,0.7433333333333333,0.8033333333333333,0.8014007828035693,0.8020334238607133,0.7401782101471138,0.8020334238607133,0.8033333333333333,0.8033333333333333,0.7433333333333333,0.8033333333333333,-6.000000000000005,0.0,0.0,6.000000000000005,0.8033333333333333,0.0
OpenBMI,1,26,0.8533333333333334,0.87,0.8533333333333334,0.87,0.8526871939021866,0.8697085508468693,0.853198386117755,0.8697085508468693,0.8533333333333334,0.87,0.8533333333333334,0.87,0.0,1.6666666666666607,1.6666666666666607,1.6666666666666607,0.8533333333333334,0.0
OpenBMI,1,28,0.7799999999999999,0.8933333333333332,0.9266666666666666,0.8933333333333332,0.7733120190245545,0.8926884258076551,0.926388203151162,0.8926884258076551,0.7799999999999999,0.8933333333333334,0.9266666666666667,0.8933333333333334,14.666666666666671,11.333333333333329,11.333333333333329,-3.3333333333333437,0.9266666666666666,14.666666666666671
OpenBMI,1,31,0.8033333333333333,0.8166666666666668,0.8133333333333334,0.8166666666666668,0.8010671499043592,0.8143562593598183,0.8114969326310967,0.8143562593598183,0.8033333333333333,0.8166666666666668,0.8133333333333334,0.8166666666666668,1.0000000000000009,1.333333333333342,1.333333333333342,0.33333333333334103,0.8133333333333334,1.0000000000000009
OpenBMI,1,35,0.8433333333333334,0.82,0.8166666666666668,0.82,0.8397278292213045,0.8143145963765641,0.810661173968691,0.8143145963765641,0.8433333333333334,0.82,0.8166666666666668,0.82,-2.6666666666666616,-2.333333333333343,-2.333333333333343,0.3333333333333188,0.8433333333333334,0.0
OpenBMI,1,40,0.82,0.8733333333333334,0.82,0.8733333333333334,0.8195541566778138,0.8727898880035804,0.8182317384099367,0.8727898880035804,0.82,0.8733333333333334,0.82,0.8733333333333334,0.0,5.3333333333333455,5.3333333333333455,5.3333333333333455,0.82,0.0
OpenBMI,1,43,0.8633333333333333,0.9066666666666666,0.8966666666666666,0.9066666666666666,0.8631651384239794,0.9063862156893285,0.8959473465838479,0.9063862156893285,0.8633333333333333,0.9066666666666666,0.8966666666666666,0.9066666666666666,3.3333333333333326,4.333333333333334,4.333333333333334,1.0000000000000009,0.8966666666666666,3.3333333333333326
OpenBMI,2,1,0.6666666666666666,0.6866666666666666,0.68,0.6866666666666666,0.6635697872703018,0.6715776542903288,0.6584359317863154,0.6715776542903288,0.6666666666666666,0.6866666666666666,0.68,0.6866666666666666,1.333333333333342,2.0000000000000018,2.0000000000000018,0.6666666666666599,0.68,1.333333333333342
OpenBMI,2,11,0.7066666666666667,0.7200000000000001,0.6933333333333334,0.7200000000000001,0.6950197580842326,0.7143805596765692,0.6913048218814243,0.7143805596765692,0.7066666666666667,0.7200000000000001,0.6933333333333334,0.7200000000000001,-1.3333333333333308,1.333333333333342,1.333333333333342,2.6666666666666727,0.7066666666666667,0.0
OpenBMI,2,23,0.7166666666666667,0.7799999999999999,0.75,0.7799999999999999,0.7148760410500324,0.7773042866842248,0.7433745251591847,0.7773042866842248,0.7166666666666667,0.7799999999999999,0.75,0.7799999999999999,3.3333333333333326,6.333333333333324,6.333333333333324,2.9999999999999916,0.75,3.3333333333333326
