dataset,fold,seed,checkpoint_variant,method,mean_subject_BA,mean_subject_macro_F1,mean_subject_accuracy,delta_vs_EEGNet_pp,n_subjects
OpenBMI,4,1,selected_best,EEGNet,0.71625,0.7121783676146245,0.71625,0.0,8
OpenBMI,4,1,selected_best,LOGIT50,0.765,0.7598494938333104,0.765,4.8749999999999964,8
OpenBMI,4,1,selected_best,LiteBN,0.765,0.7573989663006897,0.7649999999999999,4.8749999999999964,8
OpenBMI,4,1,selected_best,PROB50,0.765,0.7598494938333104,0.765,4.8749999999999964,8
OpenBMI,4,2,selected_best,EEGNet,0.7549999999999999,0.7530065537615324,0.755,0.0,8
OpenBMI,4,2,selected_best,LOGIT50,0.7925,0.7887260777038474,0.7925,3.750000000000009,8
OpenBMI,4,2,selected_best,LiteBN,0.7849999999999999,0.7781610666931474,0.7849999999999999,3.0000000000000027,8
OpenBMI,4,2,selected_best,PROB50,0.7925,0.7887260777038474,0.7925,3.750000000000009,8
WBCIC,0,0,selected_best,EEGNet,0.7714285714285715,0.7663173858192158,0.7714285714285715,0.0,7
WBCIC,0,0,selected_best,LOGIT50,0.7985714285714286,0.7967582289219072,0.7985714285714286,2.7142857142857135,7
WBCIC,0,0,selected_best,LiteBN,0.7792857142857141,0.7776895502867539,0.7792857142857141,0.7857142857142674,7
WBCIC,0,0,selected_best,PROB50,0.7985714285714286,0.7967582289219072,0.7985714285714286,2.7142857142857135,7
WBCIC,0,1,selected_best,EEGNet,0.8007142857142856,0.7986912665488786,0.8007142857142856,0.0,7
WBCIC,0,1,selected_best,LOGIT50,0.7992857142857143,0.7959415315819701,0.7992857142857144,-0.14285714285713347,7
WBCIC,0,1,selected_best,LiteBN,0.7792857142857142,0.7761792898209254,0.7792857142857142,-2.1428571428571352,7
WBCIC,0,1,selected_best,PROB50,0.7992857142857143,0.7959415315819701,0.7992857142857144,-0.14285714285713347,7
WBCIC,0,2,selected_best,EEGNet,0.7714285714285715,0.7662152809900292,0.7714285714285715,0.0,7
WBCIC,0,2,selected_best,LOGIT50,0.7649999999999999,0.7549607072845302,0.7649999999999999,-0.6428571428571561,7
WBCIC,0,2,selected_best,LiteBN,0.7428571428571428,0.7301584410530803,0.7428571428571428,-2.857142857142869,7
WBCIC,0,2,selected_best,PROB50,0.7649999999999999,0.7549607072845302,0.7649999999999999,-0.6428571428571561,7
WBCIC,1,0,selected_best,EEGNet,0.8125,0.8121228120711376,0.8125,0.0,6
WBCIC,1,0,selected_best,LOGIT50,0.7933333333333333,0.7787601629097951,0.7933333333333333,-1.9166666666666665,6
WBCIC,1,0,selected_best,LiteBN,0.7733333333333333,0.7532636467401564,0.7733333333333333,-3.9166666666666683,6
WBCIC,1,0,selected_best,PROB50,0.7933333333333333,0.7787601629097951,0.7933333333333333,-1.9166666666666665,6
WBCIC,1,1,selected_best,EEGNet,0.8266666666666667,0.8255335875759973,0.8266666666666667,0.0,6
WBCIC,1,1,selected_best,LOGIT50,0.8141666666666666,0.8019832449253079,0.8141666666666666,-1.2500000000000067,6
WBCIC,1,1,selected_best,LiteBN,0.7808333333333333,0.7610955785155274,0.7808333333333333,-4.583333333333339,6
WBCIC,1,1,selected_best,PROB50,0.8141666666666666,0.8019832449253079,0.8141666666666666,-1.2500000000000067,6
WBCIC,1,2,selected_best,EEGNet,0.8166666666666668,0.8131671987728514,0.8166666666666668,0.0,6
WBCIC,1,2,selected_best,LOGIT50,0.8116666666666666,0.7971956121621137,0.8116666666666666,-0.5000000000000115,6
WBCIC,1,2,selected_best,LiteBN,0.7975,0.7810060356850855,0.7975,-1.9166666666666776,6
WBCIC,1,2,selected_best,PROB50,0.8116666666666666,0.7971956121621137,0.8116666666666666,-0.5000000000000115,6
WBCIC,2,0,selected_best,EEGNet,0.7491666666666666,0.7454095174814169,0.7491666666666665,0.0,6
WBCIC,2,0,selected_best,LOGIT50,0.7566666666666665,0.7556823857320505,0.7566666666666665,0.749999999999984,6
WBCIC,2,0,selected_best,LiteBN,0.7558333333333334,0.7545843026841036,0.7558333333333334,0.666666666666671,6
WBCIC,2,0,selected_best,PROB50,0.7566666666666665,0.7556823857320505,0.7566666666666665,0.749999999999984,6
WBCIC,2,1,selected_best,EEGNet,0.7583333333333333,0.7568293359935397,0.7583333333333333,0.0,6
WBCIC,2,1,selected_best,LOGIT50,0.755,0.7529694435282571,0.755,-0.33333333333332993,6
WBCIC,2,1,selected_best,LiteBN,0.7508333333333335,0.7466603017478439,0.7508333333333335,-0.749999999999984,6
WBCIC,2,1,selected_best,PROB50,0.755,0.7529694435282571,0.755,-0.33333333333332993,6
WBCIC,2,2,selected_best,EEGNet,0.7549999999999999,0.7533688352650666,0.7549999999999999,0.0,6
WBCIC,2,2,selected_best,LOGIT50,0.7466666666666666,0.7351288122937744,0.7466666666666666,-0.8333333333333304,6
WBCIC,2,2,selected_best,LiteBN,0.745,0.7280817788934137,0.7449999999999998,-0.9999999999999898,6
WBCIC,2,2,selected_best,PROB50,0.7466666666666666,0.7351288122937744,0.7466666666666666,-0.8333333333333304,6
WBCIC,3,0,selected_best,EEGNet,0.8146811868686868,0.8141112934835281,0.8146581196581196,0.0,6
WBCIC,3,0,selected_best,LOGIT50,0.8405839646464646,0.8400564397669757,0.8405341880341881,2.590277777777772,6
WBCIC,3,0,selected_best,LiteBN,0.8405408249158249,0.8399306310758425,0.8404914529914529,2.585963804713809,6
WBCIC,3,0,selected_best,PROB50,0.8405839646464646,0.8400564397669757,0.8405341880341881,2.590277777777772,6
WBCIC,3,1,selected_best,EEGNet,0.8029366582491583,0.8024242492190398,0.8029273504273505,0.0,6
WBCIC,3,1,selected_best,LOGIT50,0.8238573232323233,0.8235287366123835,0.8237820512820514,2.0920664983165027,6
WBCIC,3,1,selected_best,LiteBN,0.8372337962962964,0.836847213883506,0.8371581196581196,3.4297138047138076,6
WBCIC,3,1,selected_best,PROB50,0.8238573232323233,0.8235287366123835,0.8237820512820514,2.0920664983165027,6
WBCIC,3,2,selected_best,EEGNet,0.8088310185185185,0.8080971522368318,0.8087820512820513,0.0,6
WBCIC,3,2,selected_best,LOGIT50,0.8380324074074074,0.8371350951834051,0.8379700854700854,2.92013888888889,6
WBCIC,3,2,selected_best,LiteBN,0.8339436026936027,0.8322947269752211,0.8338675213675214,2.511258417508422,6
WBCIC,3,2,selected_best,PROB50,0.8380324074074074,0.8371350951834051,0.8379700854700854,2.92013888888889,6
WBCIC,4,0,selected_best,EEGNet,0.7675,0.76478390305574,0.7675,0.0,6
WBCIC,4,0,selected_best,LOGIT50,0.7800000000000001,0.7771574921261278,0.7800000000000001,1.2500000000000178,6
WBCIC,4,0,selected_best,LiteBN,0.7875000000000001,0.7856051426792515,0.7875000000000001,2.000000000000013,6
WBCIC,4,0,selected_best,PROB50,0.7800000000000001,0.7771574921261278,0.7800000000000001,1.2500000000000178,6
WBCIC,4,1,selected_best,EEGNet,0.7683333333333332,0.7671425899804968,0.7683333333333332,0.0,6
WBCIC,4,1,selected_best,LOGIT50,0.7875000000000001,0.7859202196964973,0.7875000000000001,1.9166666666666887,6
WBCIC,4,1,selected_best,LiteBN,0.7733333333333334,0.7720559078578494,0.7733333333333333,0.5000000000000226,6
WBCIC,4,1,selected_best,PROB50,0.7875000000000001,0.7859202196964973,0.7875000000000001,1.9166666666666887,6
WBCIC,4,2,selected_best,EEGNet,0.7633333333333335,0.761625422914472,0.7633333333333335,0.0,6
WBCIC,4,2,selected_best,LOGIT50,0.765,0.7642498038238233,0.765,0.1666666666666483,6
WBCIC,4,2,selected_best,LiteBN,0.7616666666666667,0.7613223331560919,0.7616666666666667,-0.16666666666668162,6
WBCIC,4,2,selected_best,PROB50,0.765,0.7642498038238233,0.765,0.1666666666666483,6
