dataset,fold,seed,checkpoint_variant,subject_id,trials,both_correct,eegnet_only_correct,litebn_only_correct,both_wrong,disagree,oracle_class0,oracle_class1,eegnet_only_fraction,litebn_only_fraction,disagreement_rate,eegnet_win_fraction_among_disagreement,litebn_win_fraction_among_disagreement,trial_complementarity_upper_BA
OpenBMI,0,0,selected_best,15,100,78,5,9,8,14,0.9,0.94,0.05,0.09,0.14,0.35714285714285715,0.6428571428571429,0.9199999999999999
OpenBMI,0,0,selected_best,38,100,69,7,8,16,15,1.0,0.68,0.07,0.08,0.15,0.4666666666666667,0.5333333333333333,0.8400000000000001
OpenBMI,0,0,selected_best,6,100,87,6,4,3,10,0.98,0.96,0.06,0.04,0.1,0.6,0.4,0.97
OpenBMI,0,0,selected_best,33,100,74,2,14,10,16,0.94,0.86,0.02,0.14,0.16,0.125,0.875,0.8999999999999999
OpenBMI,0,0,selected_best,32,100,53,12,17,18,29,0.82,0.82,0.12,0.17,0.29,0.41379310344827586,0.5862068965517241,0.82
OpenBMI,0,0,selected_best,3,100,79,5,8,8,13,0.88,0.96,0.05,0.08,0.13,0.38461538461538464,0.6153846153846154,0.9199999999999999
OpenBMI,0,0,selected_best,5,100,66,7,9,18,16,0.88,0.76,0.07,0.09,0.16,0.4375,0.5625,0.8200000000000001
OpenBMI,0,0,selected_best,47,100,81,9,5,5,14,1.0,0.9,0.09,0.05,0.14,0.6428571428571429,0.35714285714285715,0.95
OpenBMI,0,1,selected_best,15,100,80,6,6,8,12,0.86,0.98,0.06,0.06,0.12,0.5,0.5,0.9199999999999999
OpenBMI,0,1,selected_best,38,100,69,10,6,15,16,1.0,0.7,0.1,0.06,0.16,0.625,0.375,0.85
OpenBMI,0,1,selected_best,6,100,91,0,6,3,6,0.98,0.96,0.0,0.06,0.06,0.0,1.0,0.97
OpenBMI,0,1,selected_best,33,100,75,1,16,8,17,0.94,0.9,0.01,0.16,0.17,0.058823529411764705,0.9411764705882353,0.9199999999999999
OpenBMI,0,1,selected_best,32,100,59,8,16,17,24,0.94,0.72,0.08,0.16,0.24,0.3333333333333333,0.6666666666666666,0.83
OpenBMI,0,1,selected_best,3,100,84,1,10,5,11,0.92,0.98,0.01,0.1,0.11,0.09090909090909091,0.9090909090909091,0.95
OpenBMI,0,1,selected_best,5,100,61,12,11,16,23,0.94,0.74,0.12,0.11,0.23,0.5217391304347826,0.4782608695652174,0.84
OpenBMI,0,1,selected_best,47,100,79,11,9,1,20,0.98,1.0,0.11,0.09,0.2,0.55,0.45,0.99
OpenBMI,0,2,selected_best,15,100,76,5,11,8,16,0.92,0.92,0.05,0.11,0.16,0.3125,0.6875,0.92
OpenBMI,0,2,selected_best,38,100,59,7,15,19,22,0.96,0.66,0.07,0.15,0.22,0.3181818181818182,0.6818181818181818,0.81
OpenBMI,0,2,selected_best,6,100,88,7,4,1,11,0.98,1.0,0.07,0.04,0.11,0.6363636363636364,0.36363636363636365,0.99
OpenBMI,0,2,selected_best,33,100,77,3,13,7,16,0.96,0.9,0.03,0.13,0.16,0.1875,0.8125,0.9299999999999999
OpenBMI,0,2,selected_best,32,100,62,4,16,18,20,0.86,0.78,0.04,0.16,0.2,0.2,0.8,0.8200000000000001
OpenBMI,0,2,selected_best,3,100,85,5,3,7,8,0.92,0.94,0.05,0.03,0.08,0.625,0.375,0.9299999999999999
OpenBMI,0,2,selected_best,5,100,61,7,18,14,25,0.94,0.78,0.07,0.18,0.25,0.28,0.72,0.86
OpenBMI,0,2,selected_best,47,100,80,4,10,6,14,0.88,1.0,0.04,0.1,0.14,0.2857142857142857,0.7142857142857143,0.94
OpenBMI,1,0,selected_best,26,100,79,7,6,8,13,0.9,0.94,0.07,0.06,0.13,0.5384615384615384,0.46153846153846156,0.9199999999999999
OpenBMI,1,0,selected_best,2,100,72,9,6,13,15,0.84,0.9,0.09,0.06,0.15,0.6,0.4,0.87
OpenBMI,1,0,selected_best,14,100,58,14,17,11,31,0.9,0.88,0.14,0.17,0.31,0.45161290322580644,0.5483870967741935,0.89
OpenBMI,1,0,selected_best,31,100,71,9,8,12,17,0.96,0.8,0.09,0.08,0.17,0.5294117647058824,0.47058823529411764,0.88
OpenBMI,1,0,selected_best,28,100,77,1,16,6,17,0.88,1.0,0.01,0.16,0.17,0.058823529411764705,0.9411764705882353,0.94
OpenBMI,1,0,selected_best,35,100,76,10,4,10,14,0.98,0.82,0.1,0.04,0.14,0.7142857142857143,0.2857142857142857,0.8999999999999999
OpenBMI,1,0,selected_best,40,100,71,11,10,8,21,0.98,0.86,0.11,0.1,0.21,0.5238095238095238,0.47619047619047616,0.9199999999999999
OpenBMI,1,0,selected_best,43,100,85,0,10,5,10,0.92,0.98,0.0,0.1,0.1,0.0,1.0,0.95
OpenBMI,1,1,selected_best,26,100,78,5,9,8,14,0.88,0.96,0.05,0.09,0.14,0.35714285714285715,0.6428571428571429,0.9199999999999999
OpenBMI,1,1,selected_best,2,100,66,10,9,15,19,0.76,0.94,0.1,0.09,0.19,0.5263157894736842,0.47368421052631576,0.85
OpenBMI,1,1,selected_best,14,100,59,11,12,18,23,0.76,0.88,0.11,0.12,0.23,0.4782608695652174,0.5217391304347826,0.8200000000000001
OpenBMI,1,1,selected_best,31,100,77,8,3,12,11,0.92,0.84,0.08,0.03,0.11,0.7272727272727273,0.2727272727272727,0.88
OpenBMI,1,1,selected_best,28,100,71,1,23,5,24,0.9,1.0,0.01,0.23,0.24,0.041666666666666664,0.9583333333333334,0.95
