dataset,method,mean_BA,bootstrap_unit,bootstrap_seed,resamples,n_subjects,mean_delta_pp,median_delta_pp,ci_low_pp,ci_high_pp,improved_subjects,harmed_subjects,tied_subjects,positive_folds,positive_seed_means,harm_le_minus_1pp_fraction,harm_le_minus_3pp_fraction,harm_le_minus_5pp_fraction,gain_ge_1pp_fraction,negligible_abs_lt_0_5pp_fraction
OpenBMI,EEGNet,0.7590833333333334,subject_after_seed_mean,0,10000,40,0.0,0.0,0.0,0.0,0,0,40,0,0,0.0,0.0,0.0,0.0,1.0
OpenBMI,LiteBN,0.7861666666666667,subject_after_seed_mean,0,10000,40,2.7083333333333326,2.500000000000002,1.3247916666666648,4.216666666666664,30,6,4,5,3,0.15,0.1,0.075,0.65,0.175
OpenBMI,LOGIT50,0.7985,subject_after_seed_mean,0,10000,40,3.9416666666666655,3.6666666666666625,2.9749999999999983,4.983333333333332,36,3,1,5,3,0.025,0.0,0.0,0.875,0.05
OpenBMI,PROB50,0.7985,subject_after_seed_mean,0,10000,40,3.9416666666666655,3.6666666666666625,2.9749999999999983,4.983333333333332,36,3,1,5,3,0.025,0.0,0.0,0.875,0.05
OpenBMI,SUBJECT_CARRIER_ORACLE,0.7920833333333335,subject_after_seed_mean,0,10000,40,3.299999999999999,2.500000000000002,2.1664583333333307,4.616666666666664,30,0,10,0,0,0.0,0.0,0.0,0.65,0.325
WBCIC,EEGNet,0.7856848729227761,subject_after_seed_mean,0,10000,31,0.0,0.0,0.0,0.0,0,0,31,0,0,0.0,0.0,0.0,0.0,1.0
WBCIC,LiteBN,0.7821001004670359,subject_after_seed_mean,0,10000,31,-0.35847724557401994,0.16666666666667052,-1.7241120886282189,0.9514540566959933,16,15,0,2,1,0.3870967741935484,0.16129032258064516,0.0967741935483871,0.3870967741935484,0.12903225806451613
WBCIC,LOGIT50,0.7915574427066363,subject_after_seed_mean,0,10000,31,0.5872569783860075,0.7049663299663278,-0.35905221570544427,1.413978494623651,20,11,0,3,3,0.12903225806451613,0.06451612903225806,0.03225806451612903,0.3870967741935484,0.22580645161290322
WBCIC,PROB50,0.7915574427066363,subject_after_seed_mean,0,10000,31,0.5872569783860075,0.7049663299663278,-0.35905221570544427,1.413978494623651,20,11,0,3,3,0.12903225806451613,0.06451612903225806,0.03225806451612903,0.3870967741935484,0.22580645161290322
WBCIC,SUBJECT_CARRIER_ORACLE,0.7978527886390789,subject_after_seed_mean,0,10000,31,1.2167915716302813,0.16666666666667052,0.6021464646464633,1.9443358314326051,16,0,15,0,0,0.0,0.0,0.0,0.3870967741935484,0.5806451612903226
