fold,seed,task,harmful_blocks,harmful_union_gain,protected_union_loss,same_total_random_gain
0,0,mi,0,0.0,0.11892361111111105,0.0
0,0,erp,1,0.0,0.10243055555555558,-0.01079861111111111
0,0,ssvep,0,0.0,0.10999999999999988,0.0
0,1,mi,0,0.0,0.11979166666666674,0.0
0,1,erp,0,0.0,0.0546875,0.0
0,1,ssvep,0,0.0,0.03777777777777769,0.0
1,0,mi,0,0.0,0.05381944444444453,0.0
1,0,erp,0,0.0,0.05729166666666674,0.0
1,0,ssvep,1,-0.0016666666666667052,0.08277777777777784,-0.004938888888888941
1,1,mi,1,-0.0017361111111111605,0.09461805555555569,-0.006154513888888946
1,1,erp,1,-1.1102230246251565e-16,0.0355902777777779,-0.005911458333333408
1,1,ssvep,0,0.0,0.07444444444444454,0.0
2,0,mi,0,0.0,0.14322916666666663,0.0
2,0,erp,1,0.0008680555555555802,0.07118055555555558,0.002387152777777736
2,0,ssvep,0,0.0,0.028888888888888964,0.0
2,1,mi,0,0.0,0.10763888888888895,0.0
2,1,erp,0,0.0,0.0,0.0
2,1,ssvep,0,0.0,0.050555555555555576,0.0
