dataset,fold,seed,zero_anchor_self_neighbor_rate,structured_valid_candidates,random_valid_candidates,matched_pairs
OpenBMI,0,0,1.0,2777,2777,2777
WBCIC,0,0,1.0,8374,8374,8374
