q,lambda_T,openbmi_delta,openbmi_ci95_l,openbmi_ci95_u,wbcic_delta,wbcic_ci95_l,wbcic_ci95_u,wbcic_vs_random_delta,wbcic_vs_random_ci95_l,wbcic_vs_manifold_delta,wbcic_vs_manifold_ci95_l,checks,pass
0.25,0.25,,,,,,,,,,,"{""clean_degradation_ok"": false, ""openbmi_ci_lower_positive"": false, ""openbmi_delta_ge_002"": false, ""transport_gate"": false, ""wbcic_ci_lower_positive"": false, ""wbcic_delta_ge_002"": false, ""wbcic_vs_manifold_ci_lower_positive"": false, ""wbcic_vs_random_ci_lower_positive"": false}",False
0.25,0.5,,,,,,,,,,,"{""clean_degradation_ok"": false, ""openbmi_ci_lower_positive"": false, ""openbmi_delta_ge_002"": false, ""transport_gate"": false, ""wbcic_ci_lower_positive"": false, ""wbcic_delta_ge_002"": false, ""wbcic_vs_manifold_ci_lower_positive"": false, ""wbcic_vs_random_ci_lower_positive"": false}",False
0.25,1.0,,,,,,,,,,,"{""clean_degradation_ok"": false, ""openbmi_ci_lower_positive"": false, ""openbmi_delta_ge_002"": false, ""transport_gate"": false, ""wbcic_ci_lower_positive"": false, ""wbcic_delta_ge_002"": false, ""wbcic_vs_manifold_ci_lower_positive"": false, ""wbcic_vs_random_ci_lower_positive"": false}",False
0.5,0.25,,,,,,,,,,,"{""clean_degradation_ok"": false, ""openbmi_ci_lower_positive"": false, ""openbmi_delta_ge_002"": false, ""transport_gate"": false, ""wbcic_ci_lower_positive"": false, ""wbcic_delta_ge_002"": false, ""wbcic_vs_manifold_ci_lower_positive"": false, ""wbcic_vs_random_ci_lower_positive"": false}",False
0.5,0.5,,,,,,,,,,,"{""clean_degradation_ok"": false, ""openbmi_ci_lower_positive"": false, ""openbmi_delta_ge_002"": false, ""transport_gate"": false, ""wbcic_ci_lower_positive"": false, ""wbcic_delta_ge_002"": false, ""wbcic_vs_manifold_ci_lower_positive"": false, ""wbcic_vs_random_ci_lower_positive"": false}",False
0.5,1.0,,,,,,,,,,,"{""clean_degradation_ok"": false, ""openbmi_ci_lower_positive"": false, ""openbmi_delta_ge_002"": false, ""transport_gate"": false, ""wbcic_ci_lower_positive"": false, ""wbcic_delta_ge_002"": false, ""wbcic_vs_manifold_ci_lower_positive"": false, ""wbcic_vs_random_ci_lower_positive"": false}",False
