dataset,fold,seed,anchor_position,target_subject,alpha,euclidean_norm_structured,euclidean_norm_random,euclidean_norm_mismatch,whitened_norm_structured,whitened_norm_random,whitened_norm_mismatch,structured_valid,random_valid,structured_matched_count,random_matched_count,matched_pair,alpha_mismatch,method,q,lambda_T
OpenBMI,0,0,0,5,0.25,0.5158519148826599,,,0.6132562014741992,,,True,False,3,3,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,0,8,0.75,1.9174444675445557,,,2.0625836027067246,,,True,False,3,3,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,0,30,0.0,1.2721494436264038,,,2.394474321935343,,,False,False,3,3,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,0,44,0.25,0.3745761811733246,0.3745761811733246,0.0,0.6115846593490593,0.6115846593490593,0.0,True,True,3,3,True,0.0,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,0,43,0.5,0.8877675533294678,,,1.229994358477399,,,True,False,3,3,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,0,9,0.25,0.617021918296814,0.617021918296814,0.0,0.7051595721461091,0.7051595721461091,0.0,True,True,3,3,True,0.0,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,0,21,0.5,1.8551148176193237,1.8551148176193237,0.0,1.545887213332545,1.545887213332545,0.0,True,True,3,3,True,0.0,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,0,28,0.75,1.5028550624847412,,,2.012228478648764,,,True,False,3,3,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,1,14,0.0,1.2966113090515137,,,1.8579881134839906,,,False,False,0,0,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,1,48,0.0,2.5458104610443115,,,2.4888922536158207,,,False,False,0,0,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,1,31,0.0,1.5722813606262207,,,2.0449562251971045,,,False,False,0,0,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,1,34,0.0,1.0114268064498901,,,1.9185749892021384,,,False,False,0,0,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,1,52,0.0,2.0671701431274414,,,2.436608287150874,,,False,False,0,0,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,1,44,0.0,1.5921379327774048,,,2.306074690709636,,,False,False,0,0,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,1,28,0.0,2.3725967407226562,,,3.4154695607522156,,,False,False,0,0,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,1,27,0.0,1.3438456058502197,,,2.3143953439698204,,,False,False,0,0,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,2,14,1.0,1.5733591318130493,1.5733591318130493,0.0,2.0199426858566913,2.0199426858566913,0.0,True,True,6,6,True,0.0,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,2,8,1.0,2.3605148792266846,2.3605148792266846,0.0,2.3343506181278713,2.3343506181278713,0.0,True,True,6,6,True,0.0,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,2,10,0.75,2.342517137527466,2.342517137527466,0.0,2.315135189202311,2.315135189202311,0.0,True,True,6,6,True,0.0,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,2,44,1.0,1.761322021484375,1.761322021484375,0.0,2.374812702918534,2.374812702918534,0.0,True,True,6,6,True,0.0,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,2,9,0.75,1.877223253250122,1.877223253250122,0.0,1.730357547869242,1.730357547869242,0.0,True,True,6,6,True,0.0,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,2,11,1.0,1.6091408729553223,,,2.4098807787986005,,,True,False,6,6,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,2,21,0.5,1.8769217729568481,,,1.5775673407158661,,,True,False,6,6,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,2,7,1.0,2.102123737335205,2.102123737335205,0.0,2.3742044616451494,2.3742044616451494,0.0,True,True,6,6,True,0.0,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,3,31,1.0,1.7033090591430664,,,2.278823489212306,,,True,False,2,2,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,3,11,1.0,1.1546645164489746,1.1546645164489746,0.0,2.1533994418623723,2.1533994418623723,0.0,True,True,2,2,True,0.0,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,3,5,0.75,2.103461503982544,,,2.2602596250498057,,,True,False,2,2,False,,Bures-HardSCST,0.5,0.5
OpenBMI,0,0,3,48,0.75,2.1846494674682617,,,2.093842794738427,,,True,False,2,2,False,,Bures-HardSCST,0.5,0.5
