seed,fold,subject,session,pass,abs_BA_difference,abs_Macro_F1_difference
0,0,sub-03,S1,True,0.0,0.0
0,0,sub-03,S2,True,0.0,0.0
0,0,sub-08,S1,True,0.0,0.0
0,0,sub-08,S2,True,0.0,5.551115123125783e-17
0,0,sub-10,S1,True,0.0,0.0
0,0,sub-10,S2,True,0.0,0.0
0,1,sub-05,S1,True,0.0,0.0
0,1,sub-05,S2,True,0.0,0.0
0,1,sub-06,S1,True,0.0,0.0
0,1,sub-06,S2,True,0.0,0.0
0,1,sub-12,S1,True,0.0,0.0
0,1,sub-12,S2,True,0.0,0.0
0,2,sub-01,S1,True,0.0,0.0
0,2,sub-01,S2,True,1.1102230246251565e-16,1.1102230246251565e-16
0,2,sub-04,S1,True,0.0,0.0
0,2,sub-04,S2,True,0.0,0.0
0,3,sub-07,S1,True,0.0,0.0
0,3,sub-07,S2,True,0.0,5.551115123125783e-17
0,3,sub-11,S1,True,0.0,5.551115123125783e-17
0,3,sub-11,S2,True,0.0,5.551115123125783e-17
0,4,sub-02,S1,True,0.0,0.0
0,4,sub-02,S2,True,0.0,0.0
0,4,sub-09,S1,True,0.0,0.0
0,4,sub-09,S2,True,0.0,0.0
1,0,sub-03,S1,True,0.0,0.0
1,0,sub-03,S2,True,0.0,0.0
1,0,sub-08,S1,True,0.0,0.0
1,0,sub-08,S2,True,0.0,0.0
1,0,sub-10,S1,True,0.0,0.0
1,0,sub-10,S2,True,0.0,0.0
1,1,sub-05,S1,True,0.0,5.551115123125783e-17
1,1,sub-05,S2,True,0.0,5.551115123125783e-17
1,1,sub-06,S1,True,0.0,0.0
1,1,sub-06,S2,True,0.0,0.0
1,1,sub-12,S1,True,0.0,0.0
1,1,sub-12,S2,True,0.0,0.0
1,2,sub-01,S1,True,0.0,0.0
1,2,sub-01,S2,True,0.0,0.0
1,2,sub-04,S1,True,0.0,0.0
1,2,sub-04,S2,True,0.0,0.0
1,3,sub-07,S1,True,0.0,0.0
1,3,sub-07,S2,True,0.0,0.0
1,3,sub-11,S1,True,0.0,0.0
1,3,sub-11,S2,True,0.0,5.551115123125783e-17
1,4,sub-02,S1,True,0.0,0.0
1,4,sub-02,S2,True,0.0,0.0
1,4,sub-09,S1,True,0.0,0.0
1,4,sub-09,S2,True,0.0,0.0
2,0,sub-03,S1,True,0.0,0.0
2,0,sub-03,S2,True,0.0,0.0
2,0,sub-08,S1,True,0.0,5.551115123125783e-17
2,0,sub-08,S2,True,0.0,0.0
2,0,sub-10,S1,True,0.0,5.551115123125783e-17
2,0,sub-10,S2,True,0.0,0.0
2,1,sub-05,S1,True,0.0,5.551115123125783e-17
2,1,sub-05,S2,True,0.0,0.0
2,1,sub-06,S1,True,0.0,0.0
2,1,sub-06,S2,True,0.0,0.0
2,1,sub-12,S1,True,0.0,0.0
2,1,sub-12,S2,True,0.0,0.0
2,2,sub-01,S1,True,0.0,0.0
2,2,sub-01,S2,True,0.0,0.0
2,2,sub-04,S1,True,0.0,0.0
2,2,sub-04,S2,True,0.0,0.0
2,3,sub-07,S1,True,0.0,5.551115123125783e-17
2,3,sub-07,S2,True,0.0,0.0
2,3,sub-11,S1,True,0.0,0.0
2,3,sub-11,S2,True,0.0,0.0
2,4,sub-02,S1,True,0.0,0.0
2,4,sub-02,S2,True,0.0,0.0
2,4,sub-09,S1,True,0.0,0.0
2,4,sub-09,S2,True,0.0,0.0
