metric,ScaleCollapse_harm_pp,random_rank16_harm_pp,excess_harm_pp,CI95_low_pp,CI95_high_pp,percentile,bootstrap_draws
future_S2_BA,6.208333333333331,6.991666666666666,-0.7833333333333359,-2.343621527777781,0.6123611111111057,24.0,20000
WS_BA,5.083333333333333,6.138333333333333,-1.0550000000000006,-2.396961805555555,0.15320833333333062,19.0,20000
