Task,Classes,EEGNet_BA,LiteBN_BA,LOGIT50_BA,LOGIT50_minus_EEGNet_pp,Median_delta_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,Positive_subjects
MI,2,0.722857142857143,0.7490476190476192,0.7556666666666667,3.280952380952382,2.833333333333332,1.51904761904762,5.0286904761904765,11/14
ERP,2,0.8481587301587302,0.8479668109668111,0.8570202020202021,0.886147186147188,0.7474747474747467,0.5988347763347793,1.2144408369408406,14/14
SSVEP,4,0.8907619047619046,0.9102380952380952,0.9195238095238095,2.8761904761904753,1.5333333333333365,1.380952380952382,4.580952380952381,10/14
