task,scope,n_subjects,EEGNet_BA,LiteBN_BA,LOGIT50_BA,LOGIT50_minus_LiteBN_pp,mean_delta_pp,median_delta_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,positive_subjects
ERP,HELDOUT,14,0.8513073593073593,0.8465454545454547,0.8571298701298701,1.0584415584415579,0.5822510822510808,0.46363636363636607,0.3090909090909096,0.8588744588744543,12
SSVEP,HELDOUT,14,0.8855714285714286,0.9069999999999999,0.9158571428571428,0.8857142857142865,3.028571428571427,1.6000000000000014,1.2428571428571416,5.1,11
