task,scope,n_subjects,EEGNet_BA,LiteBN_BA,LOGIT50_BA,LOGIT50_minus_LiteBN_pp,mean_delta_pp,median_delta_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,positive_subjects
ERP,SEARCH,40,0.8451060606060606,0.8325530303030302,0.8461969696969696,1.364393939393938,0.10909090909090699,0.196969696969701,-0.3454545454545463,0.5242424242424211,23
SSVEP,SEARCH,40,0.9112499999999999,0.892,0.9309999999999998,3.9,1.9750000000000008,1.0000000000000064,0.17500000000000088,3.7,29
