frame_index,global_index,task,subject_id,session_id,event_label,fold,seed,purpose,group_count_before,selected_count
4,4,erp,1,1,Target,2,1,train_geometry,330,32
31,31,erp,1,1,Target,2,1,train_geometry,330,32
58,58,erp,1,1,NonTarget,2,1,train_geometry,1650,32
103,103,erp,1,1,Target,2,1,train_geometry,330,32
151,151,erp,1,1,Target,2,1,train_geometry,330,32
195,195,erp,1,1,NonTarget,2,1,train_geometry,1650,32
197,197,erp,1,1,Target,2,1,train_geometry,330,32
218,218,erp,1,1,Target,2,1,train_geometry,330,32
231,231,erp,1,1,NonTarget,2,1,train_geometry,1650,32
242,242,erp,1,1,Target,2,1,train_geometry,330,32
271,271,erp,1,1,Target,2,1,train_geometry,330,32
338,338,erp,1,1,Target,2,1,train_geometry,330,32
344,344,erp,1,1,NonTarget,2,1,train_geometry,1650,32
371,371,erp,1,1,NonTarget,2,1,train_geometry,1650,32
447,447,erp,1,1,Target,2,1,train_geometry,330,32
450,450,erp,1,1,NonTarget,2,1,train_geometry,1650,32
540,540,erp,1,1,Target,2,1,train_geometry,330,32
552,552,erp,1,1,NonTarget,2,1,train_geometry,1650,32
562,562,erp,1,1,NonTarget,2,1,train_geometry,1650,32
567,567,erp,1,1,Target,2,1,train_geometry,330,32
585,585,erp,1,1,Target,2,1,train_geometry,330,32
603,603,erp,1,1,NonTarget,2,1,train_geometry,1650,32
653,653,erp,1,1,Target,2,1,train_geometry,330,32
712,712,erp,1,1,Target,2,1,train_geometry,330,32
726,726,erp,1,1,NonTarget,2,1,train_geometry,1650,32
820,820,erp,1,1,Target,2,1,train_geometry,330,32
873,873,erp,1,1,NonTarget,2,1,train_geometry,1650,32
902,902,erp,1,1,NonTarget,2,1,train_geometry,1650,32
915,915,erp,1,1,NonTarget,2,1,train_geometry,1650,32
933,933,erp,1,1,NonTarget,2,1,train_geometry,1650,32
978,978,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1010,1010,erp,1,1,Target,2,1,train_geometry,330,32
1047,1047,erp,1,1,Target,2,1,train_geometry,330,32
1065,1065,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1072,1072,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1089,1089,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1102,1102,erp,1,1,Target,2,1,train_geometry,330,32
1153,1153,erp,1,1,Target,2,1,train_geometry,330,32
1164,1164,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1257,1257,erp,1,1,Target,2,1,train_geometry,330,32
1309,1309,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1380,1380,erp,1,1,Target,2,1,train_geometry,330,32
1399,1399,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1509,1509,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1527,1527,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1532,1532,erp,1,1,Target,2,1,train_geometry,330,32
1557,1557,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1613,1613,erp,1,1,NonTarget,2,1,train_geometry,1650,32
1625,1625,erp,1,1,NonTarget,2,1,train_geometry,1650,32
