fold,seed,task,block,dimensions,persistence_supported,n_unique_subjects,n_split_observations,bootstrap_hierarchy,calibrated_utility_mean_CE,calibrated_utility_ci95,calibrated_utility_sign_probability,bootstrap,random_draws_per_subject_split,probe
1,0,mi,0,2,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.007887270715430767,"[-0.010315321304617495, -0.00565343500284716]",0.0,"{'mean': -0.007887270715430767, 'ci95': [-0.010315321304617495, -0.00565343500284716], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
1,0,mi,1,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.020928163652204602,"[-0.026332236563450646, -0.015530545701745238]",0.0,"{'mean': -0.020928163652204602, 'ci95': [-0.026332236563450646, -0.015530545701745238], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
1,0,mi,2,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.018042925950489282,"[0.007068206962557905, 0.029660162325911784]",0.9995,"{'mean': 0.018042925950489282, 'ci95': [0.007068206962557905, 0.029660162325911784], 'sign_probability': 0.9995, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
1,0,mi,3,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.012803928571008535,"[0.00508189585964531, 0.020756965822587844]",0.9994,"{'mean': 0.012803928571008535, 'ci95': [0.00508189585964531, 0.020756965822587844], 'sign_probability': 0.9994, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
1,0,mi,4,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.015026747444995199,"[-0.02008660179047898, -0.010094853019982489]",0.0,"{'mean': -0.015026747444995199, 'ci95': [-0.02008660179047898, -0.010094853019982489], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
1,0,mi,5,2,False,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.006867040333868866,"[0.0006788893888224843, 0.013249855365899548]",0.9852,"{'mean': 0.006867040333868866, 'ci95': [0.0006788893888224843, 0.013249855365899548], 'sign_probability': 0.9852, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
1,0,erp,0,2,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.001933442294058193,"[-0.008820272996089472, 0.0034991623679455526]",0.2886,"{'mean': -0.001933442294058193, 'ci95': [-0.008820272996089472, 0.0034991623679455526], 'sign_probability': 0.2886, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
1,0,erp,1,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.0014083707800870155,"[-0.0037383838960819717, 0.0011831523107784288]",0.1309,"{'mean': -0.0014083707800870155, 'ci95': [-0.0037383838960819717, 0.0011831523107784288], 'sign_probability': 0.1309, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
1,0,erp,2,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.0023392367926962235,"[-0.006327364783585538, 0.0017732419022656017]",0.1245,"{'mean': -0.0023392367926962235, 'ci95': [-0.006327364783585538, 0.0017732419022656017], 'sign_probability': 0.1245, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
1,0,erp,3,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.0010721771639806861,"[-0.0021750719412395435, 0.004629947181527595]",0.7296,"{'mean': 0.0010721771639806861, 'ci95': [-0.0021750719412395435, 0.004629947181527595], 'sign_probability': 0.7296, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
