benchmark,outer_fold,base_kind,meta_OOF_mean_subject_BA,meta_OOF_mean_subject_NLL,subjects,target_future_labels_used_for_evaluation_subject_fit,OUTER_TEST_USED,selected
OpenBMI_MI_S1_to_S2,0,raw,0.8867441860465115,0.2551101046339827,43,False,False,True
OpenBMI_MI_S1_to_S2,0,population,0.8823255813953488,0.25721216913097505,43,False,False,False
OpenBMI_MI_S1_to_S2,0,blend25,0.8853488372093024,0.2526888344429823,43,False,False,False
OpenBMI_MI_S1_to_S2,0,blend50,0.8848837209302325,0.2524125274660449,43,False,False,False
OpenBMI_MI_S1_to_S2,0,blend75,0.8818604651162791,0.25400019622497044,43,False,False,False
OpenBMI_MI_S1_to_S2,1,raw,0.8865116279069767,0.253094580268791,43,False,False,False
OpenBMI_MI_S1_to_S2,1,population,0.888139534883721,0.24637872358704316,43,False,False,False
OpenBMI_MI_S1_to_S2,1,blend25,0.8869767441860466,0.24671503518215934,43,False,False,False
OpenBMI_MI_S1_to_S2,1,blend50,0.8890697674418604,0.24379923834594305,43,False,False,False
OpenBMI_MI_S1_to_S2,1,blend75,0.8897674418604651,0.2438301646882815,43,False,False,True
OpenBMI_MI_S1_to_S2,2,raw,0.9062790697674419,0.20937225514876226,43,False,False,False
OpenBMI_MI_S1_to_S2,2,population,0.9041860465116279,0.2058045610598842,43,False,False,False
OpenBMI_MI_S1_to_S2,2,blend25,0.908139534883721,0.20568924438892214,43,False,False,True
OpenBMI_MI_S1_to_S2,2,blend50,0.9079069767441861,0.20408490172641147,43,False,False,False
OpenBMI_MI_S1_to_S2,2,blend75,0.9074418604651163,0.20421511880913135,43,False,False,False
OpenBMI_MI_S1_to_S2,3,raw,0.9118604651162789,0.20849492993365107,43,False,False,False
OpenBMI_MI_S1_to_S2,3,population,0.9067441860465119,0.20551045609884705,43,False,False,False
OpenBMI_MI_S1_to_S2,3,blend25,0.9109302325581394,0.20415187204757637,43,False,False,False
OpenBMI_MI_S1_to_S2,3,blend50,0.911860465116279,0.20246508595970517,43,False,False,True
OpenBMI_MI_S1_to_S2,3,blend75,0.9083720930232558,0.2030268771875802,43,False,False,False
OpenBMI_MI_S1_to_S2,4,raw,0.9609090909090909,0.13110024165783182,44,False,False,False
OpenBMI_MI_S1_to_S2,4,population,0.9663636363636364,0.09161704576900123,44,False,False,True
OpenBMI_MI_S1_to_S2,4,blend25,0.964318181818182,0.10984411668459533,44,False,False,False
OpenBMI_MI_S1_to_S2,4,blend50,0.9654545454545456,0.09867110782977831,44,False,False,False
OpenBMI_MI_S1_to_S2,4,blend75,0.9663636363636364,0.09333400424025107,44,False,False,False
WBCIC_S1S2_to_S3_authorized_development,0,raw,0.7925915404040405,0.38685549048193213,32,False,False,True
WBCIC_S1S2_to_S3_authorized_development,0,population,0.7900933159722223,0.3872417772294413,32,False,False,False
WBCIC_S1S2_to_S3_authorized_development,0,blend25,0.7919600299873737,0.3860130536971726,32,False,False,False
WBCIC_S1S2_to_S3_authorized_development,0,blend50,0.7915027225378788,0.3858049704829806,32,False,False,False
WBCIC_S1S2_to_S3_authorized_development,0,blend75,0.7911886442550504,0.3862185412099192,32,False,False,False
WBCIC_S1S2_to_S3_authorized_development,1,raw,0.8149449035812673,0.37377405144775133,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,1,population,0.8146435950413222,0.36979879224330003,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,1,blend25,0.8158539944903582,0.3721658006422718,33,False,False,True
WBCIC_S1S2_to_S3_authorized_development,1,blend50,0.815700948882767,0.37095506078504664,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,1,blend75,0.8144872972145699,0.3701596133473971,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,2,raw,0.8064634986225896,0.38238383865052944,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,2,population,0.8072053872053873,0.3770880320958636,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,2,blend25,0.8055513468013468,0.380133976649091,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,2,blend50,0.8064604377104376,0.3784790970061944,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,2,blend75,0.8078177609427609,0.3774515309402388,33,False,False,True
WBCIC_S1S2_to_S3_authorized_development,3,raw,0.8119696969696969,0.3808123286197574,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,3,population,0.8125757575757575,0.3806091243997067,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,3,blend25,0.8127272727272726,0.37996825752628777,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,3,blend50,0.8137878787878788,0.3796516956840312,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,3,blend75,0.8142424242424243,0.3798648134411201,33,False,False,True
WBCIC_S1S2_to_S3_authorized_development,4,raw,0.804803145087236,0.3841194779560567,33,False,False,True
WBCIC_S1S2_to_S3_authorized_development,4,population,0.8035738062442608,0.38206986767142126,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,4,blend25,0.8040440388735842,0.3825643194997975,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,4,blend50,0.8046422558922559,0.3816772794593985,33,False,False,False
WBCIC_S1S2_to_S3_authorized_development,4,blend75,0.8043392255892257,0.3814977242219222,33,False,False,False
