run,subject,method_BA,control_BA,delta_BA
fold-0/seed-0,1.0,0.77,0.77,0.0
fold-0/seed-0,10.0,0.6599999999999999,0.655,0.0049999999999998
fold-0/seed-0,17.0,0.665,0.665,0.0
fold-0/seed-0,28.0,0.945,0.945,0.0
fold-0/seed-0,3.0,0.915,0.915,0.0
fold-0/seed-0,45.0,0.875,0.875,0.0
fold-0/seed-0,48.0,0.635,0.635,0.0
fold-0/seed-0,54.0,0.545,0.545,0.0
fold-0/seed-0,6.0,0.7849999999999999,0.7849999999999999,0.0
fold-0/seed-1,1.0,0.75,0.745,0.005
fold-0/seed-1,10.0,0.745,0.745,0.0
fold-0/seed-1,17.0,0.67,0.685,-0.015
fold-0/seed-1,28.0,0.96,0.96,0.0
fold-0/seed-1,3.0,0.89,0.89,0.0
fold-0/seed-1,45.0,0.875,0.87,0.005
fold-0/seed-1,48.0,0.565,0.565,0.0
fold-0/seed-1,54.0,0.6,0.6,0.0
fold-0/seed-1,6.0,0.825,0.8200000000000001,0.0049999999999998
fold-1/seed-0,11.0,0.61,0.61,0.0
fold-1/seed-0,17.0,0.75,0.75,0.0
fold-1/seed-0,19.0,0.75,0.75,0.0
fold-1/seed-0,22.0,0.735,0.735,0.0
fold-1/seed-0,3.0,0.91,0.9,0.01
fold-1/seed-0,38.0,0.7050000000000001,0.7050000000000001,0.0
fold-1/seed-0,40.0,0.725,0.735,-0.01
fold-1/seed-0,50.0,0.525,0.525,0.0
fold-1/seed-0,7.0,0.6799999999999999,0.675,0.0049999999999998
fold-1/seed-1,11.0,0.635,0.64,-0.005
fold-1/seed-1,17.0,0.6950000000000001,0.7,-0.0049999999999998
fold-1/seed-1,19.0,0.795,0.795,0.0
fold-1/seed-1,22.0,0.735,0.715,0.02
fold-1/seed-1,3.0,0.88,0.885,-0.005
fold-1/seed-1,38.0,0.68,0.685,-0.005
fold-1/seed-1,40.0,0.73,0.74,-0.01
fold-1/seed-1,50.0,0.52,0.52,0.0
fold-1/seed-1,7.0,0.61,0.625,-0.015
fold-2/seed-0,14.0,0.61,0.61,0.0
fold-2/seed-0,16.0,0.765,0.76,0.005
fold-2/seed-0,17.0,0.74,0.75,-0.01
fold-2/seed-0,25.0,0.8400000000000001,0.845,-0.0049999999999998
fold-2/seed-0,30.0,0.7050000000000001,0.705,1.1102230246251563e-16
fold-2/seed-0,49.0,0.74,0.745,-0.005
fold-2/seed-0,5.0,0.8200000000000001,0.835,-0.0149999999999999
fold-2/seed-0,6.0,0.84,0.835,0.005
fold-2/seed-0,9.0,0.79,0.79,0.0
fold-2/seed-1,14.0,0.635,0.63,0.005
fold-2/seed-1,16.0,0.7350000000000001,0.73,0.0050000000000001
fold-2/seed-1,17.0,0.6799999999999999,0.6799999999999999,0.0
fold-2/seed-1,25.0,0.81,0.815,-0.0049999999999998
fold-2/seed-1,30.0,0.7949999999999999,0.8,-0.0050000000000001
fold-2/seed-1,49.0,0.71,0.71,0.0
fold-2/seed-1,5.0,0.7849999999999999,0.7949999999999999,-0.01
fold-2/seed-1,6.0,0.8049999999999999,0.8049999999999999,0.0
fold-2/seed-1,9.0,0.835,0.835,0.0
