version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank,selected,median_pair_epoch,max_epochs,early_stopping_patience,fold,seed
V0,V0__lg1__ld0.01__lr0.0003__b8,stage2,1.0,0.01,0.0003,8,0.8386428571428572,0.836,0.002642857142857169,0.0025515101570702703,4,0,0,1,True,0,24,5,0,0
V0,V0__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8367380952380952,0.8361904761904763,0.0005476190476190413,0.0010795984808337736,2,3,3,2,True,3,24,5,0,1
V0,V0__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,0.8423809523809525,0.8403571428571428,0.002023809523809539,0.002566573900611764,3,0,0,1,True,0,24,5,1,0
V0,V0__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8212619047619046,0.8211666666666668,9.523809523805937e-05,0.001872343166794054,1,4,8,2,True,6,24,5,1,1
V0,V0__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8089047619047619,0.8099285714285716,-0.0010238095238094935,0.002413585885233121,2,4,4,1,True,4,24,5,2,0
V0,V0__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8354047619047618,0.8344285714285714,0.0009761904761904416,0.0018076431329621017,2,2,1,2,True,2,24,5,2,1
