dataset,method,subject,outer_fold,BA,delta_BA

OpenBMI,B0_BEST_SINGLE_KEEP,1,3,0.69,0.02499999999999991

OpenBMI,B0_BEST_SINGLE_KEEP,2,1,0.565,0.0

OpenBMI,B0_BEST_SINGLE_KEEP,3,0,0.645,-0.07499999999999996

OpenBMI,B0_BEST_SINGLE_KEEP,4,4,0.545,-0.0050000000000000044

OpenBMI,B0_BEST_SINGLE_KEEP,5,0,0.565,-0.050000000000000044

OpenBMI,B0_BEST_SINGLE_KEEP,6,3,0.8300000000000001,-0.009999999999999898

OpenBMI,B0_BEST_SINGLE_KEEP,7,0,0.535,-0.02499999999999991

OpenBMI,B0_BEST_SINGLE_KEEP,8,4,0.685,0.010000000000000009

OpenBMI,B0_BEST_SINGLE_KEEP,9,1,0.6,0.015000000000000013

OpenBMI,B0_BEST_SINGLE_KEEP,10,0,0.69,0.004999999999999893

OpenBMI,B0_BEST_SINGLE_KEEP,11,4,0.505,0.0050000000000000044

OpenBMI,B0_BEST_SINGLE_KEEP,12,3,0.66,0.0050000000000000044

OpenBMI,B0_BEST_SINGLE_KEEP,13,0,0.585,0.02499999999999991

OpenBMI,B0_BEST_SINGLE_KEEP,14,1,0.625,0.015000000000000013

OpenBMI,B0_BEST_SINGLE_KEEP,15,1,0.665,-0.030000000000000027

OpenBMI,B0_BEST_SINGLE_KEEP,16,4,0.75,0.0

OpenBMI,B0_BEST_SINGLE_KEEP,17,1,0.505,0.0050000000000000044

OpenBMI,B0_BEST_SINGLE_KEEP,18,4,0.655,-0.020000000000000018

OpenBMI,B0_BEST_SINGLE_KEEP,19,3,0.6950000000000001,0.025000000000000022

OpenBMI,B0_BEST_SINGLE_KEEP,20,0,0.62,-0.010000000000000009

OpenBMI,B0_BEST_SINGLE_KEEP,21,0,0.625,-0.07000000000000006

OpenBMI,B0_BEST_SINGLE_KEEP,22,2,0.57,-0.015000000000000013

OpenBMI,B0_BEST_SINGLE_KEEP,23,2,0.7050000000000001,0.1100000000000001

OpenBMI,B0_BEST_SINGLE_KEEP,24,2,0.5900000000000001,0.025000000000000133

OpenBMI,B0_BEST_SINGLE_KEEP,25,0,0.765,0.0

OpenBMI,B0_BEST_SINGLE_KEEP,26,2,0.725,-0.020000000000000018

OpenBMI,B0_BEST_SINGLE_KEEP,27,4,0.52,-0.040000000000000036

OpenBMI,B0_BEST_SINGLE_KEEP,28,2,0.76,-0.08000000000000007

OpenBMI,B0_BEST_SINGLE_KEEP,29,2,0.57,-0.05500000000000005

OpenBMI,B0_BEST_SINGLE_KEEP,30,0,0.57,-0.04000000000000015

OpenBMI,B0_BEST_SINGLE_KEEP,31,4,0.6,-0.015000000000000013

OpenBMI,B0_BEST_SINGLE_KEEP,32,1,0.545,-0.029999999999999916

OpenBMI,B0_BEST_SINGLE_KEEP,33,1,0.565,-0.030000000000000027

OpenBMI,B0_BEST_SINGLE_KEEP,34,3,0.5700000000000001,0.020000000000000018

OpenBMI,B0_BEST_SINGLE_KEEP,35,4,0.72,0.0

OpenBMI,B0_BEST_SINGLE_KEEP,36,4,0.63,-0.040000000000000036

OpenBMI,B0_BEST_SINGLE_KEEP,37,0,0.66,-0.0050000000000000044

OpenBMI,B0_BEST_SINGLE_KEEP,38,2,0.615,0.07999999999999996

OpenBMI,B0_BEST_SINGLE_KEEP,39,2,0.5249999999999999,-0.015000000000000124

OpenBMI,B0_BEST_SINGLE_KEEP,40,4,0.6,-0.020000000000000018

OpenBMI,B0_BEST_SINGLE_KEEP,41,1,0.5,0.0050000000000000044

OpenBMI,B0_BEST_SINGLE_KEEP,42,3,0.645,0.0050000000000000044

OpenBMI,B0_BEST_SINGLE_KEEP,43,0,0.6,0.015000000000000013

