dataset,outer_fold,g0,g1,g2,g3,raw_g1,raw_g2,raw_g3,safe_g1,safe_g2,safe_g3
OpenBMI,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,True,True
OpenBMI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
OpenBMI,2,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,False,True,True
OpenBMI,3,0.0,0.0,0.0,0.5,0.0,1.0,1.0,False,True,True
OpenBMI,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,True,True
WBCIC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
WBCIC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
WBCIC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
WBCIC,3,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,True,False,False
WBCIC,4,0.0,0.0,0.0,0.0,0.9999999999999991,0.9999999999999993,0.0,True,True,False
