dataset,method,BA,macro_f1,delta_vs_STRONGEST_KEEP_STACK,median_subject_delta_BA,bootstrap_CI95_L,bootstrap_CI95_U,positive_subject_fraction,nonnegative_subject_fraction,subjects,actual_decision_change_rate,unsafe_decision_change_rate,soft_fusion_mass,rescue_precision,OUTER_TEST_USED
OpenBMI,B0_BEST_SINGLE_KEEP,0.6194444444444444,0.5888355575958134,-0.0019444444444444565,0.0,-0.011574074074074094,0.007777777777777771,0.4444444444444444,0.5185185185185185,54,0.09509259259259259,0.5102239532619279,0.0,0.48977604673807207,False
OpenBMI,B1_MAJORITY_KEEP,0.6155555555555554,0.576261150370798,-0.005833333333333341,-0.0025000000000000022,-0.020648148148148165,0.009722222222222217,0.42592592592592593,0.5,54,0.1686111111111111,0.5172981878088962,0.0,0.4827018121911038,False
OpenBMI,B2_EQUAL_CALIBRATED_KEEP,0.6153703703703703,0.5761208887288669,-0.006018518518518527,-0.0050000000000000044,-0.020833333333333343,0.009724537037037002,0.42592592592592593,0.48148148148148145,54,0.16805555555555557,0.5179063360881543,0.0,0.4820936639118457,False
OpenBMI,B3_STRONGEST_KEEP_STACK,0.6213888888888888,0.5918995971213649,0.0,0.0,0.0,0.0,0.0,1.0,54,0.0,0.0,0.0,0.0,False
OpenBMI,B4_EQUAL_ALL_EXPERT,0.6223148148148149,0.5793266798414655,0.0009259259259259164,0.0050000000000000044,-0.015648148148148147,0.0174074074074074,0.5370370370370371,0.5740740740740741,54,0.2222222222222222,0.4979166666666667,1.0,0.5020833333333333,False
OpenBMI,B5_LOGISTIC_KEEP_STACK,0.6308333333333332,0.6091993469362572,0.009444444444444441,0.0050000000000000044,-0.0012962962962963047,0.020555555555555553,0.5185185185185185,0.6111111111111112,54,0.13296296296296295,0.46448467966573814,0.0,0.5355153203342619,False
OpenBMI,B6_LOGISTIC_ALL_EXPERT,0.659537037037037,0.640268590493185,0.03814814814814813,0.03500000000000003,0.021574074074074065,0.05472453703703699,0.7962962962962963,0.7962962962962963,54,0.19944444444444445,0.40436397400185703,0.0,0.595636025998143,False
OpenBMI,B7_ALL_EXPERT_STACK,0.6374074074074074,0.6097835722911173,0.0160185185185185,0.01749999999999996,0.003703703703703697,0.02749999999999999,0.6851851851851852,0.7222222222222222,54,0.12990740740740742,0.4383464005702067,1.0,0.5616535994297933,False
OpenBMI,B9_HARD_INSTABILITY_SWITCH,0.6375,0.609690105721298,0.016111111111111097,0.019999999999999907,0.003981481481481479,0.027592592592592564,0.6851851851851852,0.7222222222222222,54,0.12611111111111112,0.43612334801762115,0.7741666666666667,0.5638766519823789,False
OpenBMI,B10_RANDOM_MATCHED_GATE,0.6210185185185183,0.5914566334413516,-0.00037037037037037686,0.0,-0.002314814814814821,0.0012037037037036945,0.09259259259259259,0.9259259259259259,54,0.005185185185185185,0.5357142857142857,0.017037037037037038,0.4642857142857143,False
OpenBMI,B11_CGRFUSE_R1_NO_LCB,0.6344444444444446,0.6074147568559382,0.013055555555555539,0.007500000000000007,0.003148148148148132,0.02259490740740737,0.5925925925925926,0.7962962962962963,54,0.08731481481481482,0.4252386002120891,0.4015740740740741,0.574761399787911,False
OpenBMI,B12_CGRFUSE_R1,0.6219444444444444,0.5924855607846033,0.0005555555555555499,0.0,-0.0006481481481481549,0.0017592592592592547,0.14814814814814814,0.9444444444444444,54,0.006666666666666667,0.4583333333333333,0.017361111111111112,0.5416666666666666,False
WBCIC,B0_BEST_SINGLE_KEEP,0.5056356245380637,0.44876723422375164,-0.003259423503325947,-0.0050000000000000044,-0.016190502586844048,0.009637841832963779,0.3902439024390244,0.4878048780487805,41,0.4967065137838497,0.5031925343811395,0.0,0.4968074656188605,False
WBCIC,B1_MAJORITY_KEEP,0.509138950480414,0.4094045272415141,0.0002439024390243891,0.0,-0.005243902439024397,0.005487804878048776,0.2682926829268293,0.7317073170731707,41,0.053427665284215664,0.4977168949771689,0.0,0.502283105022831,False
WBCIC,B2_EQUAL_CALIBRATED_KEEP,0.509138950480414,0.4094045272415141,0.0002439024390243891,0.0,-0.00548780487804878,0.00548780487804878,0.2682926829268293,0.7317073170731707,41,0.053427665284215664,0.4977168949771689,0.0,0.502283105022831,False
WBCIC,B3_STRONGEST_KEEP_STACK,0.5088950480413895,0.4101232680549143,0.0,0.0,0.0,0.0,0.0,1.0,41,0.0,0.0,0.0,0.0,False
WBCIC,B4_EQUAL_ALL_EXPERT,0.512180339985218,0.39943169534558315,0.0032852919438285254,0.0,-0.005853658536585371,0.01304878048780488,0.3170731707317073,0.6829268292682927,41,0.15625762381068553,0.4894613583138173,1.0,0.5105386416861827,False
WBCIC,B5_LOGISTIC_KEEP_STACK,0.5110852426706085,0.40124261134830963,0.0021901946292190214,0.0,-0.005248829761024874,0.009390243902439024,0.34146341463414637,0.6585365853658537,41,0.4004635276896804,0.4971063052086506,0.0,0.5028936947913494,False
WBCIC,B6_LOGISTIC_ALL_EXPERT,0.5173946784922395,0.4328841526954481,0.008499630450849964,0.0,-0.002354028085735393,0.019401330376940137,0.4146341463414634,0.6585365853658537,41,0.2612832398145889,0.48366013071895425,0.0,0.5163398692810458,False
WBCIC,B7_ALL_EXPERT_STACK,0.5105974377925597,0.39475875881702976,0.0017023897511702323,0.0,-0.007443951712244399,0.010102365114560216,0.36585365853658536,0.6097560975609756,41,0.1851671139302269,0.49538866930171277,1.0,0.5046113306982872,False
WBCIC,B9_HARD_INSTABILITY_SWITCH,0.5098657304754866,0.3969303347391183,0.0009706824340970637,0.0,-0.008053707809805369,0.009868194136486803,0.34146341463414637,0.6097560975609756,41,0.17858014149792634,0.4972677595628415,0.8793608197121249,0.5027322404371585,False
WBCIC,B10_RANDOM_MATCHED_GATE,0.5088950480413895,0.4101232680549143,0.0,0.0,0.0,0.0,0.0,1.0,41,0.0,0.0,0.0,0.0,False
WBCIC,B11_CGRFUSE_R1_NO_LCB,0.5112121212121212,0.41614170666533673,0.002317073170731704,0.0,-0.0009756097560975618,0.007320121951219467,0.14634146341463414,0.9024390243902439,41,0.030617223713100758,0.46215139442231074,0.12747011466211264,0.5378486055776892,False
WBCIC,B12_CGRFUSE_R1,0.5088950480413895,0.4101232680549143,0.0,0.0,0.0,0.0,0.0,1.0,41,0.0,0.0,0.0,0.0,False
