dataset,method,outer_fold,mean_BA,mean_delta_BA,subjects
OpenBMI,B0_BEST_SINGLE_KEEP,0,0.6236363636363635,-0.020909090909090936,11
OpenBMI,B0_BEST_SINGLE_KEEP,1,0.5595454545454546,-0.0077272727272727345,11
OpenBMI,B0_BEST_SINGLE_KEEP,2,0.6331818181818182,0.014545454545454539,11
OpenBMI,B0_BEST_SINGLE_KEEP,3,0.66,0.015909090909090904,11
OpenBMI,B0_BEST_SINGLE_KEEP,4,0.621,-0.012500000000000011,10
OpenBMI,B10_RANDOM_MATCHED_GATE,0,0.6445454545454545,0.0,11
OpenBMI,B10_RANDOM_MATCHED_GATE,1,0.5672727272727273,0.0,11
OpenBMI,B10_RANDOM_MATCHED_GATE,2,0.6186363636363637,0.0,11
OpenBMI,B10_RANDOM_MATCHED_GATE,3,0.6422727272727272,-0.00181818181818185,11
OpenBMI,B10_RANDOM_MATCHED_GATE,4,0.6335,0.0,10
OpenBMI,B11_CGRFUSE_R1_NO_LCB,0,0.6654545454545454,0.020909090909090867,11
OpenBMI,B11_CGRFUSE_R1_NO_LCB,1,0.5672727272727273,0.0,11
OpenBMI,B11_CGRFUSE_R1_NO_LCB,2,0.6390909090909092,0.020454545454545444,11
OpenBMI,B11_CGRFUSE_R1_NO_LCB,3,0.6522727272727272,0.00818181818181819,11
OpenBMI,B11_CGRFUSE_R1_NO_LCB,4,0.6495,0.01599999999999996,10
OpenBMI,B12_CGRFUSE_R1,0,0.6445454545454545,0.0,11
OpenBMI,B12_CGRFUSE_R1,1,0.5672727272727273,0.0,11
OpenBMI,B12_CGRFUSE_R1,2,0.6186363636363637,0.0,11
OpenBMI,B12_CGRFUSE_R1,3,0.6468181818181818,0.0027272727272726993,11
OpenBMI,B12_CGRFUSE_R1,4,0.6335,0.0,10
OpenBMI,B1_MAJORITY_KEEP,0,0.6309090909090909,-0.013636363636363658,11
OpenBMI,B1_MAJORITY_KEEP,1,0.5559090909090909,-0.011363636363636359,11
OpenBMI,B1_MAJORITY_KEEP,2,0.6109090909090908,-0.007727272727272724,11
