dataset,outer_fold,run,weight
OpenBMI,0,b0s0,0.331199412544637
OpenBMI,0,b0s1,8.32696445438545e-18
OpenBMI,0,b0s2,0.6688005874553631
OpenBMI,0,b1s0,0.0
OpenBMI,0,b1s1,0.0
OpenBMI,0,b1s2,0.0
OpenBMI,1,b0s0,0.21156804652498903
OpenBMI,1,b0s1,0.0
OpenBMI,1,b0s2,0.7884319534750109
OpenBMI,1,b1s0,1.0870769617730804e-17
OpenBMI,1,b1s1,9.769279189008095e-18
OpenBMI,1,b1s2,1.1454392247843611e-17
OpenBMI,2,b0s0,0.4221861048886526
OpenBMI,2,b0s1,0.0
OpenBMI,2,b0s2,0.5778138951113475
OpenBMI,2,b1s0,0.0
OpenBMI,2,b1s1,0.0
OpenBMI,2,b1s2,0.0
OpenBMI,3,b0s0,0.33064953680719267
OpenBMI,3,b0s1,0.0
OpenBMI,3,b0s2,0.6693504631928074
OpenBMI,3,b1s0,0.0
OpenBMI,3,b1s1,0.0
OpenBMI,3,b1s2,1.7293411253238165e-17
OpenBMI,4,b0s0,0.20437581331982277
OpenBMI,4,b0s1,1.829390574124643e-18
OpenBMI,4,b0s2,0.7956241866801772
OpenBMI,4,b1s0,0.0
OpenBMI,4,b1s1,0.0
OpenBMI,4,b1s2,0.0
WBCIC,0,b0s0,0.1270325116503702
WBCIC,0,b0s1,0.17842163785752788
WBCIC,0,b0s2,0.20411415658697424
WBCIC,0,b1s0,0.1066237759774592
WBCIC,0,b1s1,0.23519468959860748
WBCIC,0,b1s2,0.1486132283290611
WBCIC,1,b0s0,0.148993960368505
WBCIC,1,b0s1,0.19158380881877865
WBCIC,1,b0s2,0.199939344035196
WBCIC,1,b1s0,0.10893079879995848
WBCIC,1,b1s1,0.21994121222484214
WBCIC,1,b1s2,0.13061087575271957
WBCIC,2,b0s0,0.1338282240453967
WBCIC,2,b0s1,0.2005077032017694
WBCIC,2,b0s2,0.19333729689161094
WBCIC,2,b1s0,0.1067257334710959
WBCIC,2,b1s1,0.2210028303579168
WBCIC,2,b1s2,0.1445982120322103
WBCIC,3,b0s0,0.1786660389123019
WBCIC,3,b0s1,0.20502748531159015
WBCIC,3,b0s2,0.17150343821387118
WBCIC,3,b1s0,0.13866577274814534
WBCIC,3,b1s1,0.18034357786636618
WBCIC,3,b1s2,0.1257936869477253
WBCIC,4,b0s0,0.12378064608337862
WBCIC,4,b0s1,0.17738852206833877
WBCIC,4,b0s2,0.17734432062510466
WBCIC,4,b1s0,0.13133621742696713
WBCIC,4,b1s1,0.23805235290643267
WBCIC,4,b1s2,0.15209794088977813
