dataset,outer_fold,expert,temperature
OpenBMI,0,E0,0.9843573284156681
OpenBMI,0,E1,1.1180867529872185
OpenBMI,0,E2,1.0385175236848285
OpenBMI,1,E0,0.8455736394644542
OpenBMI,1,E1,0.9860470008526427
OpenBMI,1,E2,0.9722000396313095
OpenBMI,2,E0,0.9610307458516452
OpenBMI,2,E1,1.0633060927649636
OpenBMI,2,E2,0.9772808956678474
OpenBMI,3,E0,1.0243840083337163
OpenBMI,3,E1,1.0319776339786337
OpenBMI,3,E2,1.015061136981893
OpenBMI,4,E0,1.036374674448631
OpenBMI,4,E1,1.0489610824276274
OpenBMI,4,E2,1.0306717408486734
WBCIC,0,E0,7.389013735210114
WBCIC,0,E1,7.389022893036931
WBCIC,0,E2,4.336344945410717
WBCIC,1,E0,6.618992118238329
WBCIC,1,E1,7.3890279183332455
WBCIC,1,E2,3.51435332222631
WBCIC,2,E0,6.610882050447323
WBCIC,2,E1,7.389022966740996
WBCIC,2,E2,3.4896330137006633
WBCIC,3,E0,7.389025683305605
WBCIC,3,E1,7.389031068569782
WBCIC,3,E2,4.526672898253174
WBCIC,4,E0,7.38902411893915
WBCIC,4,E1,7.3890297951373
WBCIC,4,E2,4.426089629067646
