dataset,outer_fold,expert,run,weight
OpenBMI,0,E0,b0s0,0.1725334518496615
OpenBMI,0,E0,b0s1,0.0
OpenBMI,0,E0,b0s2,0.449633833179552
OpenBMI,0,E0,b1s0,4.6371663930383916e-17
OpenBMI,0,E0,b1s1,2.918459805148486e-17
OpenBMI,0,E0,b1s2,0.0
OpenBMI,0,E1,b0s0,7.952801693533695e-05
OpenBMI,0,E1,b0s1,0.16030830179797323
OpenBMI,0,E1,b0s2,3.9550513366889575e-17
OpenBMI,0,E1,b1s0,2.3563675028572498e-17
OpenBMI,0,E1,b1s1,1.8858755054245273e-17
OpenBMI,0,E1,b1s2,0.0
OpenBMI,0,E2,b0s0,4.304838220471063e-17
OpenBMI,0,E2,b0s1,3.6422113118258374e-17
OpenBMI,0,E2,b0s2,0.0
OpenBMI,0,E2,b1s0,1.2213148801128079e-17
OpenBMI,0,E2,b1s1,0.21744488515587765
OpenBMI,0,E2,b1s2,4.2202158870881095e-17
OpenBMI,1,E0,b0s0,0.11611134603763398
OpenBMI,1,E0,b0s1,0.0
OpenBMI,1,E0,b0s2,0.6558991153657953
OpenBMI,1,E0,b1s0,6.61293906170982e-18
OpenBMI,1,E0,b1s1,0.0
OpenBMI,1,E0,b1s2,0.0
OpenBMI,1,E1,b0s0,0.038998654045879044
OpenBMI,1,E1,b0s1,0.18899088455069168
OpenBMI,1,E1,b0s2,8.506401704350454e-18
OpenBMI,1,E1,b1s0,6.443196187345583e-17
OpenBMI,1,E1,b1s1,0.0
OpenBMI,1,E1,b1s2,0.0
OpenBMI,1,E2,b0s0,0.0
OpenBMI,1,E2,b0s1,2.104980367389608e-17
OpenBMI,1,E2,b0s2,3.143905031385245e-17
OpenBMI,1,E2,b1s0,0.0
OpenBMI,1,E2,b1s1,0.0
OpenBMI,1,E2,b1s2,0.0
OpenBMI,2,E0,b0s0,0.20090874634914502
OpenBMI,2,E0,b0s1,0.0
OpenBMI,2,E0,b0s2,0.3373913708410305
OpenBMI,2,E0,b1s0,2.530069305226674e-17
OpenBMI,2,E0,b1s1,5.14056924172382e-17
OpenBMI,2,E0,b1s2,0.0
OpenBMI,2,E1,b0s0,0.1855885769534937
OpenBMI,2,E1,b0s1,0.13733950745576884
OpenBMI,2,E1,b0s2,2.93897312914797e-18
OpenBMI,2,E1,b1s0,2.603264289252558e-17
OpenBMI,2,E1,b1s1,1.4811360089345747e-17
OpenBMI,2,E1,b1s2,0.0
OpenBMI,2,E2,b0s0,0.0
OpenBMI,2,E2,b0s1,9.023146147766625e-18
OpenBMI,2,E2,b0s2,0.0
OpenBMI,2,E2,b1s0,5.624006919448154e-17
OpenBMI,2,E2,b1s1,0.1387717984005619
OpenBMI,2,E2,b1s2,4.657257341367288e-17
OpenBMI,3,E0,b0s0,2.178105610086715e-17
OpenBMI,3,E0,b0s1,3.602698556611024e-17
OpenBMI,3,E0,b0s2,0.29470044124381867
OpenBMI,3,E0,b1s0,5.273628042869595e-18
OpenBMI,3,E0,b1s1,0.0
OpenBMI,3,E0,b1s2,1.3629492346341938e-17
OpenBMI,3,E1,b0s0,0.383538756508934
OpenBMI,3,E1,b0s1,0.19895824495242145
OpenBMI,3,E1,b0s2,3.8727862967378694e-17
OpenBMI,3,E1,b1s0,4.453177762911146e-18
