dataset,method,subject,outer_fold,BA,delta_BA

WBCIC,B0_BEST_SINGLE_KEEP,1,3,0.5650000000000001,0.06500000000000006

WBCIC,B0_BEST_SINGLE_KEEP,2,3,0.55,0.04500000000000004

WBCIC,B0_BEST_SINGLE_KEEP,3,1,0.535,-0.04500000000000004

WBCIC,B0_BEST_SINGLE_KEEP,5,2,0.5,0.0

WBCIC,B0_BEST_SINGLE_KEEP,6,2,0.5,0.03500000000000003

WBCIC,B0_BEST_SINGLE_KEEP,7,0,0.55,0.050000000000000044

WBCIC,B0_BEST_SINGLE_KEEP,9,1,0.5,-0.0050000000000000044

WBCIC,B0_BEST_SINGLE_KEEP,11,4,0.5549999999999999,0.04499999999999993

WBCIC,B0_BEST_SINGLE_KEEP,12,0,0.485,0.014999999999999958

WBCIC,B0_BEST_SINGLE_KEEP,13,4,0.495,-0.010000000000000009

WBCIC,B0_BEST_SINGLE_KEEP,14,2,0.5,0.0

WBCIC,B0_BEST_SINGLE_KEEP,16,3,0.49,-0.04500000000000004

WBCIC,B0_BEST_SINGLE_KEEP,17,0,0.53,0.030000000000000027

WBCIC,B0_BEST_SINGLE_KEEP,18,1,0.55,-0.039999999999999925

WBCIC,B0_BEST_SINGLE_KEEP,19,0,0.53,0.030000000000000027

WBCIC,B0_BEST_SINGLE_KEEP,21,1,0.5,0.0

WBCIC,B0_BEST_SINGLE_KEEP,22,1,0.45,-0.024999999999999967

WBCIC,B0_BEST_SINGLE_KEEP,23,4,0.46499999999999997,-0.050000000000000044

WBCIC,B0_BEST_SINGLE_KEEP,24,0,0.4812121212121212,-0.018787878787878798

WBCIC,B0_BEST_SINGLE_KEEP,25,2,0.5,0.0

WBCIC,B0_BEST_SINGLE_KEEP,26,2,0.5,0.065

WBCIC,B0_BEST_SINGLE_KEEP,27,1,0.47,-0.00500000000000006

WBCIC,B0_BEST_SINGLE_KEEP,28,0,0.5,-0.025000000000000022

WBCIC,B0_BEST_SINGLE_KEEP,29,4,0.51,-0.0050000000000000044

WBCIC,B0_BEST_SINGLE_KEEP,30,4,0.565,0.04999999999999993

WBCIC,B0_BEST_SINGLE_KEEP,31,2,0.5,-0.010000000000000009

WBCIC,B0_BEST_SINGLE_KEEP,32,3,0.5048484848484849,0.015151515151515138

WBCIC,B0_BEST_SINGLE_KEEP,33,2,0.44499999999999995,-0.05500000000000005

WBCIC,B0_BEST_SINGLE_KEEP,34,1,0.39999999999999997,-0.10000000000000003

WBCIC,B0_BEST_SINGLE_KEEP,35,0,0.485,-0.025000000000000022

WBCIC,B0_BEST_SINGLE_KEEP,36,3,0.55,0.050000000000000044

WBCIC,B0_BEST_SINGLE_KEEP,37,2,0.5,-0.025000000000000022

WBCIC,B0_BEST_SINGLE_KEEP,38,4,0.54,0.040000000000000036

WBCIC,B0_BEST_SINGLE_KEEP,41,4,0.515,0.015000000000000013

WBCIC,B0_BEST_SINGLE_KEEP,42,3,0.455,-0.044999999999999984

WBCIC,B0_BEST_SINGLE_KEEP,44,3,0.47,-0.030000000000000027

WBCIC,B0_BEST_SINGLE_KEEP,45,0,0.47000000000000003,-0.02999999999999997

WBCIC,B0_BEST_SINGLE_KEEP,47,1,0.48,-0.10499999999999998

WBCIC,B0_BEST_SINGLE_KEEP,48,0,0.56,0.06000000000000005

WBCIC,B0_BEST_SINGLE_KEEP,49,3,0.5349999999999999,-0.06000000000000005

WBCIC,B0_BEST_SINGLE_KEEP,50,4,0.5449999999999999,0.014999999999999902

WBCIC,B1_MAJORITY_KEEP,1,3,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,2,3,0.52,0.015000000000000013

WBCIC,B1_MAJORITY_KEEP,3,1,0.52,-0.06000000000000005

WBCIC,B1_MAJORITY_KEEP,5,2,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,6,2,0.45,-0.014999999999999958

WBCIC,B1_MAJORITY_KEEP,7,0,0.505,0.0050000000000000044

WBCIC,B1_MAJORITY_KEEP,9,1,0.47000000000000003,-0.034999999999999976

WBCIC,B1_MAJORITY_KEEP,11,4,0.51,0.0

WBCIC,B1_MAJORITY_KEEP,12,0,0.485,0.014999999999999958

WBCIC,B1_MAJORITY_KEEP,13,4,0.505,0.0

WBCIC,B1_MAJORITY_KEEP,14,2,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,16,3,0.53,-0.0050000000000000044

WBCIC,B1_MAJORITY_KEEP,17,0,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,18,1,0.565,-0.025000000000000022

WBCIC,B1_MAJORITY_KEEP,19,0,0.515,0.015000000000000013

WBCIC,B1_MAJORITY_KEEP,21,1,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,22,1,0.47,-0.0050000000000000044

WBCIC,B1_MAJORITY_KEEP,23,4,0.53,0.015000000000000013

WBCIC,B1_MAJORITY_KEEP,24,0,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,25,2,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,26,2,0.44999999999999996,0.014999999999999958

WBCIC,B1_MAJORITY_KEEP,27,1,0.495,0.019999999999999962

WBCIC,B1_MAJORITY_KEEP,28,0,0.56,0.03500000000000003

WBCIC,B1_MAJORITY_KEEP,29,4,0.515,0.0

WBCIC,B1_MAJORITY_KEEP,30,4,0.54,0.025000000000000022

WBCIC,B1_MAJORITY_KEEP,31,2,0.49,-0.020000000000000018

WBCIC,B1_MAJORITY_KEEP,32,3,0.48969696969696974,0.0

WBCIC,B1_MAJORITY_KEEP,33,2,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,34,1,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,35,0,0.505,-0.0050000000000000044

WBCIC,B1_MAJORITY_KEEP,36,3,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,37,2,0.57,0.04499999999999993

WBCIC,B1_MAJORITY_KEEP,38,4,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,41,4,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,42,3,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,44,3,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,45,0,0.495,-0.0050000000000000044

WBCIC,B1_MAJORITY_KEEP,47,1,0.56,-0.02499999999999991

WBCIC,B1_MAJORITY_KEEP,48,0,0.5,0.0

WBCIC,B1_MAJORITY_KEEP,49,3,0.58,-0.015000000000000013

WBCIC,B1_MAJORITY_KEEP,50,4,0.55,0.020000000000000018

WBCIC,B2_EQUAL_CALIBRATED_KEEP,1,3,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,2,3,0.52,0.015000000000000013

WBCIC,B2_EQUAL_CALIBRATED_KEEP,3,1,0.52,-0.06000000000000005

WBCIC,B2_EQUAL_CALIBRATED_KEEP,5,2,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,6,2,0.45,-0.014999999999999958

WBCIC,B2_EQUAL_CALIBRATED_KEEP,7,0,0.505,0.0050000000000000044

WBCIC,B2_EQUAL_CALIBRATED_KEEP,9,1,0.47000000000000003,-0.034999999999999976

WBCIC,B2_EQUAL_CALIBRATED_KEEP,11,4,0.51,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,12,0,0.485,0.014999999999999958

WBCIC,B2_EQUAL_CALIBRATED_KEEP,13,4,0.505,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,14,2,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,16,3,0.53,-0.0050000000000000044

WBCIC,B2_EQUAL_CALIBRATED_KEEP,17,0,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,18,1,0.565,-0.025000000000000022

WBCIC,B2_EQUAL_CALIBRATED_KEEP,19,0,0.515,0.015000000000000013

WBCIC,B2_EQUAL_CALIBRATED_KEEP,21,1,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,22,1,0.47,-0.0050000000000000044

WBCIC,B2_EQUAL_CALIBRATED_KEEP,23,4,0.53,0.015000000000000013

WBCIC,B2_EQUAL_CALIBRATED_KEEP,24,0,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,25,2,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,26,2,0.44999999999999996,0.014999999999999958

WBCIC,B2_EQUAL_CALIBRATED_KEEP,27,1,0.495,0.019999999999999962

WBCIC,B2_EQUAL_CALIBRATED_KEEP,28,0,0.56,0.03500000000000003

WBCIC,B2_EQUAL_CALIBRATED_KEEP,29,4,0.515,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,30,4,0.54,0.025000000000000022

WBCIC,B2_EQUAL_CALIBRATED_KEEP,31,2,0.49,-0.020000000000000018

WBCIC,B2_EQUAL_CALIBRATED_KEEP,32,3,0.48969696969696974,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,33,2,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,34,1,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,35,0,0.505,-0.0050000000000000044

WBCIC,B2_EQUAL_CALIBRATED_KEEP,36,3,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,37,2,0.57,0.04499999999999993

WBCIC,B2_EQUAL_CALIBRATED_KEEP,38,4,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,41,4,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,42,3,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,44,3,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,45,0,0.495,-0.0050000000000000044

WBCIC,B2_EQUAL_CALIBRATED_KEEP,47,1,0.56,-0.02499999999999991

WBCIC,B2_EQUAL_CALIBRATED_KEEP,48,0,0.5,0.0

WBCIC,B2_EQUAL_CALIBRATED_KEEP,49,3,0.58,-0.015000000000000013

WBCIC,B2_EQUAL_CALIBRATED_KEEP,50,4,0.55,0.020000000000000018

WBCIC,B3_STRONGEST_KEEP_STACK,1,3,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,2,3,0.505,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,3,1,0.5800000000000001,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,5,2,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,6,2,0.46499999999999997,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,7,0,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,9,1,0.505,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,11,4,0.51,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,12,0,0.47000000000000003,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,13,4,0.505,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,14,2,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,16,3,0.535,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,17,0,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,18,1,0.59,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,19,0,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,21,1,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,22,1,0.475,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,23,4,0.515,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,24,0,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,25,2,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,26,2,0.435,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,27,1,0.47500000000000003,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,28,0,0.525,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,29,4,0.515,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,30,4,0.515,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,31,2,0.51,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,32,3,0.48969696969696974,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,33,2,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,34,1,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,35,0,0.51,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,36,3,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,37,2,0.525,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,38,4,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,41,4,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,42,3,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,44,3,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,45,0,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,47,1,0.585,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,48,0,0.5,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,49,3,0.595,0.0

WBCIC,B3_STRONGEST_KEEP_STACK,50,4,0.53,0.0

WBCIC,B4_EQUAL_ALL_EXPERT,1,3,0.5,0.0

WBCIC,B4_EQUAL_ALL_EXPERT,2,3,0.55,0.04500000000000004

WBCIC,B4_EQUAL_ALL_EXPERT,3,1,0.505,-0.07500000000000007

WBCIC,B4_EQUAL_ALL_EXPERT,5,2,0.5,0.0

WBCIC,B4_EQUAL_ALL_EXPERT,6,2,0.47000000000000003,0.00500000000000006

WBCIC,B4_EQUAL_ALL_EXPERT,7,0,0.51,0.010000000000000009

WBCIC,B4_EQUAL_ALL_EXPERT,9,1,0.5,-0.0050000000000000044

WBCIC,B4_EQUAL_ALL_EXPERT,11,4,0.53,0.020000000000000018

WBCIC,B4_EQUAL_ALL_EXPERT,12,0,0.485,0.014999999999999958

WBCIC,B4_EQUAL_ALL_EXPERT,13,4,0.5,-0.0050000000000000044

WBCIC,B4_EQUAL_ALL_EXPERT,14,2,0.5,0.0

WBCIC,B4_EQUAL_ALL_EXPERT,16,3,0.5750000000000001,0.040000000000000036

WBCIC,B4_EQUAL_ALL_EXPERT,17,0,0.5,0.0

WBCIC,B4_EQUAL_ALL_EXPERT,18,1,0.5549999999999999,-0.03500000000000003

WBCIC,B4_EQUAL_ALL_EXPERT,19,0,0.56,0.06000000000000005

WBCIC,B4_EQUAL_ALL_EXPERT,21,1,0.5,0.0

WBCIC,B4_EQUAL_ALL_EXPERT,22,1,0.505,0.030000000000000027

WBCIC,B4_EQUAL_ALL_EXPERT,23,4,0.505,-0.010000000000000009

WBCIC,B4_EQUAL_ALL_EXPERT,24,0,0.5,0.0

WBCIC,B4_EQUAL_ALL_EXPERT,25,2,0.5,0.0

WBCIC,B4_EQUAL_ALL_EXPERT,26,2,0.55,0.11500000000000005

