dataset,outer_fold,group,n,keep_error,all_expert_BA,gate,soft_mass
OpenBMI,0,0,352,0.2897727272727273,0.7045454545454546,0.0,0.0
OpenBMI,0,1,618,0.3414239482200647,0.678608558676818,0.0,0.0
OpenBMI,0,2,818,0.3801955990220049,0.6551696298821292,0.0,0.0
OpenBMI,0,3,412,0.38349514563106796,0.6417582417582418,0.0,0.0
OpenBMI,1,0,692,0.3786127167630058,0.537864077669903,0.0,0.0
OpenBMI,1,1,708,0.4364406779661017,0.5677966101694916,0.0,0.0
OpenBMI,1,2,563,0.47424511545293074,0.5451037994516255,0.0,0.0
OpenBMI,1,3,237,0.4810126582278481,0.539292943898207,0.0,0.0
OpenBMI,2,0,457,0.2800875273522976,0.6456122238282056,0.0,0.0
OpenBMI,2,1,656,0.3780487804878049,0.6444187278659268,0.0,0.0
OpenBMI,2,2,707,0.43847241867043846,0.6012415148267238,0.0,0.0
OpenBMI,2,3,380,0.4026315789473684,0.6044817927170868,0.0,0.0
OpenBMI,3,0,462,0.2987012987012987,0.644373631529559,0.0,0.0
OpenBMI,3,1,628,0.3343949044585987,0.6577207075624797,0.0,0.0
OpenBMI,3,2,735,0.3673469387755102,0.6429326317683036,0.0,0.0
OpenBMI,3,3,375,0.44,0.5506318306010929,0.5,0.5
OpenBMI,4,0,476,0.3004201680672269,0.6365962180200222,0.0,0.0
OpenBMI,4,1,614,0.38599348534201955,0.6117884237890604,0.0,0.0
OpenBMI,4,2,601,0.3860232945091514,0.6309894072571558,0.0,0.0
OpenBMI,4,3,309,0.39158576051779936,0.6552409129332206,0.0,0.0
WBCIC,0,0,175,0.4742857142857143,0.5174418604651163,0.0,0.0
WBCIC,0,1,473,0.47357293868921774,0.5127909058360186,0.0,0.0
WBCIC,0,2,638,0.5219435736677116,0.5048919830476809,0.0,0.0
WBCIC,0,3,513,0.5048732943469786,0.5108989754659046,0.0,0.0
WBCIC,1,0,314,0.5286624203821656,0.48466257668711654,0.0,0.0
WBCIC,1,1,636,0.45440251572327045,0.49872927029459174,0.0,0.0
WBCIC,1,2,432,0.48842592592592593,0.4711136368510218,0.0,0.0
WBCIC,1,3,218,0.42201834862385323,0.5211297605861804,0.0,0.0
WBCIC,2,0,103,0.5533980582524272,0.5,0.0,0.0
WBCIC,2,1,205,0.48292682926829267,0.5,0.0,0.0
WBCIC,2,2,676,0.507396449704142,0.5,0.0,0.0
WBCIC,2,3,616,0.5097402597402597,0.49833333333333335,0.0,0.0
WBCIC,3,0,156,0.48717948717948717,0.5169742913645353,0.0,0.0
WBCIC,3,1,273,0.48717948717948717,0.5501294358753102,0.0,0.0
WBCIC,3,2,489,0.4662576687116564,0.5366140409808532,0.0,0.0
WBCIC,3,3,681,0.49632892804698975,0.5224111952060133,0.0,0.0
WBCIC,4,0,241,0.4854771784232365,0.5162190082644629,0.0,0.0
WBCIC,4,1,292,0.4863013698630137,0.5199859254046446,0.0,0.0
WBCIC,4,2,480,0.47708333333333336,0.5222951502838985,0.0,0.0
WBCIC,4,3,587,0.5008517887563884,0.5128453680055723,0.0,0.0
