dataset,method,actual_decision_change_rate,unsafe_decision_change_rate,soft_fusion_mass,rescue_precision
OpenBMI,B0_BEST_SINGLE_KEEP,0.09509259259259259,0.5102239532619279,0.0,0.48977604673807207
OpenBMI,B1_MAJORITY_KEEP,0.1686111111111111,0.5172981878088962,0.0,0.4827018121911038
OpenBMI,B2_EQUAL_CALIBRATED_KEEP,0.16805555555555557,0.5179063360881543,0.0,0.4820936639118457
OpenBMI,B3_STRONGEST_KEEP_STACK,0.0,0.0,0.0,0.0
OpenBMI,B4_EQUAL_ALL_EXPERT,0.2222222222222222,0.4979166666666667,1.0,0.5020833333333333
OpenBMI,B5_LOGISTIC_KEEP_STACK,0.13296296296296295,0.46448467966573814,0.0,0.5355153203342619
OpenBMI,B6_LOGISTIC_ALL_EXPERT,0.19944444444444445,0.40436397400185703,0.0,0.595636025998143
OpenBMI,B7_ALL_EXPERT_STACK,0.12990740740740742,0.4383464005702067,1.0,0.5616535994297933
OpenBMI,B9_HARD_INSTABILITY_SWITCH,0.12611111111111112,0.43612334801762115,0.7741666666666667,0.5638766519823789
OpenBMI,B10_RANDOM_MATCHED_GATE,0.005185185185185185,0.5357142857142857,0.017037037037037038,0.4642857142857143
OpenBMI,B11_CGRFUSE_R1_NO_LCB,0.08731481481481482,0.4252386002120891,0.4015740740740741,0.574761399787911
OpenBMI,B12_CGRFUSE_R1,0.006666666666666667,0.4583333333333333,0.017361111111111112,0.5416666666666666
WBCIC,B0_BEST_SINGLE_KEEP,0.4967065137838497,0.5031925343811395,0.0,0.4968074656188605
WBCIC,B1_MAJORITY_KEEP,0.053427665284215664,0.4977168949771689,0.0,0.502283105022831
WBCIC,B2_EQUAL_CALIBRATED_KEEP,0.053427665284215664,0.4977168949771689,0.0,0.502283105022831
WBCIC,B3_STRONGEST_KEEP_STACK,0.0,0.0,0.0,0.0
WBCIC,B4_EQUAL_ALL_EXPERT,0.15625762381068553,0.4894613583138173,1.0,0.5105386416861827
WBCIC,B5_LOGISTIC_KEEP_STACK,0.4004635276896804,0.4971063052086506,0.0,0.5028936947913494
WBCIC,B6_LOGISTIC_ALL_EXPERT,0.2612832398145889,0.48366013071895425,0.0,0.5163398692810458
WBCIC,B7_ALL_EXPERT_STACK,0.1851671139302269,0.49538866930171277,1.0,0.5046113306982872
WBCIC,B9_HARD_INSTABILITY_SWITCH,0.17858014149792634,0.4972677595628415,0.8793608197121249,0.5027322404371585
WBCIC,B10_RANDOM_MATCHED_GATE,0.0,0.0,0.0,0.0
WBCIC,B11_CGRFUSE_R1_NO_LCB,0.030617223713100758,0.46215139442231074,0.12747011466211264,0.5378486055776892
WBCIC,B12_CGRFUSE_R1,0.0,0.0,0.0,0.0
