dataset,oracle,BA,delta_vs_STRONGEST_KEEP_STACK
OpenBMI,H0_BEST_INDIVIDUAL_EXPERT,0.9939814814814815,0.3725925925925927
OpenBMI,H1_BEST_EXPERT_FAMILY,0.7637962962962962,0.14240740740740743
OpenBMI,H2_FINE_CONVEX_KEEP_ALL,0.7336111111111111,0.11222222222222233
OpenBMI,H3_BEST_KEEP_OR_ALL,0.7336111111111111,0.11222222222222233
OpenBMI,H4_GROUP_KEEP_OR_ALL,0.7336111111111111,0.11222222222222233
WBCIC,H0_BEST_INDIVIDUAL_EXPERT,1.0,0.4911049519586105
WBCIC,H1_BEST_EXPERT_FAMILY,0.6752426706085243,0.16634762256713476
WBCIC,H2_FINE_CONVEX_KEEP_ALL,0.5898731214584874,0.08097807341709784
WBCIC,H3_BEST_KEEP_OR_ALL,0.5898731214584874,0.08097807341709784
WBCIC,H4_GROUP_KEEP_OR_ALL,0.5898731214584874,0.08097807341709784
