task,check,mean_delta,all_lower,cells
OpenBMI_MI,PROTECTED_PRESERVE P drift minus PRD_ONLY P drift,-0.3165685688247283,True,15
OpenBMI_MI,RANDOM_PRESERVE_R0 target drift minus PRD-only same R0,-0.32227123416894016,True,15
OpenBMI_MI,RANDOM_PRESERVE_R1 target drift minus PRD-only same R1,-0.3470612526449892,True,15
OpenBMI_MI,RANDOM_PRESERVE_R2 target drift minus PRD-only same R2,-0.3411254136552414,True,15
WBCIC_MI,PROTECTED_PRESERVE P drift minus PRD_ONLY P drift,-55.75802624183509,False,15
WBCIC_MI,RANDOM_PRESERVE_R0 target drift minus PRD-only same R0,-22.53256855693358,False,15
WBCIC_MI,RANDOM_PRESERVE_R1 target drift minus PRD-only same R1,-43.46010453279873,True,15
WBCIC_MI,RANDOM_PRESERVE_R2 target drift minus PRD-only same R2,-15.321109433516632,False,15
