task,metric,subjects,mean_between_random_sd_pp,mean_between_random_range_pp
OpenBMI_MI,BA,14,0.20012855887599415,0.4714285714285694
OpenBMI_MI,macro_F1,14,0.21896183229628885,0.5165703297445019
OpenBMI_MI,WS_BA,14,0.20135546052831207,0.4714285714285671
WBCIC_MI,BA,10,0.1391306585337379,0.33000000000000473
WBCIC_MI,macro_F1,10,0.24479802055327413,0.5842052287689248
WBCIC_MI,WS_BA,10,0.12933407472438546,0.306666666666669
