subject_id,session,BA,macro_F1,trials,task,fold,seed,condition,checkpoint_sha256,arm,checkpoint,normalizer_sha256,protected_rank
54,S1,0.65,0.6496847162446202,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
54,S2,0.7,0.6980676328502415,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
4,S1,0.6799999999999999,0.6794871794871795,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
4,S2,0.77,0.7613860358958398,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
12,S1,0.8,0.7999199679871949,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
12,S2,0.6699999999999999,0.6673051718923279,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
13,S1,0.63,0.5960257670051315,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
13,S2,0.63,0.6290726817042607,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
17,S1,0.7,0.6921182266009853,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
17,S2,0.6599999999999999,0.6486151302190988,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
18,S1,0.69,0.6892230576441103,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
18,S2,0.62,0.62,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
24,S1,0.62,0.614448051948052,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
24,S2,0.62,0.5924495924495925,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
25,S1,0.74,0.7291666666666667,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
25,S2,0.97,0.96999699969997,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
29,S1,0.69,0.6807743795695603,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
29,S2,0.77,0.7694235588972431,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
36,S1,0.8999999999999999,0.8998397435897436,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
36,S2,0.89,0.8899889988998899,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
37,S1,0.65,0.6368917937545389,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
37,S2,0.73,0.7286704853783539,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
39,S1,0.78,0.7799119647859143,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
39,S2,0.73,0.7297567811029927,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
42,S1,0.74,0.7395833333333333,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
42,S2,0.72,0.7126436781609196,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
51,S1,0.6699999999999999,0.6576408341114224,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
51,S2,0.62,0.6041666666666667,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
54,S1,0.61,0.5983935742971888,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
