task,subject_id,condition,future_BA,future_macro_F1,WS_BA,repetition_min,repetition_max,random_arms
OpenBMI_MI,12,CE_REFERENCE,0.692,0.6800685898560419,0.692,15,15,1
OpenBMI_MI,13,CE_REFERENCE,0.6446666666666666,0.6322722914391045,0.6446666666666666,15,15,1
OpenBMI_MI,17,CE_REFERENCE,0.5706666666666667,0.55825613563218,0.5706666666666667,15,15,1
OpenBMI_MI,18,CE_REFERENCE,0.6140000000000001,0.6108298707300447,0.6140000000000001,15,15,1
OpenBMI_MI,24,CE_REFERENCE,0.568,0.5413916476807288,0.568,15,15,1
OpenBMI_MI,25,CE_REFERENCE,0.974,0.9739952650727257,0.7566666666666666,15,15,1
OpenBMI_MI,29,CE_REFERENCE,0.768,0.7656830501912261,0.6813333333333332,15,15,1
OpenBMI_MI,36,CE_REFERENCE,0.8866666666666666,0.8863813875928993,0.8866666666666666,15,15,1
OpenBMI_MI,37,CE_REFERENCE,0.6799999999999999,0.6625365855458637,0.6653333333333333,15,15,1
OpenBMI_MI,39,CE_REFERENCE,0.7093333333333334,0.7066913770039619,0.7093333333333334,15,15,1
OpenBMI_MI,4,CE_REFERENCE,0.7526666666666666,0.7446243571675026,0.6839999999999999,15,15,1
OpenBMI_MI,42,CE_REFERENCE,0.7006666666666667,0.6981480969643783,0.6839999999999999,15,15,1
OpenBMI_MI,51,CE_REFERENCE,0.6246666666666666,0.6128465361400152,0.6246666666666666,15,15,1
OpenBMI_MI,54,CE_REFERENCE,0.7006666666666667,0.698930605248017,0.6093333333333334,15,15,1
OpenBMI_MI,12,PRD_ONLY,0.7026666666666667,0.6925923605301263,0.7026666666666667,15,15,1
OpenBMI_MI,13,PRD_ONLY,0.6546666666666667,0.6445840074272815,0.6546666666666667,15,15,1
OpenBMI_MI,17,PRD_ONLY,0.5733333333333334,0.5576009540081516,0.5733333333333334,15,15,1
OpenBMI_MI,18,PRD_ONLY,0.64,0.6380011048438572,0.64,15,15,1
OpenBMI_MI,24,PRD_ONLY,0.5746666666666668,0.5351493272692757,0.5746666666666668,15,15,1
OpenBMI_MI,25,PRD_ONLY,0.9666666666666667,0.9666525197436766,0.7673333333333333,15,15,1
