task,seed,condition,subjects,future_BA_pp,future_macro_F1_pp,WS_BA_pp
OpenBMI_MI,0,CE_REFERENCE,14,70.64285714285715,69.84464378637138,66.91428571428571
OpenBMI_MI,0,PRD_ONLY,14,72.24285714285715,71.56186212929715,68.34285714285716
OpenBMI_MI,0,PROTECTED_PRESERVE,14,72.05714285714284,71.35346685422111,68.35714285714286
OpenBMI_MI,0,RANDOM_PRESERVE_MEAN,14,72.2095238095238,71.48586434779777,68.52380952380953
OpenBMI_MI,1,CE_REFERENCE,14,70.12857142857143,69.28144901798868,66.07142857142857
OpenBMI_MI,1,PRD_ONLY,14,71.41428571428571,70.43558847344087,67.45714285714286
OpenBMI_MI,1,PROTECTED_PRESERVE,14,71.47142857142858,70.50141279393779,67.64285714285714
OpenBMI_MI,1,RANDOM_PRESERVE_MEAN,14,71.26666666666667,70.29630099355838,67.42857142857144
OpenBMI_MI,2,CE_REFERENCE,14,71.07142857142857,70.28795997274042,67.77142857142857
OpenBMI_MI,2,PRD_ONLY,14,71.84285714285714,71.01399332859924,68.74285714285715
OpenBMI_MI,2,PROTECTED_PRESERVE,14,71.5,70.6506791700644,68.4
OpenBMI_MI,2,RANDOM_PRESERVE_MEAN,14,71.49047619047619,70.61013184255935,68.39047619047618
WBCIC_MI,0,CE_REFERENCE,10,74.61,74.0570752455178,67.75
WBCIC_MI,0,PRD_ONLY,10,67.06,60.22297539805975,63.09
WBCIC_MI,0,PROTECTED_PRESERVE,10,67.21999999999998,60.38223762723304,63.27
WBCIC_MI,0,RANDOM_PRESERVE_MEAN,10,67.07333333333332,60.248640341576674,63.24666666666667
WBCIC_MI,1,CE_REFERENCE,10,76.69999999999999,76.27754119094364,68.91
WBCIC_MI,1,PRD_ONLY,10,67.51,60.76326786988844,62.71000000000001
WBCIC_MI,1,PROTECTED_PRESERVE,10,67.48,60.73746095364434,62.54000000000002
WBCIC_MI,1,RANDOM_PRESERVE_MEAN,10,67.29,60.545561818556806,62.660000000000004
WBCIC_MI,2,CE_REFERENCE,10,77.88999999999999,77.42018128608431,69.85
WBCIC_MI,2,PRD_ONLY,10,67.93,61.11640392229778,62.73
WBCIC_MI,2,PROTECTED_PRESERVE,10,68.04,61.223180952389335,62.82
WBCIC_MI,2,RANDOM_PRESERVE_MEAN,10,68.44999999999999,62.06834503276287,63.03666666666666
