task,comparison,primary,biological_subjects,delta_BA_pp,delta_BA_ci95_low_pp,delta_BA_ci95_high_pp,delta_macro_F1_pp,delta_macro_F1_ci95_low_pp,delta_macro_F1_ci95_high_pp,delta_WS_BA_pp,delta_WS_BA_ci95_low_pp,delta_WS_BA_ci95_high_pp
OpenBMI_MI,PROTECTED_PRESERVE_MINUS_RANDOM_PRESERVE,True,14,0.02063492063491942,-0.09841269841269841,0.13333333333333214,0.03775387810258974,-0.08658217299261724,0.15688075531938894,0.0269841269841293,-0.1301587301587272,0.1682539682539706
OpenBMI_MI,PROTECTED_PRESERVE_MINUS_PRD_ONLY,False,14,-0.15714285714285808,-0.2809523809523817,-0.033333333333335984,-0.16862837103799322,-0.33713629481520574,-0.010905148592061934,2.379049338482478e-15,-0.13809523809524113,0.15238095238095306
OpenBMI_MI,RANDOM_PRESERVE_MINUS_PRD_ONLY,False,14,-0.1777777777777775,-0.3190476190476196,-0.015873015873015976,-0.20638224914058295,-0.3944587939144663,-0.015205142171406907,-0.02698412698412692,-0.2190476190476203,0.17936507936508
OpenBMI_MI,PRD_ONLY_MINUS_CE_REFERENCE,False,14,1.219047619047622,0.6142857142857173,1.8714285714285714,1.1991303847455868,0.4827284317860566,1.9560612942683886,1.247619047619049,0.6000000000000044,1.8904761904761862
OpenBMI_MI,PROTECTED_PRESERVE_MINUS_CE_REFERENCE,False,14,1.061904761904764,0.44761904761905064,1.7333333333333343,1.0305020137075938,0.3194444480248121,1.7744166908099626,1.2476190476190514,0.6142857142857236,1.890476190476194
WBCIC_MI,PROTECTED_PRESERVE_MINUS_RANDOM_PRESERVE,True,10,-0.024444444444444158,-0.10222222222222135,0.053333333333333566,-0.173222553209883,-0.2796861645576391,-0.064503733092743,-0.10222222222222466,-0.21666666666666723,0.006666666666664836
WBCIC_MI,PROTECTED_PRESERVE_MINUS_PRD_ONLY,False,10,0.08000000000000174,-0.05666666666666653,0.2300000000000008,0.08007744767357661,-0.04846037112731216,0.21270417707841435,0.04333333333333356,-0.1566666666666655,0.2466666666666645
WBCIC_MI,RANDOM_PRESERVE_MINUS_PRD_ONLY,False,10,0.1044444444444459,-0.04444444444444587,0.25111111111111306,0.2533000008834596,0.09309857700451427,0.40775744664695296,0.1455555555555582,-0.07000000000000119,0.3477777777777813
WBCIC_MI,PRD_ONLY_MINUS_CE_REFERENCE,False,10,-8.9,-11.320083333333333,-6.279999999999999,-15.217383510766595,-17.7705141058001,-12.382638009676603,-5.966666666666666,-9.54675,-2.4132500000000054
WBCIC_MI,PROTECTED_PRESERVE_MINUS_CE_REFERENCE,False,10,-8.819999999999997,-11.310083333333333,-6.0699999999999985,-15.137306063093018,-17.776520587019206,-12.243929343245705,-5.923333333333333,-9.58,-2.4132500000000046
