run,model,raw_BA,protected_ablation_BA,protected_drop,random_ablation_BA_mean,random_ablation_BA_std,random_drop_mean,n_random_subspaces,protected_rank
fold-0/seed-0,method,0.7544444444444445,0.6238888888888889,0.13055555555555554,0.7033055555555555,0.043963535324989554,0.051138888888888956,20,4
fold-0/seed-0,control,0.7572222222222222,0.6233333333333333,0.13388888888888895,0.7292777777777778,0.02885633849962496,0.02794444444444444,20,4
fold-0/seed-1,method,0.7711111111111111,0.6366666666666667,0.13444444444444437,0.7066388888888889,0.04175267973953407,0.06447222222222215,20,7
fold-0/seed-1,control,0.7705555555555555,0.6333333333333333,0.13722222222222225,0.7149444444444445,0.030830530403129157,0.055611111111111056,20,7
fold-1/seed-0,method,0.7066666666666667,0.6088888888888888,0.09777777777777785,0.6572500000000001,0.025300950916595018,0.04941666666666655,20,7
fold-1/seed-0,control,0.7083333333333333,0.6111111111111112,0.0972222222222221,0.6477777777777779,0.029827694480544294,0.06055555555555536,20,7
fold-1/seed-1,method,0.7016666666666667,0.5616666666666668,0.1399999999999999,0.6737222222222222,0.03006530956943853,0.02794444444444444,20,4
fold-1/seed-1,control,0.7038888888888889,0.5805555555555556,0.1233333333333333,0.6554722222222222,0.028049930679256766,0.04841666666666666,20,4
fold-2/seed-0,method,0.7672222222222222,0.6222222222222222,0.14500000000000002,0.6851111111111111,0.0227598845708631,0.08211111111111113,20,8
fold-2/seed-0,control,0.7644444444444445,0.6216666666666667,0.14277777777777778,0.6917499999999999,0.027214440497738277,0.07269444444444462,20,8
fold-2/seed-1,method,0.7538888888888889,0.6077777777777778,0.1461111111111112,0.6856944444444444,0.03688189148827764,0.06819444444444456,20,8
fold-2/seed-1,control,0.7583333333333333,0.5888888888888889,0.1694444444444444,0.6801944444444445,0.04092837578556525,0.07813888888888876,20,8
