version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.823357142857143,0.8237619047619047,-0.00040476190476186337,0.0020056609227288376,3,1,1,1
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8227619047619047,0.824047619047619,-0.0012857142857143123,0.004412412917565848,3,1,4,2
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8218809523809524,0.824047619047619,-0.002166666666666628,0.004356817578282416,1,6,4,3
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8214523809523809,0.824047619047619,-0.0025952380952380728,0.00420182446065822,1,1,4,4
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.821595238095238,0.8210476190476189,0.0005476190476190856,0.0011703053073756318,3,4,5,1
V2,V2__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.823357142857143,0.8237619047619047,-0.00040476190476186337,0.0020056609227288376,3,1,1,1
V2,V2__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8214523809523809,0.8210476190476189,0.00040476190476195216,0.000997729849512214,3,4,5,1
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.823357142857143,0.8237619047619047,-0.00040476190476186337,0.0020056609227288376,3,1,1,1
V2,V2__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8209761904761905,0.8213333333333335,-0.00035714285714283367,0.0013552618543578403,2,4,5,2
V2,V2__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,0.8227619047619047,0.824047619047619,-0.0012857142857143344,0.004389226141639181,3,1,4,2
V2,V2__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8209761904761905,0.8213333333333335,-0.00035714285714283367,0.0013552618543578403,2,4,5,2
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,0.8227619047619047,0.824047619047619,-0.0012857142857143123,0.004412412917565848,3,1,4,2
