subject,method_BA,control_BA,delta_BA
11,0.635,0.64,-0.0050000000000000044
17,0.6950000000000001,0.7,-0.004999999999999893
19,0.8049999999999999,0.8049999999999999,0.0
22,0.735,0.73,0.0050000000000000044
3,0.885,0.885,0.0
38,0.69,0.69,0.0
40,0.73,0.7250000000000001,0.004999999999999893
50,0.515,0.515,0.0
7,0.62,0.62,0.0
