dataset,method,n,mean,sd
OpenBMI,ERM,3,79.23809523809523,0.5947617141331878
OpenBMI,MLDG,3,80.47619047619047,0.16495721976846803
OpenBMI,PAIRED_DELTA,3,1.238095238095242,0.6598288790738756
WBCIC,ERM,3,73.36666666666666,1.789785834487853
WBCIC,MLDG,3,62.633333333333326,11.305898165706841
WBCIC,PAIRED_DELTA,3,-10.733333333333329,12.627087286200782
