dataset,outer_fold,opt_seed,method,forward_count,backward_count,optimizer_step_count,epochs,wall_clock_sec
OpenBMI,0,0,ERM,3230,3230,3230,38,45.89936559996568
OpenBMI,0,0,MLDG,5192,5192,2596,59,73.19294019998051
OpenBMI,0,1,ERM,3230,3230,3230,38,45.45500320009887
OpenBMI,0,1,MLDG,5192,5192,2596,59,73.25269969995134
OpenBMI,0,2,ERM,3230,3230,3230,38,45.49986719992012
OpenBMI,0,2,MLDG,5192,5192,2596,59,73.28481570002623
WBCIC,0,0,ERM,1547,1547,1547,13,20.76636659994256
WBCIC,0,0,MLDG,756,756,378,6,9.941367899999022
WBCIC,0,1,ERM,1547,1547,1547,13,20.34551410004497
WBCIC,0,1,MLDG,756,756,378,6,9.954282699967736
WBCIC,0,2,ERM,1547,1547,1547,13,20.388297700090334
WBCIC,0,2,MLDG,756,756,378,6,9.964323499938473
