dataset,outer_fold,opt_seed,beta,ERM_epochs,MLDG_epochs,ERM_BA,MLDG_BA,delta_BA_pp,ERM_Macro_F1,MLDG_Macro_F1,initial_state_sha256,ERM_pair_seed,MLDG_pair_seed,MLDG_partition_seed_first,ERM_wall_clock_sec,MLDG_wall_clock_sec
OpenBMI,0,0,1.0,38,59,79.71428571428571,80.57142857142856,0.8571428571428452,79.16021132003043,80.23641684727549,ed735c500f7e57bd982ada4863f69ea5a2d8b4be8c6dd00c888987d3bcd3c0d9,5848983591476750023,5848983591476750023,4714666098276411664,45.89936559996568,73.19294019998051
OpenBMI,0,1,1.0,38,59,79.42857142857143,80.28571428571428,0.8571428571428563,78.85028207195532,79.86213770454732,ed735c500f7e57bd982ada4863f69ea5a2d8b4be8c6dd00c888987d3bcd3c0d9,1289350208840859339,1289350208840859339,3348470847428007341,45.45500320009887,73.25269969995134
OpenBMI,0,2,1.0,38,59,78.57142857142856,80.57142857142858,2.000000000000024,77.82701539824822,80.03618465106997,ed735c500f7e57bd982ada4863f69ea5a2d8b4be8c6dd00c888987d3bcd3c0d9,7236092539167752253,7236092539167752253,2358141749195733335,45.49986719992012,73.28481570002623
WBCIC,0,0,1.0,13,6,74.4,50.0,-24.4,74.35570064250842,33.33333333333333,e8e2bb7f9a9521c7c3f148efb2075d59662d94aad1bf3717dafb3505826baf1e,4027956670100081527,4027956670100081527,4895538688046098382,20.76636659994256,9.941367899999022
WBCIC,0,1,1.0,13,6,74.4,66.1,-8.300000000000008,74.35980059399363,61.2242200649243,e8e2bb7f9a9521c7c3f148efb2075d59662d94aad1bf3717dafb3505826baf1e,4894244419354609860,4894244419354609860,5610252065304077722,20.34551410004497,9.954282699967736
WBCIC,0,2,1.0,13,6,71.29999999999998,71.8,0.5000000000000115,69.80871258094527,71.7917485978542,e8e2bb7f9a9521c7c3f148efb2075d59662d94aad1bf3717dafb3505826baf1e,4184101446058313678,4184101446058313678,388034450193136860,20.388297700090334,9.964323499938473
